"Network","JSD"
"GRHL2-ZEB_2-0",0.031566356880324
"GRHL2-ZEB_2-1",0.0304119406475769
"miR145-OCT4_2-0",0.153427362576897
"miR145-OCT4_2-1",1
"miR145-ZEB_2-0",0.00564107975857927
"miR145-ZEB_2-1",0.00971328115797977
"miR200-ZEB_2-0",0.00459986015804366
"miR200-ZEB_2-1",0.00582209219703049
"OCT4-miR145_2-0",0.194376782447219
"OCT4-miR145_2-1",0.196832878980871
"OCT4-miR200_1-0",0.118359623631005
"OCT4-miR200_2-1",0.256034440790977
"OVOL2-miR200_2-0",0.0911071854595938
"OVOL2-miR200_2-1",0.188657281533161
"OVOL2-OVOL2_2-0",1.0119317526242e-05
"OVOL2-OVOL2_2-1",0.269586078653133
"OVOL2-ZEB_2-0",0.0320497824062467
"OVOL2-ZEB_2-1",0.0306474768423502
"SNAIL-miR200_2-0",0.214750390890859
"SNAIL-miR200_2-1",0.412766287233084
"SNAIL-ZEB_1-0",0.00202323081091468
"SNAIL-ZEB_1-2",0.00758207219573577
"wild",0
"ZEB-GRHL2_2-0",0.250087497722533
"ZEB-GRHL2_2-1",1
"ZEB-miR145_2-0",0.0119997923111098
"ZEB-miR145_2-1",0.0404440017199054
"ZEB-miR200_2-0",0.24466544764107
"ZEB-miR200_2-1",0.29043671133798
"ZEB-OVOL2_2-0",0.5
"ZEB-OVOL2_2-1",1
"ZEB-ZEB_1-0",0.0351266904910668
"ZEB-ZEB_1-2",0.0350435956651341
