"posLoopsUnd","posLoopsUndWeighted","negLoopsUnd","negLoopsUndWeighted","inconsistency","Net"
12,3.66666666666667,1,1,1,"CD24_ZEB1_2_0"
12,3.66666666666667,3,1.66666666666667,2,"CD24_ZEB1_2_1"
13,4,1,1,1,"CD44s_ZEB1_1_0"
13,4,2,1.33333333333333,2,"CD44s_ZEB1_1_2"
13,4.08333333333333,1,1,1,"CDH1_EMT_2_0"
13,4.08333333333333,2,1.25,2,"CDH1_EMT_2_1"
13,4,1,1,1,"ESRP1_CD44s_2_0"
13,4,2,1.33333333333333,2,"ESRP1_CD44s_2_1"
14,4.33333333333333,1,1,1,"EX-TGFB_SNAIL1_1_0"
14,4.33333333333333,1,1,1,"EX-TGFB_SNAIL1_1_2"
12,3.66666666666667,1,1,1,"GRHL2_CD24_1_0"
12,3.66666666666667,3,1.66666666666667,2,"GRHL2_CD24_1_2"
13,4,1,1,1,"GRHL2_ZEB1_2_0"
13,4,2,1.33333333333333,2,"GRHL2_ZEB1_2_1"
13,4,1,1,1,"HA_ZEB1_1_0"
13,4,2,1.33333333333333,2,"HA_ZEB1_1_2"
13,4,1,1,1,"HAS2_HA_1_0"
13,4,2,1.33333333333333,2,"HAS2_HA_1_2"
14,4.33333333333333,1,1,1,"MIR-1199_ZEB1_2_0"
14,4.33333333333333,1,1,1,"MIR-1199_ZEB1_2_1"
12,3.91666666666667,1,1,1,"MIR-190_TGFB_2_0"
11,3.58333333333333,4,1.75,2,"MIR-190_TGFB_2_1"
12,3.83333333333333,1,1,1,"MIR-200_TGFB_2_0"
12,3.83333333333333,3,1.5,2,"MIR-200_TGFB_2_1"
12,3.75,1,1,1,"MIR-200_ZEB1_2_0"
12,3.75,3,1.58333333333333,2,"MIR-200_ZEB1_2_1"
13,4,1,1,1,"MIR-34_SNAIL1_2_0"
13,4,2,1.33333333333333,2,"MIR-34_SNAIL1_2_1"
14,4.33333333333333,1,1,1,"MIR-340_ZEB1_2_0"
14,4.33333333333333,1,1,1,"MIR-340_ZEB1_2_1"
13,4,1,1,1,"SNAIL1_CDH1_2_0"
13,4,2,1.33333333333333,2,"SNAIL1_CDH1_2_1"
12,3.66666666666667,1,1,1,"SNAIL1_MIR-200_2_0"
12,3.66666666666667,3,1.66666666666667,2,"SNAIL1_MIR-200_2_1"
13,4,1,1,1,"SNAIL1_MIR-34_2_0"
13,4,2,1.33333333333333,2,"SNAIL1_MIR-34_2_1"
14,4.33333333333333,0,0,0,"SNAIL1_SNAIL1_2_0"
15,5.33333333333333,0,0,0,"SNAIL1_SNAIL1_2_1"
12,3.83333333333333,1,1,1,"SNAIL1_VIM_1_0"
13,4,2,1.33333333333333,2,"SNAIL1_VIM_1_2"
13,3.53333333333333,1,1,1,"SNAIL1_ZEB1_1_0"
7,2.08333333333333,8,3.25,2,"SNAIL1_ZEB1_1_2"
13,4.08333333333333,1,1,1,"TGFB_SNAIL1_1_0"
13,4.08333333333333,2,1.25,2,"TGFB_SNAIL1_1_2"
13,4.08333333333333,1,1,1,"VIM_EMT_1_0"
13,4.08333333333333,2,1.25,2,"VIM_EMT_1_2"
14,4.33333333333333,1,1,1,"wild"
13,4,1,1,1,"ZEB1_CDH1_2_0"
12,3.75,3,1.58333333333333,2,"ZEB1_CDH1_2_1"
13,4,1,1,1,"ZEB1_ESRP1_2_0"
13,4,2,1.33333333333333,2,"ZEB1_ESRP1_2_1"
13,4,1,1,1,"ZEB1_GRHL2_2_0"
13,4,2,1.33333333333333,2,"ZEB1_GRHL2_2_1"
13,4,1,1,1,"ZEB1_HAS2_1_0"
13,4,2,1.33333333333333,2,"ZEB1_HAS2_1_2"
14,4.33333333333333,1,1,1,"ZEB1_MIR-1199_2_0"
14,4.33333333333333,1,1,1,"ZEB1_MIR-1199_2_1"
12,3.91666666666667,1,1,1,"ZEB1_MIR-190_2_0"
11,3.58333333333333,4,1.75,2,"ZEB1_MIR-190_2_1"
12,3.75,1,1,1,"ZEB1_MIR-200_2_0"
12,3.75,3,1.58333333333333,2,"ZEB1_MIR-200_2_1"
12,3.66666666666667,1,1,1,"ZEB1_MIR-34_2_0"
12,3.66666666666667,3,1.66666666666667,2,"ZEB1_MIR-34_2_1"
14,4.33333333333333,1,1,1,"ZEB1_MIR-340_2_0"
14,4.33333333333333,1,1,1,"ZEB1_MIR-340_2_1"
13,4,1,1,1,"ZEB1_VIM_1_0"
12,3.75,3,1.58333333333333,2,"ZEB1_VIM_1_2"
