"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.271158906548077,0.340808734474885,0.341085475170826,0.239536358688876,-0.364667125043844,-0.340808734474885,-0.340808734474885,-0.364667125043844,-0.364667125043844,0.364667125043844,0.356607692355865,-0.364667125043844,0,-0.364667125043844,0.333320255212212,-0.340808734474885,0.356607692355865,-0.356607692355865
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",0.0736190910300034,0.144697310153252,0.15161942718093,0.107607076077159,-0.0709245938763032,-0.144697310153252,-0.144697310153252,-0.0709245938763032,-0.0709245938763032,0.0709245938763032,0.0690878591824256,-0.0709245938763032,0,-0.0709245938763032,0.141437857741257,-0.144697310153252,0.0690878591824256,-0.0690878591824256
"SNAIL1",0.0738884799425229,0.146131786204796,0.154324280005115,0.00947859858601068,-0.0736190910300034,-0.146131786204796,-0.146131786204796,-0.0736190910300034,-0.0736190910300034,0.0736190910300034,0.0709245938763032,-0.0736190910300034,0,-0.0736190910300034,0.144697310153252,-0.146131786204796,0.0709245938763032,-0.0709245938763032
"MIR340",-0.364667125043844,-0.333320255212212,-0.328279187607256,-0.233914349119498,0.356607692355865,0.333320255212212,0.333320255212212,0.356607692355865,0.356607692355865,-0.356607692355865,-0.342960633532336,0.356607692355865,0,0.356607692355865,-0.3210582597819,0.333320255212212,-0.342960633532336,0.342960633532336
"MIR34",-0.0736190910300034,-0.144697310153252,-0.15161942718093,-0.107607076077159,0.0709245938763032,0.144697310153252,0.144697310153252,0.0709245938763032,0.0709245938763032,-0.0709245938763032,-0.0690878591824256,0.0709245938763032,0,0.0709245938763032,-0.141437857741257,0.144697310153252,-0.0690878591824256,0.0690878591824256
"MIR200",0.282527740544724,0.146223024362825,0.0470833301693528,0.0450956304525743,-0.27749806231917,-0.146223024362825,-0.146223024362825,-0.27749806231917,-0.27749806231917,0.27749806231917,0.268705950568964,-0.27749806231917,0,-0.27749806231917,0.137854380295028,-0.146223024362825,0.268705950568964,-0.268705950568964
"MIR190",-0.0709245938763032,-0.141437857741257,-0.250345541830612,-0.108418984060921,0.0690878591824256,0.141437857741257,0.141437857741257,0.0690878591824256,0.0690878591824256,-0.0690878591824256,-0.0666355431061313,0.0690878591824256,0,0.0690878591824256,-0.140916118610823,0.141437857741257,-0.0666355431061313,0.0666355431061313
"MIR1199",-0.364667125043844,-0.333320255212212,-0.328279187607256,-0.233914349119498,0.356607692355865,0.333320255212212,0.333320255212212,0.356607692355865,0.356607692355865,-0.356607692355865,-0.342960633532336,0.356607692355865,0,0.356607692355865,-0.3210582597819,0.333320255212212,-0.342960633532336,0.342960633532336
"HAS2",0.356607692355865,0.3210582597819,0.314433033761103,0.227439528975613,-0.342960633532336,-0.3210582597819,-0.3210582597819,-0.342960633532336,-0.342960633532336,0.342960633532336,0.429429280397022,-0.342960633532336,0,-0.342960633532336,0.307012138188609,-0.3210582597819,0.329429280397022,-0.329429280397022
"HA",0.364667125043844,0.333320255212212,0.328279187607256,0.233914349119498,-0.356607692355865,-0.333320255212212,-0.333320255212212,-0.356607692355865,-0.356607692355865,0.356607692355865,0.342960633532336,-0.356607692355865,0,-0.356607692355865,0.3210582597819,-0.333320255212212,0.342960633532336,-0.342960633532336
"GRHL2",-0.454603607652834,-0.440161041094823,-0.428552685939969,-0.258185379280467,0.444997616119131,0.440161041094823,0.440161041094823,0.444997616119131,0.444997616119131,-0.444997616119131,-0.431380963907509,0.444997616119131,0,0.444997616119131,-0.427423610927225,0.440161041094823,-0.431380963907509,0.531380963907509
"EXTGFB",0.0736190910300034,0.144697310153252,0.15161942718093,0.107607076077159,-0.0709245938763032,-0.144697310153252,-0.144697310153252,-0.0709245938763032,-0.0709245938763032,0.0709245938763032,0.0690878591824256,-0.0709245938763032,0,-0.0709245938763032,0.141437857741257,-0.144697310153252,0.0690878591824256,-0.0690878591824256
"ESRP1",-0.356607692355865,-0.3210582597819,-0.314433033761103,-0.227439528975613,0.342960633532336,0.3210582597819,0.3210582597819,0.342960633532336,0.342960633532336,-0.342960633532336,-0.329429280397022,0.342960633532336,0,0.342960633532336,-0.307012138188609,0.3210582597819,-0.429429280397022,0.329429280397022
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",0.364667125043844,0.333320255212212,0.328279187607256,0.233914349119498,-0.356607692355865,-0.333320255212212,-0.333320255212212,-0.356607692355865,-0.356607692355865,0.356607692355865,0.342960633532336,-0.356607692355865,0,-0.356607692355865,0.3210582597819,-0.333320255212212,0.342960633532336,-0.342960633532336
"CD24",-0.364667125043844,-0.333320255212212,-0.328279187607256,-0.233914349119498,0.356607692355865,0.333320255212212,0.333320255212212,0.356607692355865,0.356607692355865,-0.356607692355865,-0.342960633532336,0.356607692355865,0,0.356607692355865,-0.3210582597819,0.333320255212212,-0.342960633532336,0.342960633532336
