"","ZEB1","VIM","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"ZEB1",0.281817383417471,0.307131770770633,0.0151851564530677,0.146862820753527,-0.37396415412974,-0.307131770770633,0.247902218933778,-0.37396415412974,-0.37396415412974,0.37396415412974,0.364553978533162,-0.37396415412974,0,-0.37396415412974,0.299470480448052,-0.307131770770633,0.364553978533162,-0.364553978533162
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"TGFB",0.216088848008806,0.221772732182528,0.102127516041162,0.115849868974365,-0.210358297724176,-0.221772732182528,0.012234641160878,-0.210358297724176,-0.210358297724176,0.210358297724176,0.202807277316013,-0.210358297724176,0,-0.210358297724176,0.215775339744458,-0.221772732182528,0.202807277316013,-0.202807277316013
"SNAIL1",0.220101324968965,0.226027534030328,0.102843506494622,0.0177719731726456,-0.216088848008806,-0.226027534030328,0.0153224116447098,-0.216088848008806,-0.216088848008806,0.216088848008806,0.210358297724176,-0.216088848008806,0,-0.216088848008806,0.221772732182528,-0.226027534030328,0.210358297724176,-0.210358297724176
"MIR340",-0.37396415412974,-0.299470480448052,-0.014399211006928,-0.144051815968838,0.364553978533162,0.299470480448052,-0.243524338749446,0.364553978533162,0.364553978533162,-0.364553978533162,-0.350436331474339,0.364553978533162,0,0.364553978533162,-0.289036360112942,0.299470480448052,-0.350436331474339,0.350436331474339
"MIR34",-0.216088848008806,-0.221772732182528,-0.102127516041162,-0.115849868974365,0.210358297724176,0.221772732182528,-0.012234641160878,0.210358297724176,0.210358297724176,-0.210358297724176,-0.202807277316013,0.210358297724176,0,0.210358297724176,-0.215775339744458,0.221772732182528,-0.202807277316013,0.202807277316013
"MIR200",-0.345292507503208,-0.375459597966359,-0.215230658230963,-0.172910172644297,0.336451520311706,0.375459597966359,-0.12369157631069,0.336451520311706,0.336451520311706,-0.336451520311706,-0.324043960738986,0.336451520311706,0,0.336451520311706,-0.366137564068054,0.375459597966359,-0.324043960738986,0.324043960738986
"MIR190",-0.210358297724176,-0.215775339744458,-0.20127825914095,-0.114226053006842,0.202807277316013,0.215775339744458,-0.00858405445944387,0.202807277316013,0.202807277316013,-0.202807277316013,-0.194360410830999,0.202807277316013,0,0.202807277316013,-0.208992731048806,0.215775339744458,-0.194360410830999,0.194360410830999
"MIR1199",-0.37396415412974,-0.299470480448052,-0.014399211006928,-0.144051815968838,0.364553978533162,0.299470480448052,-0.243524338749446,0.364553978533162,0.364553978533162,-0.364553978533162,-0.350436331474339,0.364553978533162,0,0.364553978533162,-0.289036360112942,0.299470480448052,-0.350436331474339,0.350436331474339
"HAS2",0.364553978533162,0.289036360112942,0.0126043392120563,0.139495461052771,-0.350436331474339,-0.289036360112942,0.235679708132538,-0.350436331474339,-0.350436331474339,0.350436331474339,0.432944582299421,-0.350436331474339,0,-0.350436331474339,0.27499023851965,-0.289036360112942,0.332944582299421,-0.332944582299421
"HA",0.37396415412974,0.299470480448052,0.014399211006928,0.144051815968838,-0.364553978533162,-0.299470480448052,0.243524338749446,-0.364553978533162,-0.364553978533162,0.364553978533162,0.350436331474339,-0.364553978533162,0,-0.364553978533162,0.289036360112942,-0.299470480448052,0.350436331474339,-0.350436331474339
"GRHL2",-0.46283017406545,-0.41425678309037,-0.0224822783914272,-0.16586341201835,0.452117051304134,0.41425678309037,-0.332933728800647,0.452117051304134,0.452117051304134,-0.452117051304134,-0.437112714790691,0.452117051304134,0,0.452117051304134,-0.402860135045677,0.41425678309037,-0.437112714790691,0.537112714790691
"EXTGFB",0.216088848008806,0.221772732182528,0.102127516041162,0.115849868974365,-0.210358297724176,-0.221772732182528,0.012234641160878,-0.210358297724176,-0.210358297724176,0.210358297724176,0.202807277316013,-0.210358297724176,0,-0.210358297724176,0.215775339744458,-0.221772732182528,0.202807277316013,-0.202807277316013
"ESRP1",-0.364553978533162,-0.289036360112942,-0.0126043392120563,-0.139495461052771,0.350436331474339,0.289036360112942,-0.235679708132538,0.350436331474339,0.350436331474339,-0.350436331474339,-0.332944582299421,0.350436331474339,0,0.350436331474339,-0.27499023851965,0.289036360112942,-0.432944582299421,0.332944582299421
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",0.37396415412974,0.299470480448052,0.014399211006928,0.144051815968838,-0.364553978533162,-0.299470480448052,0.243524338749446,-0.364553978533162,-0.364553978533162,0.364553978533162,0.350436331474339,-0.364553978533162,0,-0.364553978533162,0.289036360112942,-0.299470480448052,0.350436331474339,-0.350436331474339
"CD24",-0.37396415412974,-0.299470480448052,-0.014399211006928,-0.144051815968838,0.364553978533162,0.299470480448052,-0.243524338749446,0.364553978533162,0.364553978533162,-0.364553978533162,-0.350436331474339,0.364553978533162,0,0.364553978533162,-0.289036360112942,0.299470480448052,-0.350436331474339,0.350436331474339
