"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","OVOL2","NP63","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","GRHL2","FOXC2","CLDN7","CDH1"
"ZEB2",-0.0851129475388418,0.144563335206803,0.0800769186268922,-0.139501203679962,0.0866737747379966,0.0644342887184409,0.085142607446198,0.0888836097019688,-0.0833409900817264,-0.203161333824829,-0.171739675950438,0,-0.108995061653383,0,-0.169849375361656,0.0596147736876923,-0.0673007101963117,-0.0596147736876923,0.143915471879206,-0.064427497369757,0.0649356163352229,0.0632303894395488,-0.120804335341843,0.0473387500617402,-0.143915471879206,-0.03676018956163
"ZEB1",0.00793984926206753,0.262880037616701,0.303129150431354,-0.236109941463274,0.237076463163075,0.216956016136794,0.23553626353205,0.118747770678027,-0.234577333302035,-0.387008004263078,-0.340326495397038,0,-0.276599839142422,0,-0.338038876130455,0.300272924417767,-0.299097293823732,-0.300272924417767,0.362157924410801,-0.0213085229484645,0.0215341006699091,0.215687043869406,-0.279756806552249,0.168564031439701,-0.362157924410801,-0.0974256789314398
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",-0.0697298646005085,-0.175947002267353,-0.0653722456949481,-0.0626690020307998,-0.173228852829856,-0.0691124417956169,-0.172537802290551,0.0713908254370969,0.0772242811666961,0.217794327512156,0.191868430654198,0,0.0563816166092188,0,0.190980081887445,-0.0563865876651262,0.0594135487047346,0.0563865876651262,-0.17563092834243,-0.0733262230020648,0.0733740187491124,-0.0686559030307548,0.155042763932752,0.0360643932425079,0.17563092834243,-0.0315261105906006
"TWIST1",0.0937758453396643,-0.149515887057314,0.0711890549060633,0.0944052679968503,-0.213459456258747,-0.0596490610668588,-0.113290348282896,-0.0825071870922183,0.216130557050359,0.190696908039469,0.166832946945056,0,0.00767775636298482,0,0.166385150574563,-0.126735817557734,0.0461616930902492,0.126735817557734,-0.149395077596909,-0.0447782529401799,0.0448718644524042,-0.0594550956171504,0.132359243736724,-0.195789203239656,0.149395077596909,-0.0804123604687337
"TGFbeta",0.00922194249554226,-0.0623155331683965,-0.0815955920936953,0.0972587120605885,-0.00325188529387896,-0.117273077060231,-0.0029682649367442,-0.039239349850892,-0.0103724920664242,0.0658018754024939,0.0604698558596477,0,0.108201514878165,0,0.0594995642270503,-0.0393204089086199,0.100576536537662,0.0393204089086199,-0.0620810325928665,0.0334731888627559,-0.0332495216905876,-0.0168981905470235,0.0540185069750329,0.00981664906074626,0.0620810325928665,-0.021351619351674
"TCF3",0.00767469317224537,0.0533176658709782,0.0231402241943789,-0.0272676262981514,0.143082377855457,0.0243067590089012,0.140613839617316,0.0264223500079466,-0.0868626217257693,-0.0670802194662752,-0.0581333249560191,0,0.00352899530697742,0,-0.0566304347826087,0.023658884849073,-0.0278670714891534,-0.023658884849073,0.0526995917752316,0.0199145046335408,-0.0181710982857535,0.022911072947636,-0.046940203500007,0.0218351932564953,-0.0526995917752316,-0.137473611161398
"SNAI2",0.00767358140052173,0.0535665549393751,0.0238060262221276,-0.0279063042103182,0.14302939464864,0.024807095239957,0.142705219820929,-0.0736628715008567,-0.0868697018392659,-0.0680345851598683,-0.0595477775100252,0,0.00305246487669798,0,-0.0589807825831377,0.0239666554012692,-0.0284205391061106,-0.0239666554012692,0.053385048072451,0.0194688655739311,-0.019303071810274,0.0244111025651751,-0.0472858091056544,0.0214395148570434,-0.053385048072451,-0.0377799435295785
"SNAI1",0.0865722189869212,-0.0913948248841588,0.0625097676568119,-0.0023139255391856,-0.158839041073015,-0.0343911096143732,-0.15876802088591,-0.0889452084893136,0.0352907168899641,0.120576174998995,0.105409970113146,0,-0.082239897981648,0,0.105471229608367,-0.0893579687669768,0.02967346837092,0.0893579687669768,-0.0913911959748777,-0.0776871281379039,0.0776943035518161,-0.0344244810027986,0.0850113688479307,-0.0476714755690615,0.0913911959748777,0.150118469792193
"OVOL2",-0.0212385003337637,-0.284607710522282,-0.274388109641515,0.146198834964316,-0.186611187106474,-0.352597850794087,-0.185652622974397,-0.118340906194535,0.197432919264286,0.369201874874043,0.383290296170662,0,0.167532649310823,0,0.381575714120294,-0.24317120044132,0.166197151861183,0.24317120044132,-0.284098070015168,0.0645847239026737,-0.064459700597891,-0.351782843078038,0.0798872783298042,-0.135711303118711,0.284098070015168,-0.0573629802941938
"NP63",-0.085293721608396,-0.00349258666614762,-0.0683507935615736,-0.0143879789348119,-0.112888526347757,0.00733605513132982,-0.113240820749193,0.0149734939291678,0.0729697538959369,-0.127406574141909,-0.190558304074678,0,-0.0152944207969476,0,-0.0908108836103616,0.0252528387808003,0.0921252241757624,-0.0252528387808003,-0.00352617570594215,-0.031144931516947,0.0312902245702942,0.00739082808033963,-0.0506508110785759,-0.0128491171838139,0.00352617570594215,0.11117616853042
"miR9",0.00459152542055334,0.119515618049658,0.0712814546568988,-0.0213600074253691,-0.0516264121558657,0.0353308233149197,-0.0520336256520844,-0.012871580209866,-0.019017932847216,-0.167459356741618,-0.140832695303687,0,-0.111497109198572,0,-0.139183729400948,0.0521495104393314,-0.0599225970910113,-0.0521495104393314,0.11909321861052,0.0123323871373965,-0.0132513808570147,0.0348968438343597,-0.10258677448164,0.0236932483470879,-0.11909321861052,0.060239054032035
"miR34a",-0.00349638497611126,-0.269992480323511,-0.105680547016379,0.221185116282219,-0.239821192291673,-0.14273273341142,-0.238859873371563,-0.100444204351228,0.232161325881369,0.302162381735905,0.273420969707521,0,0.0598673608048929,0,0.271700909912263,-0.199201142062053,0.164414014608204,0.199201142062053,-0.269471328458906,-0.0495280328338743,0.0495962181442615,-0.141857207703789,0.236669168518601,-0.103477084454781,0.269471328458906,0.0840368868388345
"miR30c",0.0920976236154306,-0.0741135751775477,0.0180822128517327,0.0564528509391826,-0.172673450608308,-0.0152701218477525,-0.17293120691389,-0.0929658904334823,0.175289436019819,0.0873351620841329,0.0806957969252032,0,-0.110068173482115,0,0.0809588608075065,-0.115775903502405,0.011094541817666,0.115775903502405,-0.0742097972384937,-0.028641737374184,0.0286433830583772,-0.0153964851733867,0.0724571304465015,-0.068049038642508,0.0742097972384937,0.0573359050556308
"miR205",-0.0113871046635238,-0.359073512749013,-0.230004761623683,0.236404561093849,-0.221538969833257,-0.168712119090693,-0.21924911356704,-0.11243499519258,0.220087706657686,0.387673876781648,0.344169406454398,0,0.28409111016049,0,0.340631600488686,-0.187760009665552,0.190272663830322,0.187760009665552,-0.357965451979582,0.0301077685095396,-0.0299413000196467,-0.166967951498247,0.289026250933319,-0.161972854400397,0.357965451979582,0.0829954225653655
"miR200c",-0.0100441080554906,-0.300528287449768,-0.153993393439427,0.0925735774888032,-0.184419430943684,-0.230181106116482,-0.18328805865565,0.00224481982331413,0.174107917880175,0.332749560780599,0.297854952581835,0,0.159316022555856,0,0.295846777710678,-0.15308126122007,0.130735080833717,0.15308126122007,-0.299913388366871,-0.058716459881767,0.0590532633110383,-0.229293686790967,0.253657814035203,-0.107623515451036,0.299913388366871,0.0954235906424162
"miR200b",-0.00240820822759679,-0.236857100359503,-0.0605325670028068,0.054383181003536,-0.150932191525449,-0.193345177135559,-0.150309567037524,0.0341365698954107,0.144901611488339,0.260273954835956,0.235439783078526,0,0.117511372951233,0,0.234455244247888,-0.120156528970758,0.0622753386837476,0.120156528970758,-0.236532799681663,-0.0707070647539024,0.0707881137074703,-0.192854312668692,0.205670340330252,-0.089699595089492,0.236532799681663,0.0123877162586532
"miR200a",-0.00214737762440398,0.276121090881304,0.131630761365437,-0.145833397158369,0.0331165233226367,0.0248994713846202,0.0314675297263518,0.122410207446106,-0.0168070233148932,-0.29377662876491,-0.267158805570549,0,-0.221102962047586,0,-0.265115087781319,0.144823929011488,-0.137035854008926,-0.144823929011488,0.275433876987933,-0.0740171844396769,0.0743701976596617,0.0236859453415332,-0.237227617729252,-0.00161612955551601,-0.275433876987933,-0.00332309882909376
"miR141",0.0100441080554906,0.300528287449768,0.153993393439427,-0.0925735774888032,0.184419430943684,0.230181106116482,0.18328805865565,-0.00224481982331413,-0.174107917880175,-0.332749560780599,-0.297854952581835,0,-0.159316022555856,0,-0.295846777710678,0.15308126122007,-0.130735080833717,-0.15308126122007,0.299913388366871,0.058716459881767,-0.0590532633110383,0.229293686790967,-0.253657814035203,0.107623515451036,-0.299913388366871,-0.0954235906424162
"miR101",-0.00711396395448645,0.146233768943827,0.0791515281616754,-0.0745912216887876,-0.104239022159315,0.0631340276919764,-0.105045412172737,-0.0577252382871793,0.0925009799725008,-0.200486827383915,-0.17094386334093,0,-0.13954260126009,0,-0.169825870479288,0.079782755323285,-0.0474809103540653,-0.079782755323285,0.145869904865517,-0.0925310447603984,-0.00741047104362633,0.0625362193763202,-0.123044370502483,-0.017228486345823,-0.145869904865517,0.0213996259621682
"KLF8",-0.00767469317224537,-0.0533176658709782,-0.0231402241943789,0.0272676262981514,-0.143082377855457,-0.0243067590089012,-0.140613839617316,-0.0264223500079466,0.0868626217257693,0.0670802194662752,0.0581333249560191,0,-0.00352899530697742,0,0.0566304347826087,-0.023658884849073,0.0278670714891534,0.023658884849073,-0.0526995917752316,-0.0199145046335408,0.0181710982857535,-0.022911072947636,0.046940203500007,-0.0218351932564953,0.0526995917752316,0.137473611161398
"GSC",0.125645444514906,-0.250067962721046,-0.0305552884862829,0.0816497183302717,-0.162725911129457,-0.100169752692405,-0.161607843150924,-0.118534992211047,0.236907208909351,0.285348859687486,0.256580996753912,0,0.0603710223855281,0,0.255123114419001,-0.197629123995901,0.0841113481700781,0.197629123995901,-0.249573965737637,-0.0998706511395894,0.0996826006290274,-0.0993201765636603,0.218471477167896,-0.0313633948100575,0.249573965737637,0.0346172672335238
"GRHL2",-0.0310528256189489,-0.336333207206021,-0.275136499818459,0.158924352771952,-0.202318559896303,-0.297632567049648,-0.200026519893991,-0.133077400239047,0.212252519956125,0.415397378076625,0.420972996760492,0,0.259874133398229,0,0.417840240803049,-0.277665695081008,0.274990050602447,0.277665695081008,-0.33531806856066,0.0720910597030842,-0.072371881922372,-0.295911363260228,0.106638758645565,-0.149915466280583,0.33531806856066,0.0364909990265968
"FOXC2",-0.00779724055763606,-0.362157924410801,-0.302387356308219,0.235646360038337,-0.23553626353205,-0.215687043869406,-0.232888674527994,-0.118414795601433,0.233974417398653,0.385378555060176,0.338038876130455,0,0.276009121842844,0,0.334176040673692,-0.299611308056361,0.29849387163852,0.299611308056361,-0.360917898394485,0.0215341006699091,-0.0215495055618181,-0.213679901089801,0.27908560477245,-0.167957979023261,0.360917898394485,0.0972536824779828
"CLDN7",0.00767469317224537,0.0533176658709782,0.0231402241943789,-0.0272676262981514,0.143082377855457,0.0243067590089012,0.140613839617316,0.0264223500079466,-0.0868626217257693,-0.0670802194662752,-0.0581333249560191,0,0.00352899530697742,0,-0.0566304347826087,0.023658884849073,-0.0278670714891534,-0.023658884849073,0.0526995917752316,0.0199145046335408,-0.0181710982857535,0.022911072947636,-0.046940203500007,0.0218351932564953,-0.0526995917752316,-0.137473611161398
"CDH1",-0.0075655884985574,-0.053385048072451,-0.0238114974233893,0.028046683007865,-0.142705219820929,-0.0244111025651751,-0.143082377855457,-0.0260777066457358,0.0866777940262581,0.0677815405594973,0.0589807825831377,0,-0.00315283636658007,0,0.0581333249560191,-0.0238818005869241,0.0285312039014776,0.0238818005869241,-0.0533176658709782,-0.019303071810274,0.0199145046335408,-0.0243067590089012,0.0473200366331434,-0.0212676563665975,0.0533176658709782,0.037980532773314
