"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","OVOL2","NP63","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","GRHL2","FOXC2","CLDN7","CDH1"
"ZEB2",0.00911878983913389,-0.0770093444778624,-0.155054749572792,-0.118325043763304,0.120843119627292,0.136391121266638,-0.120695361171774,0.0809352526399359,0.123818795705274,0.0562922016069497,0,0,0.101378050093294,0,0,-0.11076573298537,-0.176771286294963,0.11076573298537,-0.0769693286679351,-0.134026569449369,0.133918183994895,-0.136407748008597,0.0759187686639073,-0.0447956966963883,-0.0769693286679351,-0.163924489948415
"ZEB1",-0.0980187878788963,0.14856165560991,-0.104227272399363,0.203290380871229,-0.0980154917973538,0.109597444324933,0.0980196983511646,-0.0901159517158177,-0.0778723221188313,-0.162416460233565,0,0,-0.24355858775922,0,0,-0.197952782876184,0.219388205343705,0.197952782876184,0.248549385593195,0.0829158974167694,-0.0828659323188598,-0.109570230827038,-0.239640467744316,0.126283634582657,0.248549385593195,0.137070265661434
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",-0.114942966368513,-0.0566844032289247,0.0604638123226165,0.10502231020897,-0.251837727982076,-0.0475557549647125,0.251849126753858,-0.0950445226583277,-0.119264766221963,0.073321397869684,0,0,-0.0329336966833449,0,0,0.0864089046705782,-0.0132974314337297,-0.0864089046705782,-0.056711845806676,0.103333741103706,-0.1032537918541,0.0476258867415025,0.0575851613196438,0.151818196114179,-0.056711845806676,-0.113785165137906
"TWIST1",0.102211998416755,-0.164682261792927,-0.13454442871178,0.0149110422563227,0.0575501922748315,-0.0170842450497776,-0.157180115400143,-0.0456313184211435,0.0435304246395006,0.14199286153106,0,0,0.134075638819988,0,0,0.037330025935927,-0.10696101509568,-0.037330025935927,-0.164702129334424,-0.0284145925655747,0.0283269562562584,0.017039435584013,0.161811943891815,-0.226633023209845,-0.164702129334424,-0.137150419427082
"TGFbeta",0.00331094848012937,-0.0503243934540651,-0.114657626615186,0.0563751451273019,0.09889262412033,0.0833043700647863,-0.0984479074003427,-0.104072766871931,0.127610437110285,0.0371615539766396,0,0,0.142631316293313,0,0,0.0272570503056977,-0.122276577184887,-0.0272570503056977,-0.0503489242384842,-0.0112062099844133,0.0110670239113302,-0.183356063570084,0.0493430239800891,-0.0700611194738407,-0.0503489242384842,-0.0307112735020347
"TCF3",0.0578386509107227,0.0471413977050189,0.175117731212292,-0.222754056506832,0.129223341355439,-0.169228157302321,-0.129223341355439,0.23120122575773,-0.00311573022368799,-0.0419062031434157,0,0,-0.029305267293381,0,0,-0.0532617278908551,0.207041220793663,0.0532617278908551,0.0472035708389105,-0.217608010004979,0.217950730910954,0.169300660474335,-0.0469491415421027,-0.048711867790521,0.0472035708389105,0.0971046725504001
"SNAI2",0.0577008888309608,0.047095934121664,0.175189016820025,-0.222740318080658,0.128724648423142,-0.169009881971869,-0.128697444941096,0.131195571318802,-0.00307995498674187,-0.0418323166886371,0,0,-0.0293068016011463,0,0,-0.0532057211830097,0.20697073345154,0.0532057211830097,0.0470868502085885,-0.217470515254265,0.217475371138556,0.169021516141857,-0.0468454631152256,-0.0485491118266046,0.0470868502085885,0.197034795335964
"SNAI1",-0.0659925469320091,-0.136762094678781,-0.0492659060422718,-0.120350354317794,0.0572341408532909,-0.0830237182102174,-0.0574073483599714,0.111448164370395,-0.0615438510562554,0.127062748138607,0,0,0.139240980389156,0,0,0.107708078954833,0.011066929007822,-0.107708078954833,-0.136744104554047,-0.127530281081075,0.127518738023912,0.0830758244131974,0.136298038365398,-0.143571231879676,-0.136744104554047,0.0823405308370944
"OVOL2",-0.0216728698179628,0.104573195972073,-0.0895821611759363,0.0913622447712877,-0.0792165677273656,0.0351723913254363,0.0794503638571404,-0.0624064241856157,-0.0987935385494621,-0.127363463882427,0.0240834337367673,0,-0.135714376586565,0,0.0241428552949085,-0.0944127077096317,0.0418723442218134,0.0944127077096317,0.104547516938257,0.0822006789569567,-0.0821469408698133,-0.0351586126658243,-0.0775846740032414,0.0390162040659828,0.104547516938257,-0.0597650886709933
"NP63",0.187667146129113,-0.163801298815945,0.15499551422818,-0.307845684088587,0.183492469620981,-0.0402871540211971,-0.183844764022417,0.289766155758358,0.0331674641430387,0.0230877499050962,0.0215802590359401,0,0.155208098447532,0,0.12148890048048,0.0358667477545011,0.0296284195251513,-0.0358667477545011,-0.16368492466797,-0.272433580414738,0.272145735686409,0.0402854423665405,-0.00161241366046299,-0.0795471652700826,-0.16368492466797,0.0861258788974163
"miR9",0.13692703000717,-0.0496621749735937,-0.0564707253910682,-0.219474349482271,0.193630548328878,0.100790952501407,-0.192769582651158,0.200417775495676,0.0758365060491706,0.0431251278693751,0,0,0.0695240936248992,0,0,-0.139754870845319,-0.0658811325456448,0.139754870845319,-0.0496078414357793,-0.229053508850263,0.228673847352196,-0.101447485561741,0.0490925339135756,-0.0481459985858387,-0.0496078414357793,-0.154176948729718
"miR34a",0.0484175790278478,-0.161238802253842,0.0347128648798525,-0.336012627419312,0.190887060113151,-0.0904721337676248,-0.190686293262514,0.231588811260651,0.128317135470944,0.139334443926396,0,0,0.148306627355858,0,0,0.11633092947741,0.00974309446067987,-0.11633092947741,-0.161245227413817,-0.191466994076575,0.191404570905093,0.0905379037897694,0.158606110859283,-0.205583731259461,-0.161245227413817,0.0546578690160318
"miR30c",0.107542848329592,-0.121476526183377,0.005953837823269,-0.228763266362585,0.172969265355685,0.00345357598977029,-0.172814071768554,0.22606076720326,0.0447564293036053,0.117435778041056,0,0,0.129196869492179,0,0,-0.0582330136013279,0.0173392108301359,0.0582330136013279,-0.121458178756502,-0.167085836265325,0.167010134792438,-0.00346704093430508,0.120982039463166,-0.150317369557476,-0.121458178756502,0.0391146829483769
"miR205",0.208721215001095,-0.255612836456206,-0.0167323847667534,-0.205487554864658,0.133414460951924,-0.0238086565506455,-0.132866707564501,0.0905588180746913,0.11747619211228,0.168217291797937,0,0,0.258127338037924,0,0,0.0289159219980546,-0.204370787257766,-0.0289159219980546,-0.255620289779767,-0.0930094188283313,0.092765348486007,0.0236340810864335,0.247572624857258,-0.131084833935658,-0.255620289779767,-0.143130877252069
"miR200c",0.205665815350531,-0.225859841123745,0.0354581248336334,-0.154393544022742,-0.0261517913341519,-0.122055325165961,0.0265999034952948,0.163790134265808,-0.0667085387094854,0.152882536620602,0,0,0.126543911692654,0,0,0.0123135207804357,-0.129549191570786,-0.0123135207804357,-0.22589265062109,-0.0528119226217254,0.052747083458871,0.121986013285223,0.222470250437136,0.00456207291667531,-0.22589265062109,-0.119994818226177
"miR200b",0.12798802420072,0.228994530854267,-0.0688480745680808,0.0543017427078687,-0.105834516988363,0.0145146730848806,0.105933604495942,0.0673523090764797,-0.115203572025171,-0.151470016381522,0,0,-0.221411549987006,0,0,-0.186054607657689,0.0572632780746894,0.186054607657689,0.228992522109531,0.0259813067600088,-0.0259290752121539,-0.0146782945738361,-0.225795073465185,0.0698949354465776,0.228992522109531,0.0171143236854247
"miR200a",-0.12798802420072,-0.228994530854267,0.0688480745680808,-0.0543017427078687,0.105834516988363,-0.0145146730848806,-0.105933604495942,-0.0673523090764797,0.115203572025171,0.151470016381522,0,0,0.221411549987006,0,0,0.186054607657689,-0.0572632780746894,-0.186054607657689,-0.228992522109531,-0.0259813067600088,0.0259290752121539,0.0146782945738361,0.225795073465185,-0.0698949354465776,-0.228992522109531,-0.0171143236854247
"miR141",-0.205665815350531,0.225859841123745,-0.0354581248336334,0.154393544022742,0.0261517913341519,0.122055325165961,-0.0265999034952948,-0.163790134265808,0.0667085387094854,-0.152882536620602,0,0,-0.126543911692654,0,0,-0.0123135207804357,0.129549191570786,0.0123135207804357,0.22589265062109,0.0528119226217254,-0.052747083458871,-0.121986013285223,-0.222470250437136,-0.00456207291667531,0.22589265062109,0.119994818226177
"miR101",0.0615557844644981,0.0960733599282169,-0.0760114904578102,-0.00468453382601841,0.0382656319776169,0.0610048389687516,-0.0381728807582111,0.0659680361247014,0.0392121227933667,-0.0966651458871058,0,0,-0.0201478648415458,0,0,-0.0818065799158403,0.0201904814444107,0.0818065799158403,0.0960881913444524,-0.0902184608695587,-0.00982938983623923,-0.061081137084775,-0.0965300797843137,-0.10604932675208,0.0960881913444524,0.043251549461059
"KLF8",0.0578386509107227,0.0471413977050189,0.175117731212292,-0.222754056506832,0.129223341355439,-0.169228157302321,-0.129223341355439,0.23120122575773,-0.00311573022368799,-0.0419062031434157,0,0,-0.029305267293381,0,0,-0.0532617278908551,0.207041220793663,0.0532617278908551,0.0472035708389105,-0.217608010004979,0.217950730910954,0.169300660474335,-0.0469491415421027,-0.048711867790521,0.0472035708389105,0.0971046725504001
"GSC",-0.108077027025565,-0.0258818794715783,0.0873847187937206,0.0195453761040679,-0.227914491316847,-0.0507227583522403,0.227874560317614,-0.0013195749163594,-0.126298593501686,0.0509738833923887,0,0,-0.0585689386057838,0,0,0.0613245205574611,0.0357826333482638,-0.0613245205574611,-0.0259139760024984,0.109500683621123,-0.109380837958951,0.0508193288762271,0.0282420496946006,0.0474290446961012,-0.0259139760024984,0.0188483566191567
"GRHL2",-0.103307026827367,0.254577885320558,-0.129740978770366,0.159319374591613,-0.0999597117888514,0.0118541071576449,0.0994394505020719,-0.137262127789075,-0.0921558877822184,-0.0411411115476412,-0.0255409753580788,0,-0.256157458483951,0,-0.0256364332958402,-0.202751783001717,0.132686694513055,0.202751783001717,0.254611293841259,0.140585880373184,-0.140465276473364,-0.0119655280792789,-0.134960828017043,0.0702625957422125,0.254611293841259,0.0209119572907914
"FOXC2",0.0980074296634991,-0.248549385593195,0.104222229611307,-0.203182238377591,0.0980196983511646,-0.109570230827038,-0.0976873414336342,0.0901330857337928,0.0778015019265781,0.162434888687097,0,0,0.243590386205988,0,0,0.197949321505086,-0.219443434974146,-0.197949321505086,-0.248578717713568,-0.0828659323188598,0.0827546747661837,0.109660329718713,0.239666530165704,-0.126250528040399,-0.248578717713568,-0.137079730361909
"CLDN7",0.0578386509107227,0.0471413977050189,0.175117731212292,-0.222754056506832,0.129223341355439,-0.169228157302321,-0.129223341355439,0.23120122575773,-0.00311573022368799,-0.0419062031434157,0,0,-0.029305267293381,0,0,-0.0532617278908551,0.207041220793663,0.0532617278908551,0.0472035708389105,-0.217608010004979,0.217950730910954,0.169300660474335,-0.0469491415421027,-0.048711867790521,0.0472035708389105,0.0971046725504001
"CDH1",-0.0577451326189902,-0.0470868502085885,-0.175140727521932,0.222768093564665,-0.128697444941096,0.169021516141857,0.129223341355439,-0.231181322341675,0.00309108653041982,0.0418665936464563,0,0,0.0293529494125863,0,0,0.0532765889400452,-0.206971701365202,-0.0532765889400452,-0.0471413977050189,0.217475371138556,-0.217608010004979,-0.169228157302321,0.0468939521125016,0.0486700492828444,-0.0471413977050189,-0.197007078296143
