"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","OVOL2","NP63","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","GRHL2","FOXC2","CLDN7","CDH1"
"ZEB2",-0.0846171932639582,-0.0271000664287025,0.02541613500981,0.0916957762056671,0.0114659122338429,-0.00415805413761612,-0.0115227424090422,0.0606578371700636,0.031179471163904,0.015739883280272,0.0203675486376745,0,-0.0389459730895829,0,-0.0205767212438102,0.0190831760546215,0.0152608345862044,-0.00272639696251532,0.0270463028558553,0.0642316021908493,-0.0639959384045178,0.00428306260493842,0.0302172194903584,0.00153170582071039,0.0270463028558553,0.0025665643421758
"ZEB1",-0.0344640453895105,0.0619134692025195,-0.191960980336663,-0.151802748502578,0.0564378452855298,0.0625135018642344,-0.0565490184933877,-0.0496782013464473,-0.0473583252107619,-0.0506296069725836,-0.0865345544360556,0,0.165454850444131,0,0.0864138509069143,-0.185048713240253,-0.177460387247616,0.164198524903724,-0.161927738777513,-0.0277119308305117,0.0277391177220213,-0.0624396366556624,-0.187363327987406,-0.103622956656361,-0.161927738777513,-0.110112182451752
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",-0.0768107763751009,-0.108055882922795,-0.0261936827649244,0.0984904409546064,-0.267980680740681,-0.0488640262401966,0.267943634732389,0.104921595953802,-0.15069707826474,0.0673523698568061,0.0857397950966375,0,0.0123590955613639,0,-0.0858202428654957,0.0145243124572355,-0.02837246608657,-0.0897510033063763,0.108031884119507,0.120312621126557,-0.120316097180888,0.048872485715218,0.116452736360328,0.0240190092975743,0.108031884119507,-0.0759041996489208
"TWIST1",-0.113036259788388,-0.184011328062617,0.107939836967554,0.141190340228319,-0.279960950947639,-0.0828587048729319,0.179878439326572,0.161740545316424,-0.295294300110492,0.100651603181928,0.138288356708471,0,-0.0129553324830851,0,-0.138421910011951,0.0452775079526188,-0.0272409252192372,-0.15613105722141,0.183963818724255,0.200835365518758,-0.200811464707127,0.0829386098643303,0.197751115759716,-0.211484773209161,0.183963818724255,-0.115087806878675
"TGFbeta",0.121215388765356,-0.012946633655121,0.089438439549324,-0.0461882576571356,0.247494689086485,0.109790789635044,-0.2474833442722,-0.107860289951849,0.290054833522658,0.00621208184863997,0.00931895551373464,0,-0.188738155447855,0,-0.00934621089667277,0.0665196102208952,0.147375205216285,0.051784043973744,0.0129632734179786,-0.189332677537286,0.189453859441712,-0.209817287986499,0.0135728744277529,0.0179769851760976,0.0129632734179786,0.0821075997396391
"TCF3",0.0670124003897196,-0.0263278585706517,0.0424587889377365,-0.0633403198559622,0.18602908517252,0.00904072561733658,-0.186609917699141,-0.0789209950749213,0.146232019584487,0.0187176059389147,0.022367219569406,0,-0.0690963307673438,0,-0.0215579710144928,0.0460717584038869,0.0586266214696562,0.0189936856670713,0.0265582648903679,-0.103518663881727,0.101954068441405,-0.00947574464941924,0.0281009510795552,0.0318791075964248,0.0265582648903679,0.202165051556558
"SNAI2",-0.0672191303344186,0.0263592957298747,-0.0424434701827121,0.0627572292133633,-0.186072900480746,-0.00918272929991369,0.186204383977301,-0.020935050410185,-0.146370766359947,-0.0187043643209513,-0.0221127592721556,0,0.0689523553412062,0,0.0222131363644754,-0.0458260502231808,-0.0582268567822327,-0.0189408787328018,-0.0263920320958639,0.102989392130539,-0.102797237852158,0.00925555058613581,-0.0280272578987216,-0.0319253108526336,-0.0263920320958639,-0.102086449096621
"SNAI1",0.105253353397695,0.12103554528237,0.138022591039522,0.0144201988496797,0.263996969178341,0.0581953615336491,-0.263942298962369,-0.089830569075729,0.201881377292914,-0.0898930251422887,-0.106501534419394,0,-0.123264311318764,0,0.106518687078056,-0.010659769599423,0.022784996863265,0.115047314144589,-0.12101801842265,-0.235467184250075,0.235496197880242,-0.058210778724793,-0.128834169805296,0.12759590652869,-0.12101801842265,0.0640931408028638
"OVOL2",-0.0544579158141671,0.0946205595895259,0.0431163824514109,0.0855204406974878,-0.12484969505078,0.00326658996939549,0.124923430753247,0.115158641885933,-0.179184370448075,-0.0946542813608498,-0.00665404039402607,0,0.150572373618409,0,0.00654276002150692,-0.116505199543057,-0.12343818909097,0.0766376018301099,-0.0946139020622403,0.153019508818365,-0.15307544029682,-0.00326865676833729,-0.0297835193924515,-0.0222652912708144,-0.0946139020622403,-0.153381086404578
"NP63",0.0171286263658426,-0.00315660223164764,0.0644037972004642,0.0275496799637833,-0.147290355500771,-0.00210102741676231,0.147274648107077,0.0477417460372911,-0.103436005348651,-0.0779122732942078,0.0234667826509851,0,0.023928508589609,0,-0.12331630973611,0.00225707408479852,-0.0865407197607076,-0.00155265104835266,0.00319765550250762,0.0640731974013836,-0.064361042129713,0.00200175144668204,0.125654870220428,-0.0247609583819189,0.00319765550250762,-0.0944149920402842
"miR9",-0.0371205250810791,0.0383298469024968,-0.0473297092256448,0.0233552701178916,-0.1318905116855,-0.0261418131346691,0.132111570440591,0.0542679944448995,-0.0693708076009856,-0.0233392423057351,-0.0305379697120789,0,0.0602541365690983,0,0.0302025868166066,-0.0360323565776277,-0.120878300417444,-0.00327654534919805,-0.0384017073879932,0.0596143027009305,-0.059035939858082,0.0261930004580172,-0.0418126461067371,-0.0103108142643282,-0.0384017073879932,-0.101623579759781
"miR34a",0.0205616254641314,-0.132352573008492,-0.00866448441426306,-0.183168494967525,0.0244355057034097,-0.0377993905359291,-0.0244488901601189,-0.0768255562643831,-0.0999651361719774,0.0783036811517391,0.102703768451967,0,-0.019543804746442,0,-0.10279270443698,0.127829257654558,0.10844881778443,-0.110992713411366,0.132330917839689,0.0136362161673088,-0.0135200130327052,0.0378355942178436,0.141798453245151,-0.100569727634214,0.132330917839689,0.0553174443497978
"miR30c",0.0197341714031385,-0.123044483095943,-0.0406372051238044,-0.0850024314625143,-0.111081560936897,-0.00439362336821861,0.11110720161651,-0.0271738460479583,-0.211926098416345,0.101949252246819,0.114005259697747,0,0.0887078022554471,0,-0.114112433872018,0.0878640363030468,0.0631254663368522,-0.00230841883500022,0.122999226109651,0.0882673982636097,-0.0880649791078457,0.00455520270263604,0.129174869013899,-0.105056058047276,0.122999226109651,0.00112109081740055
"miR205",0.00828902005968144,-0.164490209137252,0.0864160177099894,0.123301258193405,-0.0440116582495596,-0.0400684247656068,0.0439128155330323,0.0207110219918148,0.052940378400343,0.0510830601167859,0.0850096818500869,0,-0.164596384807813,0,-0.0851385095183061,0.0828837991821398,0.0800212144324803,-0.0755874036945131,0.164438656982621,0.00931758869030758,-0.00921370233947211,0.0400938175604012,0.183085104714553,0.102151513095823,0.164438656982621,0.0823070824721266
"miR200c",-0.044168527443621,0.188516968292294,-0.146567577346413,-0.0557741800845457,-0.14805384132028,-0.0721669579775666,0.148265326597651,0.0653814357728099,-0.212712999463584,-0.0594977334514048,-0.0977476437355222,0,0.214657104465429,0,0.0977511980273295,-0.112541915102978,-0.136332082487594,0.0743030123571111,-0.188497996814237,0.114814495366422,-0.114785677960708,0.0721362789483874,-0.202960852091485,-0.0274053205110897,-0.188497996814237,-0.0498740439443189
"miR200b",0.044168527443621,-0.188516968292294,0.146567577346413,0.0557741800845457,0.14805384132028,0.0721669579775666,-0.148265326597651,-0.0653814357728099,0.212712999463584,0.0594977334514048,0.0977476437355222,0,-0.214657104465429,0,-0.0977511980273295,0.112541915102978,0.136332082487594,-0.0743030123571111,0.188497996814237,-0.114814495366422,0.114785677960708,-0.0721362789483874,0.202960852091485,0.0274053205110897,0.188497996814237,0.0498740439443189
"miR200a",0.0364283013200264,-0.175846332839989,0.0756034806254778,0.033461314197321,0.143573803532101,0.0692504537598308,-0.143743879104812,-0.0880127084403936,0.202988808651641,0.0538456642153717,0.0895142303703487,0,-0.200899906174146,0,-0.0895888704983032,0.102189895410682,0.0978500569387955,-0.0704029463098477,0.175818879995272,-0.126774513829696,0.126850159519693,-0.0692481812391508,0.190941792712256,0.0267373573176856,0.175818879995272,0.115857025346119
"miR141",-0.0364283013200264,0.175846332839989,-0.0756034806254778,-0.033461314197321,-0.143573803532101,-0.0692504537598308,0.143743879104812,0.0880127084403936,-0.202988808651641,-0.0538456642153717,-0.0895142303703487,0,0.200899906174146,0,0.0895888704983032,-0.102189895410682,-0.0978500569387955,0.0704029463098477,-0.175818879995272,0.126774513829696,-0.126850159519693,0.0692481812391508,-0.190941792712256,-0.0267373573176856,-0.175818879995272,-0.115857025346119
"miR101",-0.115664063129123,0.0829198593412089,-0.135523697223989,-0.0709459263309029,-0.214966562593454,0.00597051294134672,0.215065860957759,0.0626681743781938,-0.267658871961675,-0.0480529957567393,-0.0620394970747715,0,0.136122594843685,0,0.0619502675975513,-0.0964552345765632,-0.108055577806732,-0.0164759020461829,-0.0829271102558129,0.197721784406921,-0.297626082995325,-0.00592439869539849,-0.0913404883070751,-0.137896700010769,-0.0829271102558129,0.00646098904060749
