"","FOXC2","TGF","TGFR","CDC42","PAK1","SOSGRB2","SNAI1","HEY1","EGR1","MEK","SMAD","ILK","SHH","TWIST1","AKT","ERK","cfos","IKK","NFB","SMO","Csn","FUS","Jagged","NOTCH","NOTCHic","Csl","KLF4","cateninmemb","ZEB2","ZEB1","SNAI2","RAS","RAF","PI3K","DELTA","GSK3","Ecadherin","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"TrCP",-0.433855475132941,-0.456531465273692,-0.419932041642568,-0.373778195488722,-0.311278195488722,-0.353150787696924,-0.341071428571429,-0.0874230949041608,-0.3,-0.488442565186751,-0.0931394314993334,-0.080065226552337,-0.174245062987232,-0.390467072158265,-0.18922305764411,-0.43030303030303,-0.363636363636364,-0.155889724310777,-0.119047619047619,-0.129032258064516,-0.0761904761904762,-0.1,-0.22886224014042,-0.248011082484767,-0.213508158508158,-0.171969696969697,0.543239457165781,0.564875887574339,-0.593595426597478,-0.593595426597478,-0.566464415322336,-0.409370526760853,-0.374608621998949,-0.374608621998949,-0.374608621998949,0.347259936337452,0.646186965890916,0.605406122616439,-0.445033839584344,-0.393936549614942,-0.421934843888504,-0.363283283283283,-0.394871504157218,-0.364259259259259,-0.328148148148148,-0.328148148148148,-0.28,-0.28,-0.430314495917212,0.0333333333333333,0.0666666666666667,-0.2,-0.394825334442841,0.152319929297393,0.363636363636364
"SUFU",-0.500872954155205,-0.596408804013595,-0.563873873873874,-0.523333333333333,-0.481666666666667,-0.372416185887904,-0.410925704674914,-0.150062872450932,-0.271428571428571,-0.388098663926002,-0.145202730635274,-0.135759631361666,-0.364193267917029,-0.346987929652541,-0.29569387755102,-0.354285714285714,-0.314285714285714,-0.270523809523809,-0.23452380952381,-0.32,-0.192857142857143,-0.286666666666667,-0.28391411677356,-0.390712506098553,-0.361912506098553,-0.322377622377622,0.501115015387442,0.469234156919504,-0.560095318742401,-0.560095318742401,-0.519351725883056,-0.442945242741754,-0.416646541443053,-0.416646541443053,-0.416646541443053,0.374715248120846,0.522840514777296,0.572033660063308,-0.344876403664286,-0.406400653029867,-0.325104146935507,-0.379059829059829,-0.30236442090811,-0.275091693635383,-0.344444444444444,-0.241111111111111,-0.3,-0.196666666666667,-0.435654924256741,0.15,0.253333333333333,-0.15,-0.354161272497005,0.343711340206186,0.314285714285714
"Patched",-0.39,-0.481666666666667,-0.44,-0.4,-0.3,-0.3,-0.321264367816092,-0.1,0,-0.271428571428571,-0.113939393939394,-0.0939393939393939,-0.286666666666667,-0.240740740740741,-0.192857142857143,-0.2,-0.1,-0.15,-0.1,-0.333333333333333,0,-0.3,-0.201318681318681,-0.278787878787879,-0.233333333333333,-0.2,0.355555555555556,0.354623655913978,-0.433333333333333,-0.433333333333333,-0.414204204204204,-0.350512820512821,-0.303846153846154,-0.303846153846154,-0.303846153846154,0.3,0.39656862745098,0.440476190476191,-0.275091693635383,-0.3,-0.241111111111111,-0.25,-0.196666666666667,-0.15,-0.2,-0.1,-0.2,-0.1,-0.321645021645022,0,0.2,-0.1,-0.29965367965368,0.253333333333333,0.1
"Ecadherin",-0.418590979519357,-0.401885774982936,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.31830985915493,-0.356608605040074,-0.123630408482856,-0.275,-0.393339307048984,-0.109273734031799,-0.100092592592593,-0.34271330429199,-0.43756747476977,-0.367525758841548,-0.363709677419355,-0.325,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.26,-0.266666666666667,-0.373104974469877,-0.403658093244442,-0.376317269274404,-0.342296650717703,0.30464135021097,0.620505721991601,-0.388007786846796,-0.388007786846796,-0.488499881733748,-0.422397330789174,-0.401270570225794,-0.401270570225794,-0.401270570225794,0.362765978214796,0.604713045711963,0.397277365813951,-0.412204579923409,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.354179441221987,0.323191391941392,0.325
"cateninmemb",-0.418590979519357,-0.401885774982936,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.31830985915493,-0.356608605040074,-0.123630408482856,-0.275,-0.393339307048984,-0.109273734031799,-0.100092592592593,-0.34271330429199,-0.43756747476977,-0.367525758841548,-0.363709677419355,-0.325,-0.33989417989418,-0.302857142857143,-0.297916666666667,-0.26,-0.266666666666667,-0.373104974469877,-0.403658093244442,-0.376317269274404,-0.342296650717703,0.30464135021097,0.524597235426234,-0.388007786846796,-0.388007786846796,-0.488499881733748,-0.422397330789174,-0.401270570225794,-0.401270570225794,-0.401270570225794,0.362765978214796,0.605787845083787,0.397277365813951,-0.412204579923409,-0.377230529741969,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.353267511251214,-0.326310989512084,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.427956280172798,0.2,0.233333333333333,-0.266666666666667,-0.354179441221987,0.323191391941392,0.325
"GSK3",-0.245916113256391,-0.274194836088413,-0.255940867834445,-0.23650623885918,-0.201212121212121,-0.211611493082081,-0.15066009366234,-0.0841564318034906,-0.175555555555556,-0.275710220066822,-0.077995018544536,-0.0704508772925296,-0.143248137108793,-0.278765352694706,-0.193396186884559,-0.245954122505847,-0.213486590038314,-0.176279069767442,-0.16,-0.11576112412178,-0.133333333333333,-0.104285714285714,-0.192946751575124,-0.257664633057928,-0.239605333866553,-0.221295474711624,0.350579743708507,0.413244199298653,-0.381164959031335,-0.381164959031335,-0.407457046869824,-0.222265854004635,-0.202830457696275,-0.202830457696275,-0.202830457696275,0.024865230908223,0.483798690580934,0.38624130926351,-0.376644914264719,-0.346614730685836,-0.363271258350741,-0.327475974704974,-0.346574343650196,-0.327733763940051,-0.308270676691729,-0.308270676691729,-0.286842105263158,-0.286842105263158,-0.384432910017492,0.0866666666666667,0.09,-0.25,-0.017245316294248,0.128748137108793,0.213486590038314
"miR200",-0.118712346775407,-0.144771725258151,-0.125245098039216,-0.100245098039216,-0.0708333333333333,-0.136319035604149,-0.104956473801361,-0.0137054354178843,-0.0333333333333333,-0.163659420289855,-0.0164802371024948,-0.0101257220523276,-0.0704003415712277,-0.229142215808882,-0.0746486537198612,-0.131159420289855,-0.0833333333333333,-0.0570015948963317,-0.0357894736842105,-0.0467857142857143,-0.02,-0.0325,-0.114262020905923,-0.131070218400296,-0.111995073891626,-0.0869950738916256,0.349245664053219,0.407328901138483,-0.37161938534279,-0.37161938534279,-0.317504613848305,-0.287070275222354,-0.266865671641791,-0.266865671641791,-0.266865671641791,0.23020770807536,0.441282209594903,0.304421698097174,-0.336877297561658,-0.306709178145798,-0.324339071261964,-0.28912676056338,-0.309539071261964,-0.291561543172076,-0.268,-0.270434782608696,-0.24,-0.24,-0.34124135524529,0,0.02,-0.2,-0.315929584000659,0.0581781193490054,0.0833333333333333
"RKIP",-0.293569148388426,-0.319075358298659,-0.267619047619048,-0.22,-0.2,-0.118333333333333,-0.213801261018483,-0.149122807017544,-0.1,-0.212820512820513,-0.146647058823529,-0.142647058823529,-0.202463768115942,-0.3718782249742,-0.152649769585253,-0.166666666666667,-0.133333333333333,-0.110714285714286,-0.0857142857142857,-0.14,-0.1,-0.1,-0.254848171152519,-0.208565656565657,-0.156565656565657,-0.111111111111111,0.332663797226208,0.47456648377701,-0.370163797226208,-0.370163797226208,-0.621478005688532,-0.100776397515528,-0.0564285714285714,-0.0564285714285714,-0.0564285714285714,0.160637134263057,0.54161571275949,0.379067679490321,-0.376738056964007,-0.32,-0.351288185498712,-0.27,-0.318421052631579,-0.268421052631579,-0.2,-0.2,-0.1,-0.1,-0.337271448663854,0.1,0.1,0,-0.0261803683324487,0.179130434782609,0.133333333333333
"KLF4",-0.390184513006655,-0.373652623798965,-0.340969696969697,-0.307636363636364,-0.263636363636364,-0.3,-0.335454758886228,-0.108561915332171,-0.2,-0.363709677419355,-0.100092592592593,-0.0875,-0.323191391941392,-0.412614379084967,-0.33989417989418,-0.325,-0.275,-0.302857142857143,-0.26,-0.266666666666667,-0.2,-0.233333333333333,-0.353289306267112,-0.376317269274404,-0.342296650717703,-0.305454545454545,0.266666666666667,0.592777865765671,-0.354514963880289,-0.354514963880289,-0.463834025111634,-0.401270570225794,-0.375897435897436,-0.375897435897436,-0.375897435897436,0.346211168371395,0.673337617420235,0.362568172568173,-0.395647049521164,-0.353897196408636,-0.376344434328137,-0.326310989512084,-0.353267511251214,-0.326310989512084,-0.296078431372549,-0.296078431372549,-0.266666666666667,-0.266666666666667,-0.40259545543053,0.1,0.2,-0.233333333333333,-0.342269118942678,0.297916666666667,0.275
"ZEB2",-0.232127938894856,-0.221488261011998,-0.213961379291568,-0.204239157069346,-0.194805194805195,-0.16944099378882,-0.154638694638695,-0.136964044685678,-0.133333333333333,-0.129749103942652,-0.128942787075215,-0.12765246449457,-0.125529139107338,-0.123310623345612,-0.122960502030269,-0.122222222222222,-0.122222222222222,-0.120103359173127,-0.117777777777778,-0.116263736263736,-0.111111111111111,-0.107692307692308,-0.107462759305623,-0.0981806651180752,-0.0932082894274675,-0.0863589743589744,-0.0579329004329004,-0.0445403722428213,-0.044288507191733,-0.044288507191733,-0.0412240603489313,-0.0234264345076133,-0.017466169606951,-0.017466169606951,-0.017466169606951,-0.000806564029046285,0.00137010174165566,0.00808272791564871,0.0455834429999595,0.0470720020720021,0.0494726981087268,0.0517016317016317,0.0540990326282997,0.0587719298245614,0.0593939393939394,0.0666666666666667,0.0727272727272727,0.08,0.0868626564148952,0.1,0.1,0.1,0.111812488737771,0.121263736263736,0.122222222222222
