"","FOXC2","TGF","TGFR","CDC42","PAK1","MEK","SNAI1","EGR1","ERK","cfos","HEY1","SMAD","Jagged","ILK","SHH","NOTCH","AKT","TWIST1","NOTCHic","IKK","NFB","Csl","SMO","FUS","Csn","SOSGRB2","KLF4","ZEB2","ZEB1","SNAI2","cateninmemb","RAS","RAF","PI3K","DELTA","Ecadherin","GSK3","miR200","cateninnuc","GLI","TCFLEF","Wnt","CD44","cMet","Frizzled","SRC","DSH","STAT","AXIN2","TrCP","SUFU","LIV1","Destcompl","Patched","RKIP"
"Destcompl",0.0584738119091728,0.0269129378924287,0.0300812547241119,0.0279648526077097,0.0210204081632653,0.0524161110207622,0.097246388537813,0.0625641025641026,0.0534731934731935,0.0534731934731935,0.0162409150482545,0.0138609731432509,0.0133903849079568,0.0133903849079568,-0.119841577945035,0.0449802631010685,0.0449802631010685,-0.0389918631646777,0.0496782496782497,0.0496782496782497,0.0523809523809524,0.0523809523809524,-0.111877394636015,-0.111877394636015,0.0523809523809524,-0.0611894903500104,-0.204564592019881,0.19393316206101,0.19393316206101,-0.233493539413499,0.214585140513281,0.00185341010655424,0.00295231120545534,0.00295231120545534,0.00295231120545534,0.0507397828213956,-0.0887065716616701,-0.205545789462667,-0.186308723921479,-0.185758339602481,-0.185925582159027,-0.183346465762036,-0.185102536891537,-0.182863730921388,-0.180376168732333,-0.180376168732333,-0.181746031746032,-0.181746031746032,-0.238655152327198,-0.0666666666666667,0.122222222222222,-0.188888888888889,-0.0199156267531002,0.116540607071248,-0.123546016075956
"AXIN2",0.111699354717835,0.0654695043302008,0.0643086419753086,0.0647530864197531,0.0783333333333333,0.112173110813668,0.156715586196062,0.153333333333333,0.117363422232353,0.131382113821138,0.0262987012987013,0.0181001322522196,0.0220841959972395,0.0220841959972395,-0.153439770611902,0.101497584541063,0.101497584541063,-0.0362994700547762,0.104830917874396,0.104830917874396,0.109178743961353,0.109178743961353,-0.152930402930403,-0.157692307692308,0.122222222222222,-0.0772774023545412,-0.253501382288075,0.246283856988082,0.246283856988082,-0.276971589335747,0.249243168705326,0.0667622309742845,0.069649370081896,0.069649370081896,0.069649370081896,0.0621538256420446,-0.170421160202625,-0.2603841472484,-0.239823477727458,-0.237208142308837,-0.238655152327198,-0.235950280673617,-0.236896652913364,-0.235950280673617,-0.237674418604651,-0.237674418604651,-0.24,-0.24,0.182032686545068,-0.133333333333333,0.15,-0.233333333333333,0.159719384343445,0.151144688644689,-0.180140692640693
"Wnt",0.176356275303644,0.203188405797101,0.146666666666667,0.1,0.1,0.119607843137255,0.104658385093168,0.1,0.0666666666666667,0.0666666666666667,0.0656410256410257,0.0566487775790101,0.058974358974359,0.058974358974359,0.10974025974026,0.136666666666667,0.136666666666667,0.222941176470588,0.0866666666666667,0.0866666666666667,0.0666666666666667,0.0666666666666667,0.05,0,0.1,0.0939393939393939,-0.262745098039216,0.304208512673362,0.304208512673362,0.340258620689655,-0.334703389830508,0.150615174299385,0.118796992481203,0.118796992481203,0.118796992481203,-0.402475553557379,-0.0729623824451411,-0.306262626262626,0.328800478016233,0.286842105263158,0.308270676691729,0.25,0.286842105263158,0.25,0.3,0.2,0.2,0.1,0.31030303030303,-0.1,0,0,-0.0233176107971793,-0.0954545454545455,-0.12
"Frizzled",0.213565577629225,0.240331262939959,0.203188405797101,0.146666666666667,0.1,0.164052287581699,0.118258385093168,0.0666666666666667,0.119607843137255,0.0666666666666667,0.0612931995540691,0.0631908336537765,0.0566487775790101,0.0566487775790101,0.119417679095098,0.161666666666667,0.161666666666667,0.24484593837535,0.136666666666667,0.136666666666667,0.0866666666666667,0.0866666666666667,0.0954545454545455,0.05,0.0666666666666667,0.127272727272727,-0.300840336134454,0.338861978019897,0.338861978019897,0.368334330468835,-0.366766881894001,0.173449819968676,0.150615174299385,0.150615174299385,0.150615174299385,-0.437673688755514,-0.0929623824451411,-0.342200126262626,0.348800478016233,0.308270676691729,0.328800478016233,0.286842105263158,0.308270676691729,0.286842105263158,0.25,0.25,0.3,0.2,0.340535588442565,-0.1,0,0.1,-0.00819824740195381,-0.10974025974026,-0.141428571428571
"HEY1",0.388201754385965,0.372088500502294,0.340068796068796,0.307636363636364,0.263636363636364,0.36429367201426,0.333717559824739,0.2,0.328877005347594,0.281818181818182,0.0977564102564102,0.105372549019608,0.0906666666666667,0.0906666666666667,0.324798387096774,0.33989417989418,0.33989417989418,0.411370582405065,0.302857142857143,0.302857142857143,0.26,0.26,0.266666666666667,0.233333333333333,0.2,0.28138936535163,-0.265618448637317,0.352705882352941,0.352705882352941,0.464864059106832,-0.592542735042735,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.672669461495562,-0.348106210167198,-0.360860215053763,0.395445557923643,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.326456018208595
"FOXC2",0.388201754385965,0.372088500502294,0.340068796068796,0.307636363636364,0.263636363636364,0.36429367201426,0.333717559824739,0.2,0.328877005347594,0.281818181818182,0.0977564102564102,0.105372549019608,0.0906666666666667,0.0906666666666667,0.324798387096774,0.33989417989418,0.33989417989418,0.411370582405065,0.302857142857143,0.302857142857143,0.26,0.26,0.266666666666667,0.233333333333333,0.2,0.28138936535163,-0.265618448637317,0.352705882352941,0.352705882352941,0.464864059106832,-0.592542735042735,0.400897435897436,0.375897435897436,0.375897435897436,0.375897435897436,-0.672669461495562,-0.348106210167198,-0.360860215053763,0.395445557923643,0.353897196408636,0.376344434328137,0.326310989512084,0.353267511251214,0.326310989512084,0.296078431372549,0.296078431372549,0.266666666666667,0.266666666666667,0.40259545543053,-0.1,-0.2,0.233333333333333,0.341987979717644,-0.297916666666667,-0.326456018208595
"DSH",0.230956881977051,0.258513081121777,0.240331262939959,0.203188405797101,0.146666666666667,0.19187183645388,0.1337102801369,0.0666666666666667,0.164052287581699,0.119607843137255,0.0684360566969263,0.0763983808235878,0.0631908336537765,0.0631908336537765,0.13107412081289,0.176609195402299,0.176609195402299,0.262283660795279,0.161666666666667,0.161666666666667,0.136666666666667,0.136666666666667,0.10974025974026,0.0954545454545455,0.0866666666666667,0.156541019955654,-0.33287917108591,0.363763163790648,0.363763163790648,0.392199289723783,-0.394446504979984,0.195578671509292,0.173449819968676,0.173449819968676,0.173449819968676,-0.465026371253315,-0.11036377455651,-0.368805630849782,0.366164681043837,0.328532114600226,0.348800478016233,0.308270676691729,0.328800478016233,0.308270676691729,0.286842105263158,0.286842105263158,0.25,0.25,0.364586221353958,-0.0666666666666667,-0.05,0.2,0.00458801214003092,-0.119417679095098,-0.159738430583501
"RAF",0.296006483937518,0.320890075656431,0.267619047619048,0.22,0.2,0.227666911225238,0.22073762506942,0.17,0.187241379310345,0.17,0.159581881533101,0.156725110893631,0.153754813863928,0.153754813863928,0.208590163934426,0.156168831168831,0.156168831168831,0.374004753416518,0.110714285714286,0.110714285714286,0.0857142857142857,0.0857142857142857,0.14,0.1,0.1,0.0613968253968254,-0.332663797226208,0.372663797226208,0.372663797226208,0.624385964912281,-0.474936280818634,0.0945637695637696,0.050974025974026,0.050974025974026,0.050974025974026,-0.543314330360812,-0.164381402679275,-0.380952950808151,0.377496836898203,0.32,0.351288185498712,0.27,0.318421052631579,0.268421052631579,0.2,0.2,0.1,0.1,0.337271448663854,-0.1,-0.1,0,0.0227081076332972,-0.184,-0.226050420168067
"SHH",0.35,0.44,0.4,0.3,0.2,0.3,0.283333333333333,0,0.2,0.1,0.0666666666666667,0.1,0.0666666666666667,0.0666666666666667,0.253333333333333,0.15,0.15,0.2,0.1,0.1,0,0,0.3,0.2,0,0.25,-0.3,0.375,0.375,0.36727969348659,-0.299068100358423,0.303846153846154,0.25,0.25,0.25,-0.341666666666667,-0.271794871794872,-0.383333333333333,0.241111111111111,0.25,0.196666666666667,0.2,0.15,0.1,0.2,0.1,0.2,0.1,0.276190476190476,0,-0.2,0,0.272987012987013,-0.333333333333333,-0.26
"PI3K",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.192441566790651,0.172727385336081,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0729055258467023,0.0798917967186875,0.0694917967186875,0.0694917967186875,0.132051282051282,0.176018099547511,0.276018099547511,0.276816119652898,0.152941176470588,0.252941176470588,0.2,0.1,0.1,0.05,0.166666666666667,0.163461538461538,-0.336842105263158,0.375508463573364,0.375508463573364,0.395363646725939,-0.396875422177051,0.21635343651782,0.18621645021645,0.18621645021645,0.18621645021645,-0.472077970556085,-0.18481240981241,-0.376039526859199,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0192574231537553,-0.115384615384615,-0.165481577246283
"ILK",0.255049941927991,0.273778574844572,0.233941176470588,0.177941176470588,0.125,0.192441566790651,0.172727385336081,0.0666666666666667,0.148179271708683,0.0952380952380952,0.0729055258467023,0.0798917967186875,0.0694917967186875,0.0694917967186875,0.132051282051282,0.176018099547511,0.276018099547511,0.276816119652898,0.152941176470588,0.252941176470588,0.2,0.1,0.1,0.05,0.166666666666667,0.163461538461538,-0.336842105263158,0.375508463573364,0.375508463573364,0.395363646725939,-0.396875422177051,0.21635343651782,0.18621645021645,0.18621645021645,0.18621645021645,-0.472077970556085,-0.18481240981241,-0.376039526859199,0.381335109628571,0.332612411742847,0.358036140556406,0.303381642512077,0.332612411742847,0.303381642512077,0.255555555555556,0.255555555555556,0.2,0.2,0.358952380952381,-0.2,0,0.1,-0.0192574231537553,-0.115384615384615,-0.165481577246283
"SNAI2",0.424095796676442,0.410415953215142,0.374992755722979,0.333613445378151,0.276470588235294,0.393237294917967,0.368848007255315,0.2,0.349019607843137,0.288235294117647,0.0994266994266994,0.112267809757093,0.0934272300469483,0.0934272300469483,0.365447812927988,0.36889281262983,0.36889281262983,0.447366754692336,0.326724137931034,0.326724137931034,0.275,0.275,0.301176470588235,0.26,0.2,0.323799864773496,-0.285905550146056,0.377292471042471,0.377292471042471,0.710709954072689,-0.63740252833956,0.442051352058506,0.412827607766268,0.412827607766268,0.412827607766268,-0.808219232829502,-0.386470390385003,-0.385403534791744,0.449418177528942,0.402974962071897,0.427956280172798,0.373563197366014,0.40259545543053,0.373563197366014,0.341168831168831,0.341168831168831,0.305454545454545,0.305454545454545,0.447100565604419,-0.1,-0.2,0.26,0.385743987724154,-0.335870348139256,-0.353411499735029
"cateninnuc",0.392919002575726,0.376903781991347,0.356331724785626,0.329742129409903,0.297959183673469,0.37419404586708,0.334902240444858,0.297101449275362,0.352715985820891,0.326133707339878,0.114695692883895,0.111482376024809,0.103321933424533,0.103321933424533,0.217623927588845,0.345489501312336,0.345489501312336,0.323460352794133,0.328166666666667,0.328166666666667,0.304166666666667,0.304166666666667,0.18792349726776,0.163333333333333,0.270833333333333,0.25955248725272,-0.298921273602147,0.38013037397633,0.38013037397633,0.463245253179978,-0.40906297216543,0.388498143434852,0.372717552717553,0.372717552717553,0.372717552717553,-0.491908420550131,-0.337898498740415,-0.387486145764674,0.18164417721086,0.254721529215275,0.268603111728063,0.238054862548609,0.253760533017419,0.237027465288335,0.217402688635565,0.216375291375291,0.191375291375291,0.191375291375291,0.395445557923643,-0.233333333333333,-0.133333333333333,0.160606060606061,0.319655842353214,-0.204904629343231,-0.348074479224912
"RAS",0.345396825396825,0.367769365171811,0.315294117647059,0.28,0.26,0.315727554179567,0.306489675516224,0.26,0.286315789473684,0.26,0.161857707509881,0.158750773036487,0.156709956709957,0.156709956709957,0.192870056497175,0.212222222222222,0.212222222222222,0.375242771412984,0.173333333333333,0.173333333333333,0.166666666666667,0.166666666666667,0.116666666666667,0.1,0.2,0.0125541125541125,-0.356428571428571,0.398696612665685,0.398696612665685,0.57634173186284,-0.400410502033264,0.153717948717949,0.205641025641026,0.205641025641026,0.205641025641026,-0.47119473173547,-0.216989664082687,-0.407661538461538,0.410022792164208,0.338970588235294,0.37971117743333,0.276470588235294,0.338172715894869,0.276470588235294,0.2,0.2,0.1,0.1,0.349934123847167,-0.2,-0.1,0,-0.0340659026705538,-0.160666666666667,-0.392622641509434
"SOSGRB2",0.370573870573871,0.39267243394903,0.343736263736264,0.301428571428571,0.271428571428571,0.359400959400959,0.356393745557925,0.276190476190476,0.323037323037323,0.30952380952381,0.261647727272727,0.259196932100158,0.252903225806452,0.252903225806452,0.298701026608003,0.338011695906433,0.338011695906433,0.403942028985507,0.304678362573099,0.304678362573099,0.288888888888889,0.288888888888889,0.233333333333333,0.2,0.3,-0.0272222222222222,-0.362017543859649,0.400588972431078,0.400588972431078,0.645446544203578,-0.494195273195273,0.333311603650587,0.285875706214689,0.285875706214689,0.285875706214689,-0.563557925110508,-0.31585308255715,-0.410651126415904,0.400453903067587,0.331521739130435,0.370434782608696,0.275,0.330434782608696,0.273913043478261,0.2,0.2,0.1,0.1,0.345606435643564,-0.2,-0.2,0,-0.0356106235300866,-0.268468468468469,-0.381834795321637
"AKT",0.278068809852519,0.298020999086996,0.273778574844572,0.233941176470588,0.177941176470588,0.221555490841284,0.194641743018701,0.0952380952380952,0.192441566790651,0.148179271708683,0.0843559075260916,0.0923497091765999,0.0798917967186875,0.0798917967186875,0.14889338731444,0.195210018739431,0.195210018739431,0.300129003088481,0.176018099547511,0.276018099547511,0.252941176470588,0.152941176470588,0.115384615384615,0.1,0.2,0.196794871794872,-0.370175438596491,0.404718085566492,0.404718085566492,0.42360485275609,-0.428577766723433,0.243100424469627,0.21635343651782,0.21635343651782,0.21635343651782,-0.50439967010085,-0.205376925941442,-0.405798239995928,0.400873571167032,0.357752076547316,0.381335109628571,0.332612411742847,0.358036140556406,0.332612411742847,0.303381642512077,0.303381642512077,0.255555555555556,0.255555555555556,0.388916279869348,-0.166666666666667,-0.05,0.2,-0.00412094672695625,-0.132051282051282,-0.189231577246283
"MEK",0.33744792537896,0.363955769087088,0.320890075656431,0.267619047619048,0.22,0.174333577891905,0.245898915392,0.17,0.227666911225238,0.187241379310345,0.161433733384953,0.165950203144554,0.156725110893631,0.156725110893631,0.227544412300439,0.185580595874714,0.185580595874714,0.406605486017251,0.156168831168831,0.156168831168831,0.110714285714286,0.110714285714286,0.184,0.14,0.0857142857142857,0.0925079365079365,-0.369918699186992,0.410759035321446,0.410759035321446,0.659179152260213,-0.51249725642839,0.129801864801865,0.0945637695637696,0.0945637695637696,0.0945637695637696,-0.584662235643144,-0.192145530443403,-0.419033446164188,0.400545164035749,0.352867132867133,0.377496836898203,0.32,0.351288185498712,0.318421052631579,0.27,0.268421052631579,0.2,0.2,0.379613791006196,-0.1,-0.1,0.1,0.0427917896416654,-0.208590163934426,-0.257629367536488
"CD44",0.37875,0.372222222222222,0.35,0.3,0.2,0.415,0.373019670388091,0.3,0.385,0.325,0.204093567251462,0.197619047619048,0.183333333333333,0.183333333333333,0.177272727272727,0.26,0.26,0.351941391941392,0.266666666666667,0.266666666666667,0.2,0.2,0.15,0.1,0.2,-0.00238095238095239,-0.277777777777778,0.420634920634921,0.420634920634921,0.439156399156399,-0.144450549450549,0.203809523809524,0.166666666666667,0.166666666666667,0.166666666666667,-0.283107697318424,-0.223809523809524,-0.431699604743083,0.132277877161598,0.0233333333333333,0.0861240310077519,-0.05,0.0233333333333333,0.05,-0.1,0,0,0.1,-0.02,-0.1,-0.1,0.1,-0.159085452362763,-0.15,-0.423703703703704
"IKK",0.497806637806638,0.529191919191919,0.469191919191919,0.405555555555556,0.35,0.252190476190476,0.293091168091168,0.1,0.178857142857143,0.142857142857143,0.1792663476874,0.18578795379538,0.172916666666667,0.172916666666667,0.2557343550447,0.321042471042471,0.321042471042471,0.532941176470588,0.264285714285714,0.264285714285714,0.314285714285714,0.214285714285714,0.18,0.12,0.3,0.301890756302521,-0.363369963369963,0.425418546365915,0.425418546365915,0.660347091652491,-0.569256032607988,0.380598655453593,0.334119782214156,0.334119782214156,0.334119782214156,-0.682863893582049,-0.224505494505495,-0.428840579710145,0.439530455479823,0.376239316239316,0.40957264957265,0.331623931623932,0.376239316239316,0.331623931623932,0.277777777777778,0.277777777777778,0.2,0.2,0.403095238095238,-0.2,-0.1,0.1,0.139265491747074,-0.228148148148148,-0.277322404371585
"Csn",0.253408429994954,0.279596679832344,0.252802421459138,0.206648575305292,0.145454545454545,0.244680735930736,0.163695448466368,0.106666666666667,0.209264069264069,0.161212121212121,0.0723144609014174,0.0823617387046469,0.0687370600414079,0.0687370600414079,0.139396839132429,0.205766666666667,0.205766666666667,0.294777786456299,0.184166666666667,0.184166666666667,0.155,0.155,0.108513708513709,0.0873015873015873,0.105,0.171982013144241,-0.399880772821949,0.437031633815566,0.437031633815566,0.438332543420922,-0.442370015831975,0.237302312331696,0.209087341122483,0.209087341122483,0.209087341122483,-0.516666277623432,-0.149229914302437,-0.444881466416248,0.419835433947705,0.37427547866515,0.398849264374644,0.348511286525412,0.374733508747634,0.348511286525412,0.318390804597701,0.318390804597701,0.266666666666667,0.266666666666667,0.407069759206799,-0.18,-0.0428571428571429,0.2,0.0504276184258625,-0.124642740771773,-0.179751126680612
