"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0891762027967953,-0.0886782648535796,-0.0247684194955801,-0.0179143090768026,0.119835071628965,0.0221509710995078,0.115309503900986,0.0176227335274951,-0.115514055166646,0,-0.0108789661804431,-0.0108789661804431
"SNAIL",-0.0335883103653784,-0.029000287391497,0.0425425139869089,0.0317093648357071,-0.0642802675247759,-0.0990153782939287,-0.106422361076849,-0.0366407701008164,0.105012882447099,0,0.0357908859990661,0.0357908859990661
"OVOL2",-0.034097541504906,0.0805397461706937,-0.0569625306780184,0.0329160620262669,-0.0607837489714447,-0.0403178927260248,-0.0912524414802892,-0.0356998248462272,0.0902815676938815,0,0.0350779336617688,0.0350779336617688
"OCT4",0.0169480064600059,-0.0367064078447757,-0.0250821082199924,0.151705040434234,0.00778178920351051,0.0185059312901879,-0.0533425632795886,-0.155834904363573,0.0520022369392623,0,-0.0154028939790196,-0.0154028939790196
"NRF2",0.0357908859990661,-0.0752559283691435,-0.0367827586490825,-0.0401465652192162,0.0675038847626449,0.0946503251340528,0.105012882447099,0.0317093648357071,-0.107263213378119,0,-0.0318092752938695,-0.0318092752938695
"miR34",0.0357908859990661,-0.0752559283691435,-0.0367827586490825,-0.0401465652192162,0.0675038847626449,0.0946503251340528,0.105012882447099,0.0317093648357071,-0.107263213378119,0,-0.0318092752938695,-0.0318092752938695
"miR200",-0.00833790256093267,0.00575927119037477,0.0250101563653818,0.013899352673809,-0.0141006173538436,-0.0077209287291323,-0.104697674819405,-0.0160870951098059,0.00397976537171657,0,0.00917361723176892,0.00917361723176892
"miR145",-0.0217326134135658,0.089448690992613,0.0294676873137465,-0.191751649336584,-0.103622772819421,-0.0315359475704119,-0.0220144489155322,0.0897422090129158,0.0212551664791534,0,0.0223797861661758,0.0223797861661758
"KEAP1",-0.0318092752938695,0.0693139972415271,0.0464978791750139,0.0263428842376211,-0.161775570523692,-0.101739956813848,-0.107263213378119,-0.0401465652192162,0.103821440629415,0,0.0387798557338377,0.0387798557338377
"Iext",0.0357908859990661,-0.0752559283691435,-0.0367827586490825,-0.0401465652192162,0.0675038847626449,0.0946503251340528,0.105012882447099,0.0317093648357071,-0.107263213378119,0,-0.0318092752938695,-0.0318092752938695
"GRHL2",-0.0108789661804431,0.0874120693294336,0.0251961083915091,0.0170542363014139,-0.119835071628965,-0.022688804927401,-0.115514055166646,-0.0179143090768026,0.115085133598019,0,0.0109768417058044,0.0109768417058044
"Ecad",-0.0118372200148196,0.127702773784732,0.0265632177601046,0.0156649563535636,-0.229169808763263,-0.117461996145364,-0.147637802427853,-0.0188214189385976,0.14667247043759,0,0.0131615980301446,0.0131615980301446
