"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.094598165142619,0.0396278533063085,-0.111184711344225,0.0136696226432789,0.0318504268566197,-0.000219507074335215,-0.00440374917419034,-0.00407886975355693,0.0145546057326153,0,0.00168292960667907,0.00168292960667907
"SNAIL",-0.0269683966083945,-0.0322110475609923,0.0714968085350566,-0.0234184929952429,-0.0328881691728062,-0.0548736985936681,-0.0557077126780983,0.0406598723055878,0.0740035663477603,0,0.0398159027408557,0.0398159027408557
"OVOL2",0.148003205962946,0.111739025659072,0.0541070686683311,0.161041421266814,-0.0225934300155122,-0.160502561759248,-0.234656727697873,-0.163428734892601,0.232126089467729,0,-0.149773853615947,-0.149773853615947
"OCT4",0.0132654901021766,0.0485204546735489,-0.120179993159516,0.125881847453637,-0.0634777761218745,-0.00332689806057019,-0.107069083549145,-0.108383637857075,0.125454864434926,0,-0.000592365452428742,-0.000592365452428742
"NRF2",0.0398159027408557,-0.037342260487891,-0.0634829896530268,0.0452305735321557,0.0564036086027349,0.0753518072907559,0.0740035663477603,-0.0234184929952429,-0.0508972271802357,0,-0.0236513842284183,-0.0236513842284183
"miR34",0.0398159027408557,-0.037342260487891,-0.0634829896530268,0.0452305735321557,0.0564036086027349,0.0753518072907559,0.0740035663477603,-0.0234184929952429,-0.0508972271802357,0,-0.0236513842284183,-0.0236513842284183
"miR200",0.00349428540592549,-0.0248433214876548,0.113493917853385,0.000435251370016665,0.0843683124037914,0.0176409804401848,0.0194450948806985,0.0129239418029857,-0.105230487816469,0,0.00653968235166334,0.00653968235166334
"miR145",-0.00754974815388551,-0.0239776423328113,0.137233007947339,-0.114148879908367,-0.0194342454926525,0.0209354609775681,0.0229453534237081,0.0277834045206389,-0.00843554950213947,0,0.0178431016424773,0.0178431016424773
"KEAP1",-0.0236513842284183,0.075559681149606,0.0735998632834139,-0.0179299600352232,-0.126780040681295,-0.0494842322428529,-0.0508972271802357,0.0452305735321557,0.0798929838987647,0,0.0440860516018611,0.0440860516018611
"Iext",0.0398159027408557,-0.037342260487891,-0.0634829896530268,0.0452305735321557,0.0564036086027349,0.0753518072907559,0.0740035663477603,-0.0234184929952429,-0.0508972271802357,0,-0.0236513842284183,-0.0236513842284183
"GRHL2",0.00168292960667907,-0.0227992313981813,0.115620003598304,-0.00172784295422828,-0.0188655640373198,0.0115974744333857,0.0145546057326153,0.0136696226432789,-0.00185035736660222,0,0.0072928318073344,0.0072928318073344
"Ecad",-0.00016760484306721,0.0890126493055332,-0.106978390086427,0.00556737520218285,-0.0931540334495618,-0.101949261132037,-0.0736207726604856,-0.0105469670389175,0.0683408263833094,0,-0.00355957328577585,-0.00355957328577585
