"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0111628327588072,0.124443003164079,-0.0310212153117685,0.0942338097728692,0.0539749749994429,-0.0225972410975501,-0.1631153111383,-0.0408442440121694,0.183845303467628,0,-0.0404148220257668,-0.0404148220257668
"SNAIL",-0.0900146542403358,0.057566036899395,0.0913142271414379,-0.0933891210110565,-0.0809684501842263,0.200765871336534,-0.0639733322788072,0.118105472512725,0.0739674024334393,0,0.111652021370344,0.111652021370344
"OVOL2",-0.104325128179608,-0.119779427307085,-0.00511563037340315,-0.107412674575958,0.0192347130008892,0.1089306940203,0.166486337675044,0.137896170223636,-0.154066580658757,0,0.130831367038788,0.130831367038788
"OCT4",0.092126449560552,0.147533128193806,-0.0246975265862134,0.197318746736744,-0.0419822735552244,-0.00721260840601312,-0.271216178982622,-0.13369974458826,0.294904990171434,0,-0.0334201810472224,-0.0334201810472224
"NRF2",0.111652021370344,-0.147599749499479,-0.0662646717243228,0.119515679016809,0.10197286144992,-0.18361603312746,0.0739674024334393,-0.0933891210110565,-0.0640394718554131,0,-0.0875242814475133,-0.0875242814475133
"miR34",0.111652021370344,-0.147599749499479,-0.0662646717243228,0.119515679016809,0.10197286144992,-0.18361603312746,0.0739674024334393,-0.0933891210110565,-0.0640394718554131,0,-0.0875242814475133,-0.0875242814475133
"miR200",-0.0377608560683933,-0.124243079302398,0.0835077950506088,-0.032294333060631,0.0944870670073767,0.0327809890575591,0.184879247293975,0.0901221065284355,-0.261322245283828,0,0.0886424002534367,0.0886424002534367
"miR145",-0.0407776639633128,-0.117295267265026,0.0873338625161892,-0.134637893303074,-0.00780039778468631,0.0630466694598029,0.205402330434028,0.0966877921567492,-0.179711884042705,0,0.0949370479682257,0.0949370479682257
"KEAP1",-0.0875242814475133,0.159146002031552,0.0933647447703418,-0.0893009550904288,-0.179114159867814,0.202117204087647,-0.0640394718554131,0.119515679016809,0.0767221686965258,0,0.113206762232035,0.113206762232035
"Iext",0.111652021370344,-0.147599749499479,-0.0662646717243228,0.119515679016809,0.10197286144992,-0.18361603312746,0.0739674024334393,-0.0933891210110565,-0.0640394718554131,0,-0.0875242814475133,-0.0875242814475133
"GRHL2",-0.0404148220257668,-0.101386466061606,0.0859079569559947,-0.0345910707718768,-0.00794848493321776,0.0601065140945828,0.183845303467628,0.0942338097728692,-0.159458048565667,0,0.0927551985586702,0.0927551985586702
"Ecad",-0.0491784852767417,0.0835147030781651,0.0867024740627013,-0.044314167551375,-0.120926080839133,0.171064272778689,0.142997281805022,0.098735936258858,-0.120693915734343,0,0.0967614953987737,0.0967614953987737
