"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.612625667989623,0.374114522865617,-0.356003265644698,0.659274062405492,-0.65067268735511,-0.657029900758261,-0.61864931191619,-0.693690390636253,0.588842357173157,0,-0.68126655354069,-0.68126655354069
"SNAIL",-0.20213602385723,-0.109465912074264,0.134083319685286,-0.186815775899063,0.117785422995382,0.0672339747178576,0.077075508893032,0.202499869336215,-0.0660779264453743,0,0.197495794912013,0.197495794912013
"OVOL2",-0.387432775944052,-0.242660045686999,0.109643451887477,-0.35683526642222,0.337729117257687,0.365103954699037,0.360954134295691,0.379269119736018,-0.34257119620879,0,0.370041213258372,0.370041213258372
"OCT4",0.642803542643606,0.312225113983376,-0.315765943206338,0.666622181644547,-0.662567731412485,-0.577175717814807,-0.651065912405637,-0.709424759825497,0.612924886764612,0,-0.599980710204249,-0.599980710204249
"NRF2",0.197495794912013,0.0111726124535303,-0.122773357630577,0.183987396225046,-0.109505816616013,-0.0520916647396499,-0.0660779264453743,-0.186815775899063,0.0605918255481836,0,-0.182825406602351,-0.182825406602351
"miR34",0.197495794912013,0.0111726124535303,-0.122773357630577,0.183987396225046,-0.109505816616013,-0.0520916647396499,-0.0660779264453743,-0.186815775899063,0.0605918255481836,0,-0.182825406602351,-0.182825406602351
"miR200",-0.64553487343314,-0.302042161155654,0.325799743230601,-0.585787487302942,0.684027936996913,0.589282838726631,0.560564608802713,0.627354593586883,-0.626880297517176,0,0.615788822858923,0.615788822858923
"miR145",-0.701680259778783,-0.363896464635825,0.352318412149236,-0.730470959036703,0.626919250448239,0.644620399757072,0.61115261172802,0.677740008261248,-0.572646145311666,0,0.666841580578065,0.666841580578065
"KEAP1",-0.182825406602351,0.00591043953836706,0.126608273627655,-0.158834021991917,-0.0068062401215758,0.0511336064045424,0.0605918255481836,0.183987396225046,-0.0435715520922665,0,0.179459384868982,0.179459384868982
"Iext",0.197495794912013,0.0111726124535303,-0.122773357630577,0.183987396225046,-0.109505816616013,-0.0520916647396499,-0.0660779264453743,-0.186815775899063,0.0605918255481836,0,-0.182825406602351,-0.182825406602351
"GRHL2",-0.68126655354069,-0.351705806728985,0.340400541108028,-0.615112633361496,0.609400218102508,0.626169366633632,0.588842357173157,0.659274062405492,-0.552669971552242,0,0.647914028927874,0.647914028927874
"Ecad",-0.571562154814336,-0.310303675900154,0.28764079468271,-0.5263566707261,0.618675899470427,0.512690306696976,0.493066972207649,0.558220616304331,-0.46636504993786,0,0.544762419689939,0.544762419689939
