"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0964202728620816,0.0250507659584961,-0.0187884104370963,-0.0113373381543986,0.11296726243329,-0.00108356296108189,0.10148779471982,0.00653675500329994,-0.104095823356997,0,-0.000570348411787919,-0.000570348411787919
"SNAIL",-0.0772674512123106,-0.0564018199380196,0.0690535345577447,0.0822029376138896,-0.022442489206455,-0.033382205366933,0.0144455418437795,-0.0863482842953875,-0.0167490586982246,0,0.0798992991272738,0.0798992991272738
"OVOL2",-0.0304365096144632,-0.0343606453631991,-0.0545994756614391,0.0277402883476899,-0.0569974519677685,0.0358961724009724,-0.0876503332935467,-0.0369878967248337,0.082668636651815,0,0.0363010372436967,0.0363010372436967
"OCT4",0.00965858201491893,0.0328079499655984,-0.0173192250736543,0.15814952769784,0.00371431445603576,-0.00444118433153954,-0.0619287172862813,-0.169202284919134,0.0560429364005004,0,-0.00281365366650807,-0.00281365366650807
"NRF2",0.0798992991272738,-0.0365606747943866,-0.0645057631356458,-0.0880514515160947,0.0240712642319046,0.0383283851199542,-0.0167490586982246,0.0822029376138896,0.0134985806867523,0,-0.0761968116467714,-0.0761968116467714
"miR34",0.0798992991272738,-0.0365606747943866,-0.0645057631356458,-0.0880514515160947,0.0240712642319046,0.0383283851199542,-0.0167490586982246,0.0822029376138896,0.0134985806867523,0,-0.0761968116467714,-0.0761968116467714
"miR200",0.00289167597882366,-0.0205772025326041,0.022565182772079,0.00109335987247689,-0.0105918390587937,0.0105003311011877,-0.106425559249256,-0.00809103248690668,0.00256799248367709,0,0.00159961641347698,0.00159961641347698
"miR145",-0.00998909014904529,-0.0191637115865609,0.0280378055819458,-0.205688612974026,-0.0950869466772671,0.0160282261414807,-0.0113920696849419,0.0974755313826573,0.00692815646007753,0,0.0152751216101441,0.0152751216101441
"KEAP1",-0.0761968116467714,0.0466214445445555,0.0709338128069387,0.0797692429271377,-0.121834493910028,-0.031323914181057,0.0134985806867523,-0.0880514515160947,-0.0182604854486571,0,0.0814181209497133,0.0814181209497133
"Iext",0.0798992991272738,-0.0365606747943866,-0.0645057631356458,-0.0880514515160947,0.0240712642319046,0.0383283851199542,-0.0167490586982246,0.0822029376138896,0.0134985806867523,0,-0.0761968116467714,-0.0761968116467714
"GRHL2",-0.000570348411787919,-0.0170855127193913,0.0240394796593362,0.00465523428407107,-0.110933203776715,0.00674009115099287,-0.104095823356997,-0.0113373381543986,0.100460202441964,0,0.00485959937614971,0.00485959937614971
"Ecad",-0.0116238292319428,0.0736363513583238,0.0291096712180897,0.014721830313657,-0.212119556743136,0.0199744854767836,-0.0843258256753879,-0.0216878167082148,0.080489680287996,0,0.0160794152692145,0.0160794152692145
