"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0763746864001509,0.0511394568570172,-0.130637227556243,0.0314736611576287,0.0524752775183744,-0.00652938016732201,-0.00136279718825272,-0.00856415371203878,0.0135847353114949,0,-0.00540709360020503,-0.00540709360020503
"SNAIL",-0.0852583044104789,-0.0566135167526398,0.130519557251558,-0.088958944473103,0.0103040758234291,-0.0174373536622928,0.10246097221151,0.103842148032614,-0.0945012951600111,0,0.0972012725216809,0.0972012725216809
"OVOL2",0.170770425979389,0.115542019599008,0.0290522981738911,0.183526453354996,-0.0054775355037247,-0.185120148045683,-0.228413241017298,-0.189671415864692,0.225065583316624,0,-0.175767455094065,-0.175767455094065
"OCT4",0.0301429479215579,0.0593750029319213,-0.136929230303694,0.142156947059651,-0.0397348907103825,-0.00459026355914742,-0.0977043839352203,-0.107518608554041,0.116090164821001,0,-0.00321956308447521,-0.00321956308447521
"NRF2",0.0972012725216809,-0.0225057415701583,-0.123389240663236,0.10688799528806,0.00462636190985904,0.0337419168267912,-0.0945012951600111,-0.088958944473103,0.103929152197811,0,-0.0829741975688855,-0.0829741975688855
"miR34",0.0972012725216809,-0.0225057415701583,-0.123389240663236,0.10688799528806,0.00462636190985904,0.0337419168267912,-0.0945012951600111,-0.088958944473103,0.103929152197811,0,-0.0829741975688855,-0.0829741975688855
"miR200",-0.003020807756219,-0.0198425993802307,0.13624925557027,-0.00199942949599431,0.0670886279370056,0.0326466655405464,0.00351372332418692,0.0288884907838143,-0.0890502409847593,0,0.0247439974904078,0.0247439974904078
"miR145",-0.0101949410438045,-0.0192742011414041,0.162455294154369,-0.111130368708548,-0.0299750817437361,0.0376624755395263,0.0202296567025054,0.0403279411967476,-0.00443491327321876,0,0.0340269595614482,0.0340269595614482
"KEAP1",-0.0829741975688855,0.0473538171947363,0.132045193913784,-0.0858757253494096,-0.087004976203367,-0.0140910758644749,0.103929152197811,0.10688799528806,-0.0928494728012997,0,0.100069347317097,0.100069347317097
"Iext",0.0972012725216809,-0.0225057415701583,-0.123389240663236,0.10688799528806,0.00462636190985904,0.0337419168267912,-0.0945012951600111,-0.088958944473103,0.103929152197811,0,-0.0829741975688855,-0.0829741975688855
"GRHL2",-0.00540709360020503,-0.0193667831232127,0.141606655720349,-0.0045136876214064,-0.0296039435543252,0.031529380167322,0.0135847353114949,0.0314736611576287,0.000957748348635859,0,0.0272448505234591,0.0272448505234591
"Ecad",-0.0180321875523651,0.0727978221129455,0.153580328898678,-0.0170533736037438,-0.120189282234467,0.0434304340374873,0.0795345995367167,0.0429581355085057,-0.0656086363032742,0,0.0390235790952655,0.0390235790952655
