"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0265579280096452,0.0758850265046272,-0.0316393306954777,0.0457907840621745,0.0837744535879109,-0.0337205331562505,-0.0115492401350979,-0.0124991043787422,0.0530411859290125,0,-0.0370002930577855,-0.0370002930577855
"SNAIL",0.106714762979531,-0.0352122003774727,-0.10237249501341,0.0920542621994883,-0.00790920364838906,-0.165168963300057,-0.130676486929402,-0.113507729014468,0.104890782418158,0,-0.130028336160234,-0.130028336160234
"OVOL2",-0.0286326153504803,-0.0179190340286712,-0.025517450860407,-0.0184015052432125,-0.0243103143768098,0.0751395305522204,-0.0337652982955397,0.0586410984518655,0.0836618445314143,0,0.0728037383451327,0.0728037383451327
"OCT4",-0.0506612392299133,-0.0629965025410862,0.0185821536102281,-0.0671424549427417,-0.00683479549594304,0.0136413260309107,0.0385293535378052,0.0344616241955467,-0.0791179316263833,0,0.0151396636955286,0.0151396636955286
"NRF2",-0.130028336160234,-0.0973204587038589,0.0741287389959664,-0.115975642832278,-0.0223249327615193,0.136885267863221,0.104890782418158,0.0920542621994883,-0.133321433984565,0,0.103306392149069,0.103306392149069
"miR34",-0.130028336160234,-0.0973204587038589,0.0741287389959664,-0.115975642832278,-0.0223249327615193,0.136885267863221,0.104890782418158,0.0920542621994883,-0.133321433984565,0,0.103306392149069,0.103306392149069
"miR200",-0.052028527363932,-0.026158973252513,0.0796418565622405,-0.0216678442190029,0.0580749123112702,0.0870685595886419,0.0581328825012604,0.0551666805262178,-0.116331408393861,0,0.0885681294559146,0.0885681294559146
"miR145",0.00445990686100626,-0.00453240563767501,0.0383110850861084,0.0123792592967926,-0.0783141300587487,0.0237572098553974,-0.0730060002027781,-0.0883603786494561,0.102985140795185,0,0.0222253404345675,0.0222253404345675
"KEAP1",0.103306392149069,0.0626141791630082,-0.105757665219487,0.0882149066359593,-0.111663065056266,-0.167479264030988,-0.133321433984565,-0.115975642832278,0.101968298671033,0,-0.132911480937831,-0.132911480937831
"Iext",-0.130028336160234,-0.0973204587038589,0.0741287389959664,-0.115975642832278,-0.0223249327615193,0.136885267863221,0.104890782418158,0.0920542621994883,-0.133321433984565,0,0.103306392149069,0.103306392149069
"GRHL2",-0.0370002930577855,-0.0200546378120477,0.0757150474703867,-0.00811298055572396,-0.0345313126229157,0.0792880405746481,0.0530411859290125,0.0457907840621745,-0.00624788527541771,0,0.0783670959825365,0.0783670959825365
"Ecad",-0.0204435697023867,0.0778800912892121,0.055031530495581,-0.000569409449312708,-0.127897569025746,0.0522681308551849,0.0402285083457008,0.0266374366601971,-0.00734846133822993,0,0.0491447332630716,0.0491447332630716
