"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0892406841841114,0.0314594456208143,-0.0180700726510479,-0.000757906512643848,0.111396958477996,-0.00195014339832149,0.0899307805256097,0.00942186569206695,-0.088703472931644,0,-0.00200880416811587,-0.00200880416811587
"SNAIL",-0.0271732339888888,-0.0314415168682966,0.049664120382005,-0.0194340543716862,-0.0549531599126477,-0.05350129324585,-0.0970572304672693,0.0341986075789535,0.0992239047363018,0,0.0423510753625602,0.0423510753625602
"OVOL2",-0.0280453453249546,-0.0302473525119229,-0.0498788983949759,-0.0205252930747252,-0.0514790106694152,0.0411036730444546,-0.0814053883834432,0.0335477872572642,0.0833099987075984,0,0.0414618634473551,0.0414618634473551
"OCT4",-0.00147362075793825,0.0277408091388897,-0.00728067985907716,-0.113838450727914,0.0174033614836894,0.00985407788189209,-0.0218353195863928,0.124747975674202,0.0236418463929196,0,0.0128498116153556,0.0128498116153556
"NRF2",0.0423510753625602,-0.0402820398110123,-0.028658287001476,0.0376027983793563,0.0710373132889626,0.0754718406935156,0.0992239047363018,-0.0194340543716862,-0.0963264198120482,0,-0.0235923527617885,-0.0235923527617885
"miR34",0.0423510753625602,-0.0402820398110123,-0.028658287001476,0.0376027983793563,0.0710373132889626,0.0754718406935156,0.0992239047363018,-0.0194340543716862,-0.0963264198120482,0,-0.0235923527617885,-0.0235923527617885
"miR200",0.00011442581610018,-0.0188806986471993,0.0304305964369724,0.0140421118489044,0.00257621233492819,0.0205571125391643,-0.0808679946636414,-0.00211038182563054,-0.0176483258111361,0,0.011989957642141,0.011989957642141
"miR145",-0.0161668107397239,0.00397920467746894,-0.0124034601019798,-0.129433548555084,0.112850582845062,0.0102956763825141,0.074107320624643,0.022730918750634,-0.0745495400656108,0,0.00966201599268817,0.00966201599268817
"KEAP1",-0.0235923527617885,0.0754609729642872,0.0546626697626156,-0.0150567861094177,-0.151342823381707,-0.0481991134207883,-0.0963264198120482,0.0376027983793563,0.0997681925607517,0,0.0467834473814545,0.0467834473814545
"Iext",0.0423510753625602,-0.0402820398110123,-0.028658287001476,0.0376027983793563,0.0710373132889626,0.0754718406935156,0.0992239047363018,-0.0194340543716862,-0.0963264198120482,0,-0.0235923527617885,-0.0235923527617885
"GRHL2",-0.00200880416811587,-0.0150577966219922,0.0303700884913774,0.0115418959271328,-0.101888916850749,0.0147283333093007,-0.088703472931644,-0.000757906512643848,0.0900515121473302,0,0.0129881351601131,0.0129881351601131
"Ecad",-0.00325779109964742,0.0819443402820703,0.0322430779465769,0.0109500237531461,-0.212469948859802,0.0214631521456339,-0.123167569115786,0.00192072454617364,0.124888378315819,0,0.0164164326661974,0.0164164326661974
