"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0187827339997385,0.0486106860891699,-0.03269649539087,0.0874535044398205,0.187601956009266,-0.0386651895056775,0.129281752741013,-0.0411554725747783,-0.132145470460266,0,-0.0405862040864319,-0.0405862040864319
"SNAIL",-0.096370459553604,-0.0824501772872504,0.0913062122375469,-0.0998512601174194,-0.104043857311773,0.116988058408744,-0.115750695100763,0.120133054703997,0.114332093631986,0,0.113582233879033,0.113582233879033
"OVOL2",-0.105313750108834,-0.0504668234965167,-0.00662576097513046,-0.108227103248023,-0.116788923635779,0.117585549072786,-0.135410621105757,0.136176771437284,0.13345295756923,0,0.129033298534265,0.129033298534265
"OCT4",-0.00353199369358981,0.022419831316755,0.00245314150728579,0.136743946334145,-0.125816986256003,0.0072765605929248,-0.143137748573225,-0.135526471996594,0.143021198456675,0,0.00437259892935956,0.00437259892935956
"NRF2",0.113582233879033,-0.00261092680040238,-0.0706741682889713,0.121615402015789,0.116904393450219,-0.104447610677119,0.114332093631986,-0.0998512601174194,-0.115552861391951,0,-0.0939204655513098,-0.0939204655513098
"miR34",0.113582233879033,-0.00261092680040238,-0.0706741682889713,0.121615402015789,0.116904393450219,-0.104447610677119,0.114332093631986,-0.0998512601174194,-0.115552861391951,0,-0.0939204655513098,-0.0939204655513098
"miR200",0.0542264417642652,-0.0411439571200131,-0.0840163951167285,0.0492363287059921,0.266749123775144,-0.0737674198127929,0.139579832278277,-0.0969477328952861,-0.23616258330728,0,-0.0948745250122299,-0.0948745250122299
"miR145",-0.0166354881440624,-0.0127761807576256,0.0594723512044604,-0.116264364786902,-0.105706149540771,0.0442399777253556,-0.0154229638636924,0.0593257268907455,0.0124108654072885,0,0.0538550072521922,0.0538550072521922
"KEAP1",-0.0939204655513098,0.0193563690691397,0.0934645262144643,-0.0955417823838876,-0.201137890449673,0.117924297924298,-0.115552861391951,0.121615402015789,0.113431220656449,0,0.115203264385129,0.115203264385129
"Iext",0.113582233879033,-0.00261092680040238,-0.0706741682889713,0.121615402015789,0.116904393450219,-0.104447610677119,0.114332093631986,-0.0998512601174194,-0.115552861391951,0,-0.0939204655513098,-0.0939204655513098
"GRHL2",-0.0405862040864319,-0.0137166931563077,0.0805026097580489,-0.0348567462525893,-0.155813876539067,0.0673651153217012,-0.132145470460266,0.0874535044398205,0.128428150198828,0,0.0856953065102905,0.0856953065102905
"Ecad",-0.0504168393078091,0.0554100225077981,0.0822354323569909,-0.0455879067577494,-0.264351177584648,0.157171760694152,-0.162767621694309,0.0934790632203344,0.159334397485461,0,0.0912739010805837,0.0912739010805837
