"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0839903517124797,0.0920623155886236,-0.0256867861186317,0.0237687931405018,-0.125312509895443,-0.0248895905231125,-0.118704719502673,-0.0203427804361386,0.120091832772937,0,-0.0139007696414738,0.0139007696414738
"SNAIL",-0.0331200879616948,-0.0493308800550174,0.0454521861982604,-0.0304579794171367,-0.0122628720273574,-0.055607135446438,-0.0409955383056633,0.0400167484197322,0.045169237160747,0,0.0391298998995525,-0.0391298998995525
"OVOL2",-0.078767198417526,-0.107447214401107,-0.03799327191765,-0.0849117286132967,0.0979063765645366,0.0898455657294097,0.128664339098846,0.0868164084374801,-0.127979952659247,0,0.0798783095286371,-0.0798783095286371
"OCT4",0.0227335708876061,0.0944041000628535,-0.0249056576268886,0.134616971018446,-0.260412093889717,-0.0291901919973805,-0.232104045254823,-0.125521721555567,0.235717098867876,0,-0.0171055186900238,0.0171055186900238
"NRF2",0.0391298998995525,-0.0403657065442241,-0.0349464377698751,0.044024614124711,0.00761407664221996,0.0653872318606228,0.045169237160747,-0.0304579794171367,-0.0391536466327282,0,-0.0305838035199449,0.0305838035199449
"miR34",0.0391298998995525,-0.0403657065442241,-0.0349464377698751,0.044024614124711,0.00761407664221996,0.0653872318606228,0.045169237160747,-0.0304579794171367,-0.0391536466327282,0,-0.0305838035199449,0.0305838035199449
"miR200",-0.0110300948934701,-0.0759179934987704,0.0291971813113396,-0.0155202988321129,0.223977198124369,0.0315696145536969,0.122955377650094,0.0218042398716785,-0.220246466000816,0,0.0149606497001774,-0.0149606497001774
"miR145",-0.0242441606052603,-0.102038024175592,0.0337739002220212,-0.132272682708711,0.181932424156338,0.0391406764155955,0.145269193751902,0.0387055889797829,-0.142524095712686,0,0.0281886076740874,-0.0281886076740874
"KEAP1",-0.0305838035199449,0.0552205343632653,0.04981130263474,-0.0250062092167355,-0.114106166113033,-0.0513995801680531,-0.0391536466327282,0.044024614124711,0.0478759474342369,0,0.0427491891547183,-0.0427491891547183
"Iext",0.0391298998995525,-0.0403657065442241,-0.0349464377698751,0.044024614124711,0.00761407664221996,0.0653872318606228,0.045169237160747,-0.0304579794171367,-0.0391536466327282,0,-0.0305838035199449,0.0305838035199449
"GRHL2",0.0139007696414738,0.0885876394991065,-0.0294726248640776,0.018839914543082,-0.123491317842463,-0.0282835074370591,-0.120091832772937,-0.0237687931405018,0.118049349112806,0,-0.0169349109276734,0.0169349109276734
"Ecad",-0.0141716493977556,0.0318864807729252,0.0307210354538166,-0.0169880705156415,0.0163052079727002,0.0309103248903505,0.092337929788196,0.024416641944213,-0.0891061661686207,0,0.0188353519802927,-0.0188353519802927
