"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.28145707230358,-0.19057468088495,-0.194380798539826,-0.398043893083082,0.207976495865379,-0.318806087015513,-0.128817835635168,0.400813860801503,0.12889454235979,0,-0.379846494097105,-0.379846494097105
"SNAIL",-0.104946381689392,-0.0533445879420286,0.0814626895400068,0.110146026255197,-0.0725106966852789,-0.00355010338600252,-0.0247767792978889,-0.111310282836583,0.0251827456346129,0,0.104833953234773,0.104833953234773
"OVOL2",-0.117364450499416,0.109617018167206,-0.0191238241612885,0.122358743718853,-0.084543168528433,0.100810214098203,-0.0385388262902632,-0.124280660464522,0.0394035936519269,0,0.117364450499416,0.117364450499416
"OCT4",0.390466392718046,-0.131237133499251,-0.198887807923204,-0.217237490083624,0.0851399619142242,-0.327607602637427,-0.241901975337475,0.225091393163117,0.242397313332813,0,-0.385238628727973,-0.385238628727973
"NRF2",0.104833953234773,-0.0463182860571286,-0.0805848507225406,-0.110098087616654,0.0730536216937621,0.0041510411130051,0.0251827456346129,0.110146026255197,-0.0244914675054762,0,-0.103922698001212,-0.103922698001212
"miR34",-0.104833953234773,0.0463182860571286,0.0805848507225406,0.110098087616654,-0.0730536216937621,-0.0041510411130051,-0.0251827456346129,-0.110146026255197,0.0244914675054762,0,0.103922698001212,0.103922698001212
"miR200",-0.365528914300497,0.0958059206940344,0.187673819228183,0.378292592310484,-0.0952486715444954,0.308306487572612,0.129985748674851,-0.383366292853541,-0.229229550723286,0,0.363560941043367,0.363560941043367
"miR145",-0.416905346826442,0.201969603944771,0.213936075522623,0.205098006002393,-0.185841144807026,0.352304408931409,0.154049616268651,-0.312528889346965,-0.152973270836861,0,0.413820647501958,0.413820647501958
"KEAP1",-0.103922698001212,0.0456430666108085,0.0813883569314522,0.106570480254691,-0.170162186887434,-0.00412975092778049,-0.0244914675054762,-0.110098087616654,0.0261416325219779,0,0.103843185676802,0.103843185676802
"Iext",0.104833953234773,-0.0463182860571286,-0.0805848507225406,-0.110098087616654,0.0730536216937621,0.0041510411130051,0.0251827456346129,0.110146026255197,-0.0244914675054762,0,-0.103922698001212,-0.103922698001212
"GRHL2",-0.379846494097105,0.189279038953265,0.193565021571665,0.392651898375837,-0.205043667104736,0.317405864463584,0.12889454235979,-0.398043893083082,-0.128281797261751,0,0.377549297943038,0.377549297943038
"Ecad",-0.365303821929866,0.174862281521455,0.189346393420151,0.376769380242129,-0.3003535778718,0.213470860483144,0.102609126650133,-0.381830604731925,-0.101811678484264,0,0.363402393493578,0.363402393493578
