"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0949474541204865,0.18045316013276,-0.0183212391037662,0.0131596556485454,-0.105758118861855,-0.029953732515676,-0.0391097524545524,-0.0063284570647695,0.0461284177575439,0,-0.000494876501855188,0.000494876501855188
"SNAIL",-0.0858230363399397,0.339934250448477,0.0740531453006843,-0.0906294515681062,-0.0306923714293367,-0.176445701740176,-0.167504666695781,0.0954867003630636,0.17231696428279,0,0.0889965849907983,-0.0889965849907983
"OVOL2",-0.0298139340475869,-0.0745704744886478,-0.0531873102668814,-0.0267303260635732,-0.0142367018927762,0.041475933155193,-0.0512143005433471,0.038511761899133,0.0635703937047881,0,0.0378115573393279,-0.0378115573393279
"OCT4",0.011215614279872,0.214535787895532,-0.0164100366465089,0.124052020742682,-0.240672999668819,-0.0398944202726993,-0.144351494375945,-0.1100868739296,0.158104408128859,0,-0.00219311808261001,0.00219311808261001
"NRF2",0.0889965849907983,-0.437384735067103,-0.0688823914919965,0.09681353594011,0.0300476479817629,0.180150383771477,0.17231696428279,-0.0906294515681062,-0.165301226674319,0,-0.0845880799419517,0.0845880799419517
"miR34",0.0889965849907983,-0.437384735067103,-0.0688823914919965,0.09681353594011,0.0300476479817629,0.180150383771477,0.17231696428279,-0.0906294515681062,-0.165301226674319,0,-0.0845880799419517,0.0845880799419517
"miR200",0.0034426331457507,-0.213942435952956,0.0238526141461343,-0.000319903817967085,0.206406509170253,0.0497481055890667,0.0554748278498666,0.009396707541784,-0.145548533219829,0,0.00290340664505105,-0.00290340664505105
"miR145",-0.00967063738936132,-0.207406557428019,0.0296570398385507,-0.116532877944019,0.164222596183468,0.0469590220145662,0.0543299465787811,0.0270925542757788,-0.0427738347723564,0,0.0170635232129713,-0.0170635232129713
"KEAP1",-0.0845880799419517,0.438194998402687,0.0757487172772412,-0.0877644561855088,-0.130429535597693,-0.174338163205158,-0.165301226674319,0.09681353594011,0.173646346900627,0,0.0902864631913553,-0.0902864631913553
"Iext",0.0889965849907983,-0.437384735067103,-0.0688823914919965,0.09681353594011,0.0300476479817629,0.180150383771477,0.17231696428279,-0.0906294515681062,-0.165301226674319,0,-0.0845880799419517,0.0845880799419517
"GRHL2",0.000494876501855188,0.17755268899024,-0.0256632318172146,0.00419505095122486,-0.104953956137162,-0.03548043874713,-0.0461284177575439,-0.0131596556485454,0.0364470452085243,0,-0.00671860843806338,0.00671860843806338
"Ecad",-0.0130929715796143,0.117169065070045,0.03131128944322,-0.0158080773795219,-0.00119808826765647,0.0122955820610653,0.0267462750157442,0.0247876692162566,-0.0173028098936087,0,0.0192229498219754,-0.0192229498219754
