"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.00499995312416054,0.059954384077059,-0.201239486921651,0.100448323357371,0.173603393051348,-0.0605352009010103,-0.0242709131578154,-0.0691351920442395,0.0537582565482527,0,-0.0680686877613906,-0.0680686877613906
"SNAIL",0.119544073384957,-0.0438447159780042,-0.16874368275338,0.121165830733923,0.123547378765651,-0.164754292452985,-0.12678956173375,-0.142619297548903,0.1079007235273,0,-0.13592796545364,-0.13592796545364
"OVOL2",-0.119280302996056,-0.0875933015630224,0.294092459783144,-0.12116876166102,-0.00636415377052329,0.138492128479966,-0.126866413917202,0.142103002805551,0.145281183931526,0,0.135031936982985,0.135031936982985
"OCT4",0.0971670968678962,0.0136398005190525,-0.200222937932922,0.202470079583172,0.300076832256996,-0.0417738117694838,-0.113129363003571,-0.158855851843854,0.154912579786788,0,-0.0581550081640294,-0.0581550081640294
"NRF2",-0.13592796545364,-0.0764460551977227,0.157716894510757,-0.143840806764604,-0.128433703841999,0.143655434895038,0.1079007235273,0.121165830733923,-0.129448009892942,0,0.115445246465052,0.115445246465052
"miR34",-0.13592796545364,-0.0764460551977227,0.157716894510757,-0.143840806764604,-0.128433703841999,0.143655434895038,0.1079007235273,0.121165830733923,-0.129448009892942,0,0.115445246465052,0.115445246465052
"miR200",-0.061777688599351,0.0409252497734395,0.205894494142446,-0.0553609062650784,-0.25367134027829,0.0681368129277553,0.0397766466009003,0.0940730862495625,-0.105307420985891,0,0.0918795918721175,0.0918795918721175
"miR145",-0.0691836750130186,-0.0154287033781036,0.234728367700274,-0.161559698750079,-0.219655366569654,0.0937745218907412,0.0567096208596024,0.104189503200518,-0.0192377810598528,0,0.10150924542258,0.10150924542258
"KEAP1",-0.115445246465052,-0.0528133745765208,0.167724199112656,-0.113319334371966,-0.0197593994230142,0.166372062529698,0.129448009892942,0.143840806764604,-0.103941173495016,0,0.137417152110427,0.137417152110427
"Iext",-0.13592796545364,-0.0764460551977227,0.157716894510757,-0.143840806764604,-0.128433703841999,0.143655434895038,0.1079007235273,0.121165830733923,-0.129448009892942,0,0.115445246465052,0.115445246465052
"GRHL2",-0.0680686877613906,-0.0270333004492616,0.215638346417929,-0.0611165337444036,-0.163764225596287,0.092285942740773,0.0537582565482527,0.100448323357371,-0.0188522107966187,0,0.0982431364918874,0.0982431364918874
"Ecad",-0.0437615413243659,0.0692722126000669,0.177725835037452,-0.0416821572315984,-0.227800275649916,0.0624347699574326,0.0413394544949284,0.0686209327418025,-0.0171893663559206,0,0.0646299549087004,0.0646299549087004
