"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0973708821399449,0.0380876227676012,-0.109104589639247,0.0107216528757062,0.0297734536890798,0.000873229374514534,-0.00429556232985557,-0.00277621915707658,0.0129250688499272,0,0.00309599826174375,0.00309599826174375
"SNAIL",-0.0272023162066495,-0.033033102491785,0.0703510612627864,-0.0238462034098859,-0.0335568315656897,-0.0563265353693392,-0.0567972622232143,0.0390853580261262,0.0733506536386228,0,0.0382509670651941,0.0382509670651941
"OVOL2",0.145672812677444,0.111354224646028,0.0567226967735261,0.158779536981558,-0.0236134504694232,-0.158103998572734,-0.233454055257433,-0.160718690648713,0.231316010798841,0,-0.147057245238347,-0.147057245238347
"OCT4",-0.001681171969263,0.027539061830485,0.00183556545052089,0.138514810448793,-0.123526749461831,-0.00208815539302087,-0.139864175649197,-0.137058615652899,0.141437602222623,0,0.00272992707293765,0.00272992707293765
"NRF2",0.0382509670651941,-0.0384165393118391,-0.0633566681042657,0.0435010452123788,0.0550702350268366,0.0748763603709901,0.0733506536386228,-0.0238462034098859,-0.0520386959977932,0,-0.0240731491520507,-0.0240731491520507
"miR34",0.0382509670651941,-0.0384165393118391,-0.0633566681042657,0.0435010452123788,0.0550702350268366,0.0748763603709901,0.0733506536386228,-0.0238462034098859,-0.0520386959977932,0,-0.0240731491520507,-0.0240731491520507
"miR200",0.00475954726285427,-0.0253043897534435,0.110749976296805,0.00146194592792352,0.0845504808234659,0.0150072035074321,0.0178669639363601,0.010066370596514,-0.105317906790768,0,0.0036461248134923,0.0036461248134923
"miR145",-0.00795272876313747,0.0105146698255255,-0.109405893569877,-0.220145547704451,0.0848619827654216,0.00101988764385706,0.104075629398066,0.112229161999798,-0.112711424141495,0,0.0021376217670583,0.0021376217670583
"KEAP1",-0.0240731491520507,0.074945911357754,0.0723413284402774,-0.0183476709792499,-0.127410660558751,-0.0510100627342007,-0.0520386959977932,0.0435010452123788,0.0793371401279205,0,0.0423344796582792,0.0423344796582792
"Iext",0.0382509670651941,-0.0384165393118391,-0.0633566681042657,0.0435010452123788,0.0550702350268366,0.0748763603709901,0.0733506536386228,-0.0238462034098859,-0.0520386959977932,0,-0.0240731491520507,-0.0240731491520507
"GRHL2",0.00309599826174375,-0.0232319101645388,0.112724104925165,-0.000599257903823938,-0.01860978292276,0.00880777952756262,0.0129250688499272,0.0107216528757062,-0.00189565708522128,0,0.00429072521111019,0.00429072521111019
"Ecad",0.00094691684183838,0.0757669066097156,0.118824693569593,-0.000704135954809759,-0.121517515844505,0.016107331568366,0.017660730878425,0.0134932516010683,-0.00373476764498252,0,0.00838048832323588,0.00838048832323588
