"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0667674480555085,-0.0801526382694873,-0.0296097116296521,-0.0408560105780201,0.0492931352892932,-0.0113995327121486,-0.0180628345645459,0.027141546348092,0.0290255039585628,0,-0.02330747497487,-0.02330747497487
"SNAIL",-0.0817282713289542,-0.0692666040062296,0.0727860230843407,0.0866657897200011,0.00643987154372939,-0.0143148998867729,0.0851586302059186,-0.0926057229791779,-0.080391946814047,0,0.0860823187533205,0.0860823187533205
"OVOL2",-0.0346516966289229,0.0756717057302684,-0.0446478012868247,0.0299131779255299,-0.0354097890116008,0.0412557057731884,-0.0507466421913434,-0.0510197882849197,0.0676759222592515,0,0.0501062420834684,0.0501062420834684
"OCT4",0.0392328337154394,-0.0330641196834427,-0.0258784651031761,0.129012348594166,-0.042767349726776,-0.0138942133464841,-0.112737398608273,-0.152956010565997,0.131909892780767,0,-0.0221565387830881,-0.0221565387830881
"NRF2",0.0860823187533205,-0.0321872518724051,-0.0664372662173758,-0.0943359718868275,0.000821750444733459,0.0184422194403621,-0.080391946814047,0.0866657897200011,0.0864369534326674,0,-0.0805409017924798,-0.0805409017924798
"miR34",-0.0860823187533205,0.0321872518724051,0.0664372662173758,0.0943359718868275,-0.000821750444733459,-0.0184422194403621,0.080391946814047,-0.0866657897200011,-0.0864369534326674,0,0.0805409017924798,0.0805409017924798
"miR200",-0.0204899525171927,0.00525905255837017,0.0427429407220274,0.0207772803168068,0.0641003434483879,0.0220152011655068,0.018219815051023,-0.0377051313641303,-0.104617824048821,0,0.0330256725797365,0.0330256725797365
"miR145",-0.0292663408108428,0.0807612609261909,0.0475599936737331,-0.191624686430086,-0.0327472593166435,0.0305487298991029,0.034692810692806,0.0721371611435048,-0.0190482549981877,0,0.0437639552470467,0.0437639552470467
"KEAP1",-0.0805409017924798,0.0304992032566049,0.0745818973349799,0.084673395199711,-0.0916018922887051,-0.0129706418376369,0.0864369534326674,-0.0943359718868275,-0.07903478464436,0,0.0877235150975421,0.0877235150975421
"Iext",0.0860823187533205,-0.0321872518724051,-0.0664372662173758,-0.0943359718868275,0.000821750444733459,0.0184422194403621,-0.080391946814047,0.0866657897200011,0.0864369534326674,0,-0.0805409017924798,-0.0805409017924798
"GRHL2",-0.02330747497487,0.077075488681737,0.0441669744207182,0.023621475348116,-0.0325239772949697,0.0209043546706055,0.0290255039585628,-0.0408560105780201,-0.0151570399062752,0,0.0360831097264389,0.0360831097264389
"Ecad",-0.0324402123616923,0.0954937751488719,0.0477278379333357,0.0328463715337043,-0.12340376354068,0.0362765547402798,0.0890466947545761,-0.0487375279962893,-0.076329495056767,0,0.0442177168551178,0.0442177168551178
