"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.373864195071822,0.154644140218489,0.240031205603714,0.47278037659749,0.177738990727465,-0.443031814577878,-0.399427743349163,-0.48464125340682,0.390874943553715,0,-0.465473171598312,-0.465473171598312
"SNAIL",-0.274187114689715,-0.10572852843915,-0.174118702770081,-0.272331242705907,-0.0523165479216232,0.110052294881975,0.253036106332425,0.280154750306945,-0.247968369252646,0,0.268826321558072,0.268826321558072
"OVOL2",-0.143109530707663,-0.0773035180642559,-0.123193001728169,-0.143014165743825,-0.0766167744804234,0.136947135342002,0.0322109446966712,0.146987276146307,-0.0304230514397345,0,0.140714997136659,0.140714997136659
"OCT4",0.458851052817726,0.14115471819196,0.231180909886684,0.541815523458975,0.0538454603411161,-0.422750963767583,-0.483658753330515,-0.562035146280651,0.468041037712799,0,-0.444336602413435,-0.444336602413435
"NRF2",0.268826321558072,0.0045275170611475,0.170431779736723,0.262647637720289,0.0493643931879958,-0.103164624010946,-0.247968369252646,-0.272331242705907,0.240187813288534,0,-0.261643003275501,-0.261643003275501
"miR34",0.268826321558072,0.0045275170611475,0.170431779736723,0.262647637720289,0.0493643931879958,-0.103164624010946,-0.247968369252646,-0.272331242705907,0.240187813288534,0,-0.261643003275501,-0.261643003275501
"miR200",-0.437147604243926,-0.129093606771982,-0.222141882456764,-0.432190489386018,-0.0681093444557903,0.408242148404962,0.3601208236981,0.44576690521224,-0.451075164657227,0,0.427674374071931,0.427674374071931
"miR145",-0.498260756687671,-0.16108585454689,-0.252460464165103,-0.58751367759406,-0.155677579895038,0.462415831774365,0.423731528806447,0.505167082853669,-0.411975166687132,0,0.485888892168799,0.485888892168799
"KEAP1",-0.261643003275501,0.00114432628794096,-0.166341202673173,-0.248843956738694,-0.146582069129076,0.09607499233115,0.240187813288534,0.262647637720289,-0.232314168781226,0,0.252605102400865,0.252605102400865
"Iext",0.268826321558072,0.0045275170611475,0.170431779736723,0.262647637720289,0.0493643931879958,-0.103164624010946,-0.247968369252646,-0.272331242705907,0.240187813288534,0,-0.261643003275501,-0.261643003275501
"GRHL2",-0.465473171598312,-0.150389134329208,-0.234724695228298,-0.457265986918363,-0.173860088173065,0.433424989652062,0.390874943553715,0.47278037659749,-0.380233603684433,0,0.454505355374004,0.454505355374004
"Ecad",-0.463615494377877,-0.0280824321122716,-0.237351682042957,-0.454488086853223,-0.268446712487679,0.324945915060185,0.382505217810986,0.469698971206964,-0.372356640626398,0,0.452992090726378,0.452992090726378
