"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.589083091693681,0.156457584731203,-0.345426987878359,0.643668022659895,0.592745366401906,-0.603016369283014,0.46764041731791,-0.675043634447878,-0.448259184896535,0,-0.661760210805283,-0.661760210805283
"SNAIL",-0.374905658172218,-0.0923131668785788,0.224863679748511,-0.348750334383649,-0.309885248466456,0.178869433813472,-0.283952243498572,0.369536392967261,0.274542035041701,0,0.360274627918743,0.360274627918743
"OVOL2",-0.380790858862574,-0.115558090975689,0.106887306899527,-0.353409933470597,-0.313836948937201,0.340524973241811,-0.287363412503662,0.37458549151593,0.276938456272562,0,0.365057050187589,0.365057050187589
"OCT4",-0.00943574784176621,0.0256758024305393,0.00467474790234068,0.133068252356632,-0.129124882430866,0.00274893857897381,-0.146432896198058,-0.131516569377401,0.146024970790133,0,0.00864317719089759,0.00864317719089759
"NRF2",0.360274627918743,-0.00524266961531079,-0.213644333313669,0.329047553942614,0.293461766959839,-0.16039885334725,0.274542035041701,-0.348750334383649,-0.259789865605019,0,-0.340481507485281,-0.340481507485281
"miR34",0.360274627918743,-0.00524266961531079,-0.213644333313669,0.329047553942614,0.293461766959839,-0.16039885334725,0.274542035041701,-0.348750334383649,-0.259789865605019,0,-0.340481507485281,-0.340481507485281
"miR200",0.659848408456574,0.0652979336511062,-0.332162911502971,0.602866941836187,0.658533553066077,-0.551283423885671,0.449183701763886,-0.641703249051083,-0.528957799591013,0,-0.629714154938485,-0.629714154938485
"miR145",-0.572478217179465,-0.136301963631935,0.287217425629507,-0.631819265108912,-0.420367822741883,0.508629565968975,-0.293789348078559,0.564091685877624,0.277627479075638,0,0.547928167578634,0.547928167578634
"KEAP1",-0.340481507485281,0.0182744049292878,0.205791886272033,-0.298986204249362,-0.367111521460657,0.146837005359173,-0.259789865605019,0.329047553942614,0.248238710489507,0,0.321319037302403,0.321319037302403
"Iext",0.360274627918743,-0.00524266961531079,-0.213644333313669,0.329047553942614,0.293461766959839,-0.16039885334725,0.274542035041701,-0.348750334383649,-0.259789865605019,0,-0.340481507485281,-0.340481507485281
"GRHL2",-0.661760210805283,-0.14675499344734,0.331083569535257,-0.603906196659233,-0.55842653953341,0.578442927146515,-0.448259184896535,0.643668022659895,0.42818157051745,0,0.631516673468649,0.631516673468649
"Ecad",-0.640333199272042,-0.0216545189900924,0.325435078930786,-0.585878966522959,-0.642437457010614,0.451038223557974,-0.433096858549259,0.62391978284949,0.414537301762555,0,0.612067188487821,0.612067188487821
