"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0868357395053737,-0.0778078690969662,-0.0248565580417729,0.0207492076653012,0.11461784871572,-0.000718463358450104,0.0990610219515371,-0.018447843508267,-0.0990226685892256,0,-0.011881136862728,-0.011881136862728
"SNAIL",-0.0292763959970099,-0.0710581454690793,0.0390663468296873,-0.0285862937184957,-0.0507347085668755,-0.0454772675787434,-0.0767190844711984,0.0318565940521998,0.0767966286029322,0,0.0311161343453337,0.0311161343453337
"OVOL2",-0.033710086831109,0.0765975082369852,-0.055417320807318,-0.0319834137840719,-0.0577119365814646,0.0293099865345965,-0.0853794719221689,0.037421662512849,0.0855014943106245,0,0.0367700987146503,0.0367700987146503
"OCT4",-0.00181738064587967,0.0231956507655959,0.00120733789345098,0.138298489076354,-0.124376867858917,-0.00229300917990094,-0.141991770748041,-0.137606199747159,0.142020908277178,0,0.00219365156093851,0.00219365156093851
"NRF2",0.0311161343453337,-0.0300796547837652,-0.0353794237963294,0.0336198507654756,0.0535171992353519,0.047385740140323,0.0767966286029322,-0.0285862937184957,-0.0767230883764282,0,-0.0283166925917831,-0.0283166925917831
"miR34",-0.0311161343453337,0.0300796547837652,0.0353794237963294,-0.0336198507654756,-0.0535171992353519,-0.047385740140323,-0.0767966286029322,0.0285862937184957,0.0767230883764282,0,0.0283166925917831,0.0283166925917831
"miR200",-0.00987528295665954,0.00526073687698492,0.0270711348566624,-0.0150279321018126,-0.00851510461454918,0.00710697247968877,-0.0913102452472213,0.0190155193787715,-0.00860360561905613,0,0.0121451918368019,0.0121451918368019
"miR145",0.00550830482091543,-0.079774865117906,-0.0202081328929794,-0.205133664225269,0.147343596897958,0.00137807220441685,0.108664024854498,0.102503859774831,-0.108705743669684,0,-0.00702467309527889,-0.00702467309527889
"KEAP1",-0.0283166925917831,0.028324084223333,0.0410404902682067,-0.0259511391090338,-0.149098213965303,-0.0444689847645513,-0.0767230883764282,0.0336198507654756,0.0767702359483283,0,0.0326368622180752,0.0326368622180752
"Iext",0.0311161343453337,-0.0300796547837652,-0.0353794237963294,0.0336198507654756,0.0535171992353519,0.047385740140323,0.0767966286029322,-0.0285862937184957,-0.0767230883764282,0,-0.0283166925917831,-0.0283166925917831
"GRHL2",-0.011881136862728,0.0769833696858943,0.027438531746826,-0.0172758368416161,-0.112654745593677,0.00206304792818304,-0.0990226685892256,0.0207492076653012,0.0990839430990295,0,0.0138559195214878,0.0138559195214878
"Ecad",-0.0122838179297834,0.0950239535687212,0.0275975369045677,-0.016094277718465,-0.221016709210297,0.0133226785769556,-0.128029857772189,0.020311964793295,0.128088617110727,0,0.0146771582003349,0.0146771582003349
