"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0559653067042508,0.0383810003666626,0.150471937496692,0.0516683837330337,0.165908042423512,-0.0238399663692022,-0.148924915574244,-0.0308623856074479,-0.162348592383244,0,-0.027325611770238,-0.027325611770238
"SNAIL",-0.0317059047046743,-0.0413707001148058,-0.0857915394889475,-0.0266668818348513,0.00588242132597384,-0.0398142726128835,-0.0216263485459345,0.0564851984829788,-0.0410534342550071,0,0.0555407370840692,0.0555407370840692
"OVOL2",-0.0910949347715996,-0.0804876366721773,0.0977377901398673,-0.0955323651561891,-0.00100971322641677,0.106526806340255,-0.0883476759477582,0.108089462458611,-0.0965868398291312,0,0.100976099358647,0.100976099358647
"OCT4",0.0547050860771232,-0.00686844006202012,0.161254560270179,0.16467211141959,0.298702840702103,-0.0193795088764732,-0.253687902924502,-0.136908922114266,-0.271112145348745,0,-0.0320888023528417,-0.0320888023528417
"NRF2",0.0555407370840692,-0.0254223888021769,0.0714346272161945,0.0622852902720517,0.00589226479550563,0.0704356818448719,0.0410534342550071,-0.0266668818348513,0.0179470950874825,0,-0.0270783776718699,-0.0270783776718699
"miR34",0.0555407370840692,-0.0254223888021769,0.0714346272161945,0.0622852902720517,0.00589226479550563,0.0704356818448719,0.0410534342550071,-0.0266668818348513,0.0179470950874825,0,-0.0270783776718699,-0.0270783776718699
"miR200",-0.0365721667556692,0.0458479082611752,-0.162652465364936,-0.0371231818338932,-0.257610841356424,0.0340809178120573,0.152930377915078,0.0574645317175239,0.23951982943226,0,0.0526124967281715,0.0526124967281715
"miR145",-0.0338968793084688,-0.00536415296227725,-0.181598232110492,-0.134717568732632,-0.214529028901596,0.0503898477132383,0.183089894062177,0.0614876294204269,0.165326022556127,0,0.0549795945996965,0.0549795945996965
"KEAP1",-0.0270783776718699,0.0649227264119001,-0.0884543496413224,-0.0198006276953645,-0.0915442015112722,-0.0338378534437648,-0.0179470950874825,0.0622852902720517,-0.0457170149366103,0,0.0610831484113345,0.0610831484113345
"Iext",0.0555407370840692,-0.0254223888021769,0.0714346272161945,0.0622852902720517,0.00589226479550563,0.0704356818448719,0.0410534342550071,-0.0266668818348513,0.0179470950874825,0,-0.0270783776718699,-0.0270783776718699
"GRHL2",-0.027325611770238,-0.0152066776340359,-0.16030086193832,-0.0266270340803708,-0.157204163520957,0.0452976815027333,0.162348592383244,0.0516683837330337,0.145845324409388,0,0.0472058581862666,0.0472058581862666
"Ecad",-0.0258073361828958,0.0795721787886304,-0.162545588223989,-0.0238493651160387,-0.244476463778464,0.0484935767804444,0.13154978760988,0.0519854195378074,0.113040595970494,0,0.0482082443278206,0.0482082443278206
