"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0746085558805342,-0.0934168535850085,-0.0321366883328096,0.0325626900739658,0.123649233990091,0.0352702141374466,0.108264912269173,-0.0327397180860453,-0.108200989998654,0,-0.02552135816264,-0.02552135816264
"SNAIL",-0.0374747228775205,-0.0268609029564823,0.0435130356962095,-0.0364552979304102,-0.0652423870333314,-0.101022479620006,-0.103083923766563,0.0394289723835063,0.10366322404481,0,0.0385938970394175,0.0385938970394175
"OVOL2",0.0833523553809498,-0.0867965503555216,-0.092913752936222,0.0903595346675085,0.0271474686550428,0.0889235777763811,-0.0130422285050738,-0.089816571640705,0.013047533826311,0,-0.0829304896649665,-0.0829304896649665
"OCT4",0.0309161619004111,-0.0402910456800093,-0.0330769735413251,0.141271286733798,0.0110886926643484,0.031794943092431,-0.0585325433823397,-0.139576371479561,0.0592027065525029,0,-0.0303317411174474,-0.0303317411174474
"NRF2",0.0385938970394175,-0.0750775715483639,-0.039939382187686,0.0419682413628168,0.0684999370842307,0.0986253324232812,0.10366322404481,-0.0364552979304102,-0.102677785009658,0,-0.0363691207484726,-0.0363691207484726
"miR34",0.0385938970394175,-0.0750775715483639,-0.039939382187686,0.0419682413628168,0.0684999370842307,0.0986253324232812,0.10366322404481,-0.0364552979304102,-0.102677785009658,0,-0.0363691207484726,-0.0363691207484726
"miR200",-0.0218577783362341,0.0109940043472411,0.0312612464440044,-0.028317071984917,-0.0175691583968136,-0.0186452846654703,-0.0982677515145482,0.0294187011548161,-0.00149294533622237,0,0.0221651056667997,0.0221651056667997
"miR145",-0.0371578289667857,0.0953317823199491,0.0363173770098509,-0.147366779263216,-0.107226748453099,-0.0446106193405584,-0.0160773247059935,0.0482703531000332,0.0162859187819217,0,0.0371814484103116,0.0371814484103116
"KEAP1",-0.0363691207484726,0.0719715620952917,0.0465135238969628,-0.0319989162094425,-0.162553401350461,-0.102904659653428,-0.102677785009658,0.0419682413628168,0.104139359738559,0,0.0406362821584911,0.0406362821584911
"Iext",0.0385938970394175,-0.0750775715483639,-0.039939382187686,0.0419682413628168,0.0684999370842307,0.0986253324232812,0.10366322404481,-0.0364552979304102,-0.102677785009658,0,-0.0363691207484726,-0.0363691207484726
"GRHL2",-0.02552135816264,0.0931371127133948,0.0320099656969788,-0.0325296103518354,-0.123601930300404,-0.0352145761552507,-0.108200989998654,0.0325626900739658,0.10830311418166,0,0.0253083349603831,0.0253083349603831
"Ecad",-0.0246845719727183,0.132645453065892,0.0323263990682863,-0.0295085153994277,-0.23241233614474,-0.1274015946129,-0.140486025086058,0.0313044337667747,0.140830186926065,0,0.025271082236648,0.025271082236648
