"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.279812469548316,0.0978014995964501,-0.192857720125589,0.392561741229691,0.381757620486451,-0.359780905131291,0.31112233149327,-0.396237675833461,-0.308904228706259,0,-0.376165978117304,-0.376165978117304
"SNAIL",-0.232919569943836,-0.0811178771270665,0.154126024001993,-0.238822695631461,-0.144551946969511,0.0764527594202883,-0.0703135759450014,0.243605787956266,0.0678732165051437,0,0.231458000033779,0.231458000033779
"OVOL2",-0.117547159996453,-0.0595821179186062,-0.0180227467613608,-0.120648266524666,-0.124540045606936,0.116070837605784,-0.138207957245689,0.125017826121322,0.136356400133906,0,0.118236405391581,0.118236405391581
"OCT4",0.38192330865641,0.0967531391809883,-0.19282398276306,0.485389603512153,0.234962002815036,-0.357024740761204,0.142928964948636,-0.492622833399955,-0.138383510403181,0,-0.373541273591163,-0.373541273591163
"NRF2",0.231458000033779,-0.0163958186167177,-0.151231987642475,0.235610806849102,0.140785404723158,-0.0720348765701265,0.0678732165051437,-0.238822695631461,-0.0659170464801401,0,-0.227262942156758,-0.227262942156758
"miR34",0.231458000033779,-0.0163958186167177,-0.151231987642475,0.235610806849102,0.140785404723158,-0.0720348765701265,0.0678732165051437,-0.238822695631461,-0.0659170464801401,0,-0.227262942156758,-0.227262942156758
"miR200",-0.355270083764875,-0.079707261241773,0.18278170572207,-0.363998013964972,-0.260797871060228,0.340013957823525,-0.298798406181818,0.371926640807486,0.194768541148794,0,0.352773723167474,0.352773723167474
"miR145",-0.411048069026449,-0.107261606904149,0.211685640929749,-0.517025081959509,-0.33504576502843,0.389265115673236,-0.228719253832215,0.427962371237999,0.223204026464672,0,0.407198099731726,0.407198099731726
"KEAP1",-0.227262942156758,0.0217300522426461,0.151231987642475,-0.22533473322947,-0.233856872262711,0.0709916574941205,-0.0659170464801401,0.235610806849102,0.0605893708554347,0,0.224373994369851,0.224373994369851
"Iext",0.231458000033779,-0.0163958186167177,-0.151231987642475,0.235610806849102,0.140785404723158,-0.0720348765701265,0.0678732165051437,-0.238822695631461,-0.0659170464801401,0,-0.227262942156758,-0.227262942156758
"GRHL2",-0.376165978117304,-0.0943857163220096,0.192184506122738,-0.383696375698761,-0.375087800240472,0.357777937772241,-0.308904228706259,0.392561741229691,0.30439033981737,0,0.372890026709623,0.372890026709623
"Ecad",-0.38396916295649,0.0195915276302787,0.199229614218612,-0.38941575658961,-0.465940472517288,0.259637980811817,-0.251378768340963,0.398531402848113,0.246719992214042,0,0.380762276190811,0.380762276190811
