"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0720784973217569,0.0889883634172136,-0.0200713348285321,0.0359068633781648,0.042755301658163,-0.0204997219586714,-0.0279710782347968,-0.0117894000854437,0.0516670639162082,0,-0.00874227468799557,-0.00874227468799557
"SNAIL",-0.0260007201606693,-0.0582380178125648,0.0594728921538024,-0.0202853877538515,-0.0240715661949599,-0.0414069792072721,-0.0374177159111302,0.0543009606125834,0.0710308163079737,0,0.0533719384762866,0.0533719384762866
"OVOL2",-0.0269277858293793,-0.0758218123540249,-0.0412071456261292,-0.0215930120781868,-0.0253624552321205,0.0557697760499479,-0.0390604905195869,0.0527315107423254,0.069719941949371,0,0.0518772807788743,0.0518772807788743
"OCT4",0.00161189330784816,-0.0261590073211191,-0.00218553689447132,0.141400875507981,-0.120749614174532,0.00151610793996125,-0.136905503557783,-0.143620975770573,0.134632776285055,0,-0.00342920176994087,-0.00342920176994087
"NRF2",-0.0533719384762866,0.0290354756556189,0.0239119248320603,-0.0608414759609464,-0.0660125231002874,-0.070681231336969,-0.0710308163079737,0.0202853877538515,0.0309219767727479,0,0.0208212447729782,0.0208212447729782
"miR34",0.0533719384762866,-0.0290354756556189,-0.0239119248320603,0.0608414759609464,0.0660125231002874,0.070681231336969,0.0710308163079737,-0.0202853877538515,-0.0309219767727479,0,-0.0208212447729782,-0.0208212447729782
"miR200",-0.0192323057930309,-0.00424731290837088,0.046852936226027,-0.0192394494257852,0.0749132305286756,0.0300695413423632,0.0410645422645322,0.04240469380127,-0.11827331033192,0,0.0378714388064562,0.0378714388064562
"miR145",-0.00462463925416587,0.0821956990711372,-0.0324304204855094,-0.222711165322679,0.0781588263184734,-0.0243089509674067,0.0749793785850895,0.0990968699754103,-0.0984003214303127,0,-0.0146441027742719,-0.0146441027742719
"KEAP1",0.0208212447729782,-0.0448356106995082,-0.066169046818912,0.0131420894578789,-0.0836874223443389,0.0355311355311355,0.0309219767727479,-0.0608414759609464,-0.0783995816760954,0,-0.0596497631933334,-0.0596497631933334
"Iext",-0.0533719384762866,0.0290354756556189,0.0239119248320603,-0.0608414759609464,-0.0660125231002874,-0.070681231336969,-0.0710308163079737,0.0202853877538515,0.0309219767727479,0,0.0208212447729782,0.0208212447729782
"GRHL2",-0.00874227468799557,-0.0805814140650346,0.0452257780409509,-0.00745830234607743,-0.0131668437584468,0.0410115913948732,0.0516670639162082,0.0359068633781648,-0.0235624887528095,0,0.031754537915585,0.031754537915585
"Ecad",-0.0105603428889455,-0.115754719491584,0.0345653919533518,-0.0130407277444087,-0.103336981521328,0.122985654002537,0.101612558513532,0.0279795032546127,-0.0869646948351977,0,0.0225365040846697,0.0225365040846697
