"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.00459838731827823,-0.141164242111772,-0.0516906093131037,0.100733408909935,0.204617920780779,0.079721883880312,-0.15570347975837,-0.0715342003292828,-0.161162441660697,0,-0.0704848110586861,-0.0704848110586861
"SNAIL",-0.0408194635505048,-0.0415198792836914,0.0736110201257613,-0.0332539673289435,0.00377554252392021,-0.130580863296853,-0.0265788449030154,0.0760644975477051,-0.0357609823841995,0,0.0750130449078229,0.0750130449078229
"OVOL2",-0.118707112788893,0.12554474877839,-0.0057172084166093,-0.120490263243082,-0.130018489488738,-0.142784932544445,0.150311516213709,0.141390030544642,0.145457147281671,0,0.134286435427039,0.134286435427039
"OCT4",0.103593227898952,-0.139507124631748,-0.048390761147509,0.207868735685074,0.334856102003643,0.0771477802478037,-0.261162153439423,-0.170270263496008,-0.267077071854341,0,-0.0693685861568975,-0.0693685861568975
"NRF2",0.0750130449078229,-0.0842070486556259,-0.029124414247073,0.0831580900518582,0.0218437313138809,0.0916784001125437,0.0357609823841995,-0.0332539673289435,0.0250976495411343,0,-0.0340229784108194,-0.0340229784108194
"miR34",0.0750130449078229,-0.0842070486556259,-0.029124414247073,0.0831580900518582,0.0218437313138809,0.0916784001125437,0.0357609823841995,-0.0332539673289435,0.0250976495411343,0,-0.0340229784108194,-0.0340229784108194
"miR200",-0.0810050759671224,0.108584383961544,0.0840210779160042,-0.0751205274322349,-0.285714559555493,-0.108143138909753,0.152400927077439,0.106167850938829,0.245499424253661,0,0.103601722325024,0.103601722325024
"miR145",-0.0730536460915402,0.132469806043014,0.0851389129040524,-0.164849483948911,-0.239293647453619,-0.111178663822484,0.183359937055248,0.10524058307231,0.174073328794923,0,0.102554331055402,0.102554331055402
"KEAP1",-0.0340229784108194,0.0538896955158555,0.0813888408358239,-0.0233421391316128,-0.0908017236761287,-0.136664561492148,-0.0250976495411343,0.0831580900518582,-0.0391947735392484,0,0.0819689100302204,0.0819689100302204
"Iext",0.0750130449078229,-0.0842070486556259,-0.029124414247073,0.0831580900518582,0.0218437313138809,0.0916784001125437,0.0357609823841995,-0.0332539673289435,0.0250976495411343,0,-0.0340229784108194,-0.0340229784108194
"GRHL2",-0.0704848110586861,0.121273193819663,0.0829039785511839,-0.0631217648477449,-0.184017163921744,-0.106409569340253,0.161162441660697,0.100733408909935,0.152686134471154,0,0.0985175129989244,0.0985175129989244
"Ecad",-0.0637222040029915,0.150133522543449,0.0828212603149752,-0.0559651064806588,-0.265778275349897,-0.1915160104087,0.128838218221582,0.0975161268888221,0.119361176334568,0,0.0953086196684914,0.0953086196684914
