"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0183679913761326,0.117128989015617,-0.029382269604788,-0.0519372374422687,0.0863953931076422,-0.0474740634044473,-0.0188873083318277,-0.0115956775130799,0.0609929079227252,0,-0.0361887881793122,-0.0361887881793122
"SNAIL",0.105359392639259,-0.0218982224325089,-0.103709421172234,-0.0911980278597789,-0.00827515228340325,-0.164766879000079,-0.130564594755313,-0.114816863603198,0.106083456225002,0,-0.13156033294997,-0.13156033294997
"OVOL2",-0.026916489631842,-0.0770629391486277,-0.0197183142726115,0.0173366084830472,-0.0223525036392993,0.0827997749483876,-0.0284965611539262,0.0647639979512881,0.0779580710483503,0,0.0801904052586988,0.0801904052586988
"OCT4",0.0500571035607617,0.050699091554046,-0.0123381333749196,-0.0657875395978489,0.0087493583374731,-0.0112668977426135,-0.0359084515025833,-0.0263747919253733,0.0768758174699493,0,-0.00608144108377829,-0.00608144108377829
"NRF2",0.13156033294997,0.0889530207196192,-0.0732342555155535,-0.116701383564477,0.0224340435089279,-0.138834104780967,-0.106083456225002,-0.0911980278597789,0.132602061902308,0,-0.10230986090334,-0.10230986090334
"miR34",-0.13156033294997,-0.0889530207196192,0.0732342555155535,0.116701383564477,-0.0224340435089279,0.138834104780967,0.106083456225002,0.0911980278597789,-0.132602061902308,0,0.10230986090334,0.10230986090334
"miR200",-0.0323692144275925,-0.0131895189448287,0.0790441800947859,0.00472584857364186,0.0631062551721341,0.0678013892310511,0.0466595745627367,0.0482789905441616,-0.101258981090927,0,0.081266610232844,0.081266610232844
"miR145",0.0039715333087148,-0.0828462429297742,0.0427016894944978,-0.0120121456824315,-0.077194389296239,0.0364127506974594,-0.0652586912979958,-0.0836237437943668,0.0950042065253634,0,0.0281745293300494,0.0281745293300494
"KEAP1",-0.10230986090334,-0.0766640267965942,0.106433671147402,0.0877136535031272,-0.0883369349437343,0.166319733905941,0.132602061902308,0.116701383564477,-0.103134829464778,0,0.133717229045402,0.133717229045402
"Iext",-0.13156033294997,-0.0889530207196192,0.0732342555155535,0.116701383564477,-0.0224340435089279,0.138834104780967,0.106083456225002,0.0911980278597789,-0.132602061902308,0,0.10230986090334,0.10230986090334
"GRHL2",-0.0361887881793122,-0.0974146191687379,0.081591995567088,0.00751117062123002,-0.0327293571568381,0.0916691672620141,0.0609929079227252,0.0519372374422687,-0.0146081040011566,0,0.0859613715174433,0.0859613715174433
"Ecad",-0.0481071274613851,-0.136490888238433,0.085282613527748,0.020049650567333,-0.122339900549584,0.187591371756059,0.124528876612607,0.061736725397265,-0.0811560905805411,0,0.0946022556422573,0.0946022556422573
