"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.325631728367203,0.138457042754236,-0.216198238957672,0.432004077864712,0.193469077824646,-0.403013666361999,-0.236249648609125,-0.439928684758391,0.232817022682252,0,-0.420223388953418,-0.420223388953418
"SNAIL",0.256597531226408,0.00742226038267527,-0.165685275071394,0.258320805244923,0.0606526411319519,-0.251653311528818,-0.197030876516058,-0.264765002501134,0.19305788011958,0,-0.253061145290186,-0.253061145290186
"OVOL2",-0.126666607630444,-0.0703295503988466,-0.0147817356090625,-0.129113997492756,-0.0788043091118874,0.123918735411732,-0.0088462606427544,0.13208736644906,0.0123530779805442,0,0.125478253500914,0.125478253500914
"OCT4",0.43464593292496,0.133726579440606,-0.219740024715372,0.525623006904193,0.07401210051333,-0.403789526022024,-0.338296094995546,-0.541593405567359,0.33246858916804,0,-0.423301765124143,-0.423301765124143
"NRF2",-0.253061145290186,-0.107042993631727,0.162338160612539,-0.251657334487493,-0.0594649926758949,0.246258079408366,0.19305788011958,0.258320805244923,-0.190454556101342,0,0.247289862144303,0.247289862144303
"miR34",-0.253061145290186,-0.107042993631727,0.162338160612539,-0.251657334487493,-0.0594649926758949,0.246258079408366,0.19305788011958,0.258320805244923,-0.190454556101342,0,0.247289862144303,0.247289862144303
"miR200",-0.426059744953251,-0.122209358804496,0.217072818515295,-0.425774490153098,-0.089646702601805,0.40015136047278,0.237052274206984,0.437116615831919,-0.330093338627391,0,0.418549096330832,0.418549096330832
"miR145",-0.456677469945587,-0.145344033630077,0.232695041398671,-0.554403905895898,-0.17004775625876,0.4293619202536,0.254098083833591,0.468092375214846,-0.245245351251197,0,0.448094164168272,0.448094164168272
"KEAP1",0.247289862144303,0.103194242787703,-0.160292872080764,0.238927273137799,-0.046154210815649,-0.240871662546539,-0.190454556101342,-0.251657334487493,0.182769501881634,0,-0.241114404948437,-0.241114404948437
"Iext",-0.253061145290186,-0.107042993631727,0.162338160612539,-0.251657334487493,-0.0594649926758949,0.246258079408366,0.19305788011958,0.258320805244923,-0.190454556101342,0,0.247289862144303,0.247289862144303
"GRHL2",0.420223388953418,0.133686724733035,-0.212887610096592,0.420657733174007,0.188786012545555,-0.39729222719286,-0.232817022682252,-0.432004077864712,0.225709179544997,0,-0.412974842692838,-0.412974842692838
"Ecad",-0.343776638952862,0.00751704266989701,0.175388359765112,-0.35026716940322,-0.26253512753397,0.228556752114627,0.160187790898346,0.357341999335193,-0.155713686978259,0,0.338923739510993,0.338923739510993
