"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.387178433307647,0.15996668574028,-0.246234100645002,0.482805453843923,0.169738314025762,-0.453065457558257,-0.442349474719762,-0.495801392613058,0.43177033894886,0,-0.477093188339591,-0.477093188339591
"SNAIL",-0.146429216324279,-0.0659247300785631,0.104116905575783,-0.14477785881645,-0.0762302514450996,0.0179610669185684,0.0339352032130263,0.150984755368174,-0.028666763674642,0,0.144982977567125,0.144982977567125
"OVOL2",0.145502429733071,0.0770330269226939,-0.124998977911543,0.144240740269613,0.0736475895155346,-0.139653341556809,-0.0426012891655975,-0.149730699762848,0.0379909650104699,0,-0.14350599479546,-0.14350599479546
"OCT4",0.471745901205507,0.146867411229374,-0.23636630395659,0.550277544673185,0.0459626353700944,-0.431066779935488,-0.525468942536807,-0.571308817053228,0.508510900578765,0,-0.454269318065646,-0.454269318065646
"NRF2",0.144982977567125,-0.0270377646538432,-0.0996597497735518,0.143579392852883,0.079012742113576,-0.0106639659478228,-0.028666763674642,-0.14477785881645,0.0279754855455054,0,-0.139392303566632,-0.139392303566632
"miR34",0.144982977567125,-0.0270377646538432,-0.0996597497735518,0.143579392852883,0.079012742113576,-0.0106639659478228,-0.028666763674642,-0.14477785881645,0.0279754855455054,0,-0.139392303566632,-0.139392303566632
"miR200",-0.454513997199757,-0.133988532710163,0.231289735786595,-0.44442074435613,-0.0558074636239812,0.422638965372597,0.415768421755103,0.461379627211056,-0.501726112958319,0,0.443833024535714,0.443833024535714
"miR145",-0.509505655777915,-0.163962122978192,0.258316760356923,-0.594324373703545,-0.146338260126187,0.47147661149895,0.463614090128774,0.514809876063626,-0.446651219874289,0,0.49601895352462,0.49601895352462
"KEAP1",-0.139392303566632,0.0413524169158283,0.101595469276839,-0.131616202668834,-0.171647766663494,0.0129845961373055,0.0279754855455054,0.143579392852883,-0.0177444624431951,0,0.137987585835384,0.137987585835384
"Iext",0.144982977567125,-0.0270377646538432,-0.0996597497735518,0.143579392852883,0.079012742113576,-0.0106639659478228,-0.028666763674642,-0.14477785881645,0.0279754855455054,0,-0.139392303566632,-0.139392303566632
"GRHL2",-0.477093188339591,-0.153606261712011,0.240666224833185,-0.464777005282891,-0.165031596901826,0.442772430852026,0.43177033894886,0.482805453843923,-0.416880633066507,0,0.464962380578638,0.464962380578638
"Ecad",-0.451539155841969,-0.0218495161307788,0.231873492798227,-0.440635471611804,-0.268200686635235,0.315482234807281,0.3453003476904,0.457587852564185,-0.331240077397443,0,0.441322525438034,0.441322525438034
