"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0273830228710453,0.112654708721634,-0.00968058459111502,-0.0431880010815741,-0.156707274478494,0.00117963540323819,-0.00141492116202677,0.0141899016571534,0.0601722722231365,0,-0.00633412044372036,-0.00633412044372036
"SNAIL",-0.0141621782920627,-0.0791720028307468,0.0726967201885245,0.00880890252760194,-0.0137731842574109,0.0918601583287375,-0.0155179240470343,0.0551641120196301,0.063088968155961,0,0.068107394972357,0.068107394972357
"OVOL2",-0.0115616888537839,-0.0470151308579355,-0.0133208357871758,0.00563158733737444,-0.015372272335587,0.0695238978656486,-0.0254188655268793,0.0681412831057102,0.0896079471757732,0,0.0843246122049425,0.0843246122049425
"OCT4",0.0436783729217063,0.0869039549255969,0.00213129592455332,-0.0594020149305499,-0.218473615664845,0.0219510990065981,-0.0277913934446475,-0.0068118979575253,0.0814044470577011,0,0.0160526334028474,0.0160526334028474
"NRF2",0.068107394972357,0.0048146492698534,-0.0143345975176291,-0.057946007033834,-0.00573818323495424,-0.0513992192809927,0.063088968155961,-0.00880890252760194,-0.0128315773631974,0,-0.0112565617074363,-0.0112565617074363
"miR34",0.068107394972357,0.0048146492698534,-0.0143345975176291,-0.057946007033834,-0.00573818323495424,-0.0513992192809927,0.063088968155961,-0.00880890252760194,-0.0128315773631974,0,-0.0112565617074363,-0.0112565617074363
"miR200",-0.00766757329757549,-0.0603381327474978,0.0819928492641308,-0.0154489423997624,0.233706940808068,0.0353495029085537,0.0610292372686538,0.0441476441014013,-0.0997197704360703,0,0.0774847944115023,0.0774847944115023
"miR145",0.0263654515733538,-0.062231425601284,0.0420116447629673,-0.0307739321172359,0.0723108948232924,0.00895581421381923,-0.0679416594244103,-0.0917314506607288,0.108200316078561,0,0.0197633216327495,0.0197633216327495
"KEAP1",-0.0112565617074363,0.0221266066383168,0.0760584835658395,0.00625889046941678,-0.114829192651571,0.0942563621381356,-0.0128315773631974,0.057946007033834,0.0656840054631502,0,0.071447391286021,0.071447391286021
"Iext",0.068107394972357,0.0048146492698534,-0.0143345975176291,-0.057946007033834,-0.00573818323495424,-0.0513992192809927,0.063088968155961,-0.00880890252760194,-0.0128315773631974,0,-0.0112565617074363,-0.0112565617074363
"GRHL2",-0.00633412044372036,-0.0810734366368283,0.0816194409193266,-0.0166862959743307,0.132629696427406,0.0489038215700556,0.0601722722231365,0.0431880010815741,0.00146988463960864,0,0.0765914755015821,0.0765914755015821
"Ecad",-0.0119250153633593,-0.0948750821441065,0.0641442184297254,-0.00567179713162074,0.228221089838186,0.0450884220923516,0.105237564380357,0.0344098355214405,-0.0639801145356495,0,0.0589025955355284,0.0589025955355284
