"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.534974577987832,0.297748209550788,-0.318144889619779,0.602302001877508,0.278040801044946,-0.490225837179007,-0.345868137190125,-0.625451017810029,0.335301785873327,0,-0.611396068973933,-0.611396068973933
"SNAIL",-0.293545978273851,-0.00278880876731495,0.183823288613858,-0.281804047738552,-0.17861523506124,0.313911003561405,-0.00299633317692192,0.295752879774148,0.0117405743847858,0,0.285338701086607,0.285338701086607
"OVOL2",-0.185058960183594,-0.111000891995207,0.0172061341335864,-0.174382700503252,-0.0993414783100254,0.155057059325419,0.0247885302101986,0.188835859169114,-0.0131751820219658,0,0.183228894824117,0.183228894824117
"OCT4",0.585398102255598,0.281705125350878,-0.288316723055186,0.630848005264364,0.131523541977149,-0.437289031607053,-0.414039324058154,-0.661475840069807,0.401830699349529,0,-0.550404907155125,-0.550404907155125
"NRF2",0.285338701086607,-0.101446336618273,-0.175888758399212,0.270298774488313,0.176409602214277,-0.304896937656366,0.0117405743847858,-0.281804047738552,-0.0164912730169376,0,-0.272146023966502,-0.272146023966502
"miR34",0.285338701086607,-0.101446336618273,-0.175888758399212,0.270298774488313,0.176409602214277,-0.304896937656366,0.0117405743847858,-0.281804047738552,-0.0164912730169376,0,-0.272146023966502,-0.272146023966502
"miR200",-0.575820758446566,-0.277976526132428,0.293809447980479,-0.53607492340411,-0.143560579457975,0.421718749400644,0.322868749933626,0.569511696096119,-0.401743067919651,0,0.556243468318783,0.556243468318783
"miR145",-0.634775668943189,-0.30388541696785,0.323004441549522,-0.683936677040598,-0.235366296391552,0.497304803050489,0.349853585201746,0.623869246157253,-0.324597014488355,0,0.611217635970446,0.611217635970446
"KEAP1",-0.272146023966502,0.109616491918746,0.172126888421126,-0.249286504549662,-0.265334861352302,0.297168600419832,-0.0164912730169376,0.270298774488313,0.0301169212960512,0,0.261040802657199,0.261040802657199
"Iext",0.285338701086607,-0.101446336618273,-0.175888758399212,0.270298774488313,0.176409602214277,-0.304896937656366,0.0117405743847858,-0.281804047738552,-0.0164912730169376,0,-0.272146023966502,-0.272146023966502
"GRHL2",-0.611396068973933,-0.28349614830226,0.309313905935318,-0.565649669757098,-0.260325569256867,0.474600837179007,0.335301785873327,0.602302001877508,-0.312446393716464,0,0.589143780413854,0.589143780413854
"Ecad",-0.586931395408354,-0.0584312557651358,0.301540426069867,-0.545695609959157,-0.361714750273906,0.460561166701474,0.275734189137789,0.579573160979566,-0.254522067925668,0,0.566668411773882,0.566668411773882
