"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0836787633087743,0.0884929365730078,-0.123287716353038,0.0241325510530465,-0.102452432123202,-0.0239103484431403,-0.0184522598172628,-0.0202795884371972,0.0223067727295615,0,0.0138457512932082,0.0138457512932082
"SNAIL",-0.032957043524124,-0.0474553493301645,0.0725468017278542,-0.0303237218190095,-0.016688090175723,-0.0553697980388296,-0.0571779392034388,0.0402532731723651,0.0671263951629334,0,-0.0393756862060537,-0.0393756862060537
"OVOL2",-0.0794981645305042,-0.0742102676713742,0.24436215713825,-0.0853267282921176,-0.0289120694613355,0.085972721903489,-0.154231005270231,0.0884207556988228,0.157281564981622,0,-0.0814648906148773,-0.0814648906148773
"OCT4",0.0230868394184458,0.0915582519391928,-0.132464664660183,0.134909155094414,-0.237286651763537,-0.0281395185953196,-0.122284611282363,-0.125431952898186,0.131783445781197,0,0.017010464428453,0.017010464428453
"NRF2",0.0393756862060537,-0.040092059013704,-0.0682368963079074,0.0441779883578398,0.0156361729717867,0.0659555472298749,0.0671263951629334,-0.0303237218190095,-0.0532272923536967,0,0.0304355335092308,0.0304355335092308
"miR34",0.0393756862060537,-0.040092059013704,-0.0682368963079074,0.0441779883578398,0.0156361729717867,0.0659555472298749,0.0671263951629334,-0.0303237218190095,-0.0532272923536967,0,0.0304355335092308,0.0304355335092308
"miR200",-0.0109700203107197,-0.0714670398570269,0.122061210516902,-0.0154292150479283,0.202765798714874,0.0313335903115452,0.026044559205617,0.022147601393933,-0.119334498901223,0,-0.0153103448915144,-0.0153103448915144
"miR145",-0.0241758934148959,-0.097009941612703,0.146590106587534,-0.132184664090701,0.161371510533257,0.0388540085214959,0.0313506264769259,0.039049128015178,-0.0245838346538137,0,-0.0285454904671893,-0.0285454904671893
"KEAP1",-0.0304355335092308,0.0574451987841294,0.0742266698652486,-0.0250062092167355,-0.117109168061803,-0.05115886849877,-0.0532272923536967,0.0441779883578398,0.072510649260816,0,-0.0429189684416453,-0.0429189684416453
"Iext",0.0393756862060537,-0.040092059013704,-0.0682368963079074,0.0441779883578398,0.0156361729717867,0.0659555472298749,0.0671263951629334,-0.0303237218190095,-0.0532272923536967,0,0.0304355335092308,0.0304355335092308
"GRHL2",-0.0138457512932082,-0.0837078953480372,0.124927190454099,-0.018740556345802,0.102026698916012,0.0279904671375024,0.0223067727295615,0.0241325510530465,-0.016955465540019,0,-0.0173059389839215,-0.0173059389839215
"Ecad",-0.0141012326801736,0.0360658972057016,0.129414960647284,-0.0169076812729132,-0.00127342096607876,0.0307224227177885,0.0249733135036118,0.0247444159667907,-0.0171415330956541,0,-0.0191717085102748,-0.0191717085102748
