"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.278340412228044,0.208352023230557,-0.192137700973329,0.39160126978844,-0.165199212821173,-0.378868678988747,0.277514452415384,-0.394996042255378,-0.275257996266062,0,-0.374861207373174,-0.374861207373174
"SNAIL",-0.119130953275993,-0.0727928777224297,0.091504247960067,-0.121673477135518,-0.00119030057222068,0.0006268719910098,-0.140286943478953,0.127287121926026,0.141030454859695,0,0.12081738009529,0.12081738009529
"OVOL2",-0.116286118647327,-0.0921585352667584,-0.0185055814932795,-0.119625045420771,0.0018954132105923,0.120090209836574,-0.1293278451489,0.12406355270337,0.129662080386844,0,0.117242743721599,0.117242743721599
"OCT4",0.383962402632752,0.19547634322214,-0.193697323171796,0.487528514406299,-0.291611355356847,-0.376984157407785,0.109193626220569,-0.494379791560751,-0.103628358155301,0,-0.3753722176996,-0.3753722176996
"NRF2",0.12081738009529,-0.0227402027664029,-0.086197570721578,0.125987954604358,-0.000608138518379926,0.00508533827115754,0.141030454859695,-0.121673477135518,-0.138250634297848,0,-0.115899885636707,-0.115899885636707
"miR34",0.12081738009529,-0.0227402027664029,-0.086197570721578,0.125987954604358,-0.000608138518379926,0.00508533827115754,0.141030454859695,-0.121673477135518,-0.138250634297848,0,-0.115899885636707,-0.115899885636707
"miR200",-0.359843452661263,-0.170076817837768,0.185572276876299,-0.368195868095501,0.259627816401584,0.361615021804109,-0.25832761444153,0.376807194705276,0.156633348144985,0,0.357713728177519,0.357713728177519
"miR145",-0.410329061071785,-0.226652168045373,0.211462328207886,-0.516755540180534,0.218856665052515,0.408330492038249,-0.195444895994205,0.427584940045672,0.19278323558536,0,0.406781420654193,0.406781420654193
"KEAP1",-0.115899885636707,0.0317206214024597,0.092369959326399,-0.11387139018718,-0.104029068246486,8.81767384230459e-05,-0.138250634297848,0.125987954604358,0.139995094458149,0,0.119689973100263,0.119689973100263
"Iext",0.12081738009529,-0.0227402027664029,-0.086197570721578,0.125987954604358,-0.000608138518379926,0.00508533827115754,0.141030454859695,-0.121673477135518,-0.138250634297848,0,-0.115899885636707,-0.115899885636707
"GRHL2",-0.374861207373174,-0.204656499084503,0.191607049935787,-0.383033621756684,0.162100821146623,0.376123871867085,-0.275257996266062,0.39160126978844,0.273031689076519,0,0.371861610390043,0.371861610390043
"Ecad",-0.329734169673832,-0.198681048662094,0.168598859055603,-0.340603506716648,0.251239342861579,0.320304368895049,-0.187988780242595,0.345501465900322,0.185848261481578,0,0.326593501808919,0.326593501808919
