"","NRF2","ZEB","OVOL2","miR34","miR200","OCT4","Ecad","GRHL2","miR145","KEAP1","SNAIL"
"ZEB",-0.117949427951576,-0.0748997501046072,-0.0181902616037998,-0.0180423702718094,-0.0115619611318505,-0.00843241222392647,-0.00531238351109643,0.00531238351109643,0.0102180095192788,0.0334169854223133,0.101952365697786
"OVOL2",-0.0151659761074,-0.0257876213462559,-0.0404046743511585,0.0548162262674975,-0.0469732880806536,0.0172657516327255,0.0526563082149428,-0.0526563082149428,0.0423713277768261,0.0764761794807279,-0.0498663738536907
"SNAIL",-0.0173607688371732,-0.0249113005818847,0.0602152438244534,-0.0418426403322023,-0.0448672812423403,0.016241678102366,0.0541018157086223,-0.0541018157086223,0.043509012177264,0.0769386218435354,-0.0413815812333271
"KEAP1",-0.118997504096994,-0.0199092206835833,0.0666101731226337,-0.0357748545925886,-0.0392124856470359,0.0109372530425162,0.06011595272705,-0.06011595272705,0.0483605659259518,0.08329546537358,0.0636676403578746
"Ecad",0.211868867663102,-0.00786963222261083,0.033053301677134,0.123190001448285,0.0876595954995741,-0.00542414442331063,0.019893092633168,-0.019893092633168,0.00573231816172338,-0.0745562630056599,-0.121615099946306
"GRHL2",0.111185000326222,-0.00531238351109643,0.043518948440486,0.0411228598860528,0.0334169854223133,-0.013201726049312,0.0286816045370622,-0.0286816045370622,0.00843241222392647,-0.00792678934388191,-0.0833422361335933
"miR200",0.212596174121244,-0.00447124645198148,0.0444182257312455,0.0439826645079454,0.0369824688546041,-0.0143790353625971,0.0293324099824716,-0.0293324099824716,0.00866208178247662,-0.109826347480047,-0.0696260859695051
"OCT4",-0.187471907600596,0.00853454667601138,-0.00534883951185186,0.000309257018503983,-0.0381676621420241,-0.0356567426252756,0.0138255525954641,-0.0138255525954641,-0.0141957734202147,0.0631967996711617,0.0830300956661043
"miR145",0.0585520352840751,0.0194848112547275,0.0189121903442439,0.00410458108071692,-0.0822489602698748,-0.0193342737076088,-0.00511946570226874,0.00511946570226874,-0.106131306748742,0.0978434533862703,-0.0635096696193742
"NRF2",0.00748632024538497,0.0541018157086223,-0.0231477918224146,0.0757791126296335,0.0769386218435354,-0.0483605659259518,-0.0199092206835833,0.0199092206835833,-0.016241678102366,-0.0392124856470359,-0.0307844533220879
"miR34",0.00748632024538497,0.0541018157086223,-0.0231477918224146,0.0757791126296335,0.0769386218435354,-0.0483605659259518,-0.0199092206835833,0.0199092206835833,-0.016241678102366,-0.0392124856470359,-0.0307844533220879
