"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0871076362914348,0.0411981569949413,-0.0247662665979192,0.0204323412042685,0.00926146678535334,-0.0134292835227108,-0.110501961243497,-0.0182351111719869,0.112195901412252,0,-0.01165551083177,-0.01165551083177
"SNAIL",-0.082837510689707,-0.0513607596933715,0.0711650164870907,-0.0881633557759295,-0.053486947686614,-0.0312699226841449,-0.0118871672616949,0.0909738859946911,0.0141815612771125,0,0.0844728336659948,0.0844728336659948
"OVOL2",0.0781740318065078,0.059381087093691,-0.0917874457282322,0.0842888784980865,0.0493819447337481,-0.082362390869899,0.00745652879457998,-0.0862625060082132,-0.00901098791707985,0,-0.0793089100002095,-0.0793089100002095
"OCT4",-0.00315637574668597,0.0266688895493006,0.00184142391593684,0.136965901075658,-0.124404090081139,-0.00153475177443318,-0.138990661254251,-0.136416844021468,0.139485999249589,0,0.00345258902024293,0.00345258902024293
"NRF2",0.0844728336659948,-0.0400635976601894,-0.0680217871729377,0.0923819559676841,0.057728549315389,0.0357538426471641,0.0141815612771125,-0.0881633557759295,-0.0107251706314293,0,-0.082034610203225,-0.082034610203225
"miR34",0.0844728336659948,-0.0400635976601894,-0.0680217871729377,0.0923819559676841,0.057728549315389,0.0357538426471641,0.0141815612771125,-0.0881633557759295,-0.0107251706314293,0,-0.082034610203225,-0.082034610203225
"miR200",0.0195917372209152,-0.0289996219325728,-0.0310366781675179,0.0257896248906123,0.113268566596925,-0.0103767686032848,-0.108352429629213,-0.0282876854026372,0.00650500931716177,0,-0.02100975630756,-0.02100975630756
"miR145",-0.00445750545621789,-0.0315032524907568,0.0197731050058088,-0.11663818038535,0.000132891696289342,0.00856295960848592,0.116908869427354,0.0194298189558149,-0.114747834800737,0,0.00608724705950572,0.00608724705950572
"KEAP1",-0.082034610203225,0.0529602890849024,0.0727332553979194,-0.0860936124094019,-0.151454681339393,-0.0290048539309623,-0.0107251706314293,0.0923819559676841,0.0159585511123346,0,0.0857186812342348,0.0857186812342348
"Iext",0.0844728336659948,-0.0400635976601894,-0.0680217871729377,0.0923819559676841,0.057728549315389,0.0357538426471641,0.0141815612771125,-0.0881633557759295,-0.0107251706314293,0,-0.082034610203225,-0.082034610203225
"GRHL2",-0.01165551083177,-0.0348377329666727,0.0272215176671414,-0.0171574487133654,-0.00611577142111493,0.0168046544425921,0.112195901412252,0.0204323412042685,-0.109704071346892,0,0.0135381753490134,0.0135381753490134
"Ecad",-0.0217219284165758,0.0620490368150258,0.0321639894231145,-0.0261734789370369,-0.116006153590017,0.0280547638306802,0.0913937709281263,0.0299830027465607,-0.0884138330451413,0,0.0239260718277952,0.0239260718277952
