"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.00152366502964015,-0.103508682461044,-0.04884589299152,0.106510627830816,0.0553366689733658,-0.0472137363079925,-0.178287357860309,-0.0693451587065835,0.191340285500299,0,-0.068445414064183,-0.068445414064183
"SNAIL",-0.105988883695712,-0.0638468798692075,0.0933379816488362,-0.108919600257721,0.0106426729825293,0.00918625320247576,0.140656968897989,0.125641884277002,-0.134138700412837,0,0.119117460964722,0.119117460964722
"OVOL2",-0.117263879070377,0.0872263586786409,-0.00454909269524818,-0.119375927318189,0.0114666346417275,0.119311362467022,0.16697763570149,0.142568205177364,-0.157953284277011,0,0.135522940270615,0.135522940270615
"OCT4",0.103468574196638,-0.0542447618951509,-0.0408252687825829,0.207391232119704,-0.0371066708064249,-0.0423325145081198,-0.275442274758831,-0.159336803855202,0.291293090609646,0,-0.0588044160027383,-0.0588044160027383
"NRF2",0.119117460964722,-0.041062517518066,-0.0765344476396614,0.12598575557891,0.00330371317288301,0.00254854175228882,-0.134138700412837,-0.108919600257721,0.139771881763035,0,-0.103035037518371,-0.103035037518371
"miR34",-0.119117460964722,0.041062517518066,0.0765344476396614,-0.12598575557891,-0.00330371317288301,-0.00254854175228882,0.134138700412837,0.108919600257721,-0.139771881763035,0,0.103035037518371,0.103035037518371
"miR200",-0.063430390413483,0.0164361936338853,0.084954413983928,-0.056666978164564,0.0743493608950421,0.069143868815443,0.17314112989683,0.100592501826317,-0.256093173545724,0,0.0986112822019124,0.0986112822019124
"miR145",-0.0694169551445654,0.0931255857733252,0.089751101124097,-0.161319734855219,-0.0217469761720933,0.0798673601922451,0.211196706363337,0.109802539979966,-0.191930957510605,0,0.107430087555166,0.107430087555166
"KEAP1",-0.103035037518371,0.0349180205565535,0.0949420444256366,-0.103286369075843,-0.0872098779301116,0.00977847549276121,0.139771881763035,0.12598575557891,-0.130672400386326,0,0.119706121536394,0.119706121536394
"Iext",0.119117460964722,-0.041062517518066,-0.0765344476396614,0.12598575557891,0.00330371317288301,0.00254854175228882,-0.134138700412837,-0.108919600257721,0.139771881763035,0,-0.103035037518371,-0.103035037518371
"GRHL2",-0.068445414064183,0.090846727219583,0.0879952672985056,-0.0610590896237365,-0.0215145308465919,0.0736695968421171,0.191340285500299,0.106510627830816,-0.173550252820561,0,0.104538453387115,0.104538453387115
"Ecad",-0.0749177930351134,0.106838136245137,0.0888217700817348,-0.0686069209529727,-0.113547570761732,0.0830396863289858,0.216391636148104,0.110021886939367,-0.200148876138031,0,0.10754479142694,0.10754479142694
