"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0513186337026167,0.0506013269084989,-0.162426601322474,0.0550238141100229,0.0544738133477328,-0.0431075198264652,-0.0240149469030438,-0.0506710076953609,0.0301578770999244,0,-0.0461311358334299,-0.0461311358334299
"SNAIL",0.104216152980354,-0.027020556716581,-0.142481738349928,0.10834084176819,-0.00299328183354097,-0.144875537690158,-0.115026091426647,-0.113998980440789,0.109009579088007,0,-0.107302825098097,-0.107302825098097
"OVOL2",-0.0981032268501616,-0.0529898813734686,0.262802367976362,-0.10348465862364,-0.115325633463772,0.100574749205859,-0.148481319730436,0.10709579367492,0.15305981195814,0,0.0999630010628769,0.0999630010628769
"OCT4",0.059707685212093,0.059906771194782,-0.174865477641341,0.168636948303304,-0.0395296588839212,-0.0485025759216883,-0.128063158457517,-0.158539072915384,0.141990897385256,0,-0.0529908490900852,-0.0529908490900852
"NRF2",-0.107302825098097,-0.083767475310389,0.139904856659946,-0.11572339210376,-0.00525239173279768,0.138199185580273,0.109009579088007,0.10834084176819,-0.117201960320541,0,0.102352492613079,0.102352492613079
"miR34",-0.107302825098097,-0.083767475310389,0.139904856659946,-0.11572339210376,-0.00525239173279768,0.138199185580273,0.109009579088007,0.10834084176819,-0.117201960320541,0,0.102352492613079,0.102352492613079
"miR200",-0.0558455615451383,-0.0418274436359656,0.169774989469469,-0.0579914922398599,0.0509968593461309,0.059603241968578,0.036852495237951,0.0640582106262059,-0.129166078084701,0,0.0586654245957664,0.0586654245957664
"miR145",-0.0544473665483656,-0.0372758031708264,0.185722790938825,-0.157074949953008,-0.0457198465242734,0.0586312290662975,0.0376352028114432,0.0665557321512552,-0.026496279156875,0,0.0591192924777907,0.0591192924777907
"KEAP1",0.102352492613079,0.0699929986054599,-0.142607559362649,0.103453453453453,-0.106695235108446,-0.146651389114443,-0.117201960320541,-0.11572339210376,0.10612228092403,0,-0.109005023755406,-0.109005023755406
"Iext",-0.107302825098097,-0.083767475310389,0.139904856659946,-0.11572339210376,-0.00525239173279768,0.138199185580273,0.109009579088007,0.10834084176819,-0.117201960320541,0,0.102352492613079,0.102352492613079
"GRHL2",0.0461311358334299,0.0368940241994294,-0.163963113281922,0.0476139563528281,0.045628023376115,-0.0499417186395215,-0.0301578770999244,-0.0550238141100229,0.0210279751391401,0,-0.0498791927163823,-0.0498791927163823
"Ecad",-0.0262342882018023,0.0652351754319814,0.137731219030144,-0.0302016658826083,-0.136789517586649,0.0311548829085149,0.0233349724119153,0.0341200332295471,-0.0178032003981489,0,0.0281262567951237,0.0281262567951237
