"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0607885977263489,0.0988927475169173,-0.0321724334648199,0.0467222165675294,0.120265437678106,-0.0388180766726958,0.00298553974138883,-0.0322371598144314,-0.0130149439858276,0,-0.0285175189115468,-0.0285175189115468
"SNAIL",-0.106066719020175,0.370689520871443,0.0884085861497249,-0.109564443999912,-0.163452011759887,-0.164853512796794,-0.250703308831643,0.119434670177146,0.243902232336638,0,0.11279709514446,0.11279709514446
"OVOL2",-0.0913184846627564,-0.118417485475881,-0.0270188718949886,-0.0959982753217566,-0.021991172493386,0.108734387932387,0.0459917953825422,0.105159699091471,-0.0521300520539837,0,0.0980089184120137,0.0980089184120137
"OCT4",0.0442663506376672,0.140611597987396,-0.0275708633620415,0.155467709857792,0.0064947723132969,-0.0446163956895988,-0.182048819203048,-0.130521421960919,0.164304063958293,0,-0.0258610988563847,-0.0258610988563847
"NRF2",0.11279709514446,-0.465148012232589,-0.0782426462958425,0.12068620814181,0.165996972737152,0.172797777473543,0.243902232336638,-0.109564443999912,-0.251359211304133,0,-0.103643495275812,-0.103643495275812
"miR34",0.11279709514446,-0.465148012232589,-0.0782426462958425,0.12068620814181,0.165996972737152,0.172797777473543,0.243902232336638,-0.109564443999912,-0.251359211304133,0,-0.103643495275812,-0.103643495275812
"miR200",-0.0236689905630396,-0.148688222803795,0.0453995368789971,-0.0236041254871303,-0.00435819914755436,0.0632898421720745,0.00718757374468826,0.0419594396841823,-0.119487755615082,0,0.0373369692118776,0.0373369692118776
"miR145",-0.0341255772605561,-0.111855634252451,0.0508899894203834,-0.135316921666126,-0.0980860137724397,0.0600679187177175,0.0982640617511968,0.0562339816796125,-0.112139739681944,0,0.049454596108872,0.049454596108872
"KEAP1",-0.103643495275812,0.468118977796397,0.0906604695244766,-0.104121790963896,-0.259941326255974,-0.162088814305563,-0.251359211304133,0.12068620814181,0.239713761044822,0,0.114165626206106,0.114165626206106
"Iext",0.11279709514446,-0.465148012232589,-0.0782426462958425,0.12068620814181,0.165996972737152,0.172797777473543,0.243902232336638,-0.109564443999912,-0.251359211304133,0,-0.103643495275812,-0.103643495275812
"GRHL2",-0.0285175189115468,-0.092031734560498,0.0476088345419624,-0.028263731618803,-0.114967424433073,0.0512809846845653,-0.0130149439858276,0.0467222165675294,0.000596643332232819,0,0.0420761578660059,0.0420761578660059
"Ecad",-0.0406816421123413,0.178217418545888,0.0532839264791669,-0.0399106993608471,-0.242162115152159,0.0274046601657922,-0.104079444808834,0.0580331483404389,0.0917987430544481,0,0.0536983860343922,0.0536983860343922
