"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.00389852658420576,-0.141624569898764,-0.0515912679679631,0.101305279151636,0.205507127373186,0.0797654484141088,0.15721875994218,-0.0715749865347452,-0.163821930486798,0,-0.0705333219324606,-0.0705333219324606
"SNAIL",-0.122054527010767,0.00134794071190429,0.105629071910043,-0.123104922262583,-0.136012766896848,-0.175528787257485,-0.163662875087895,0.145388941543265,0.158266715803126,0,0.138729710984601,0.138729710984601
"OVOL2",-0.119503817455638,0.126134370168579,-0.00554717530996752,-0.121269225396876,-0.131807381317564,-0.143223175022294,-0.154309378120093,0.141858728111691,0.149062415416501,0,0.134780109790753,0.134780109790753
"OCT4",-0.00418713261592367,0.0285132359113943,0.00292675499431883,0.136375899554648,-0.12640476403378,-0.00913066276658872,-0.14443320072709,-0.134776472483748,0.144112687906578,0,0.00513981854979606,0.00513981854979606
"NRF2",0.138729710984601,-0.111777776362979,-0.0831280808017009,0.146307223317233,0.147719587392267,0.155829916492115,0.158266715803126,-0.123104922262583,-0.162399676532645,0,-0.117475298374799,-0.117475298374799
"miR34",0.138729710984601,-0.111777776362979,-0.0831280808017009,0.146307223317233,0.147719587392267,0.155829916492115,0.158266715803126,-0.123104922262583,-0.162399676532645,0,-0.117475298374799,-0.117475298374799
"miR200",0.0836810179478828,-0.110363844258623,-0.0873440686012165,0.0770055052945647,0.29559572084083,0.11280104829578,0.171353112406532,-0.110969818715822,-0.262211732105967,0,-0.108520614648158,-0.108520614648158
"miR145",-0.042533027823049,0.10277694000742,0.0623032507736433,-0.14098776265165,-0.129725014097007,-0.0737203572439258,-0.0393281995749482,0.0723161510535383,0.0312597807180437,0,0.0662611207891788,0.0662611207891788
"KEAP1",-0.117475298374799,0.0984759532704738,0.108402003372921,-0.114405382826435,-0.229225315706506,-0.175736239677126,-0.162399676532645,0.146307223317233,0.154903212600537,0,0.139977286182909,0.139977286182909
"Iext",0.138729710984601,-0.111777776362979,-0.0831280808017009,0.146307223317233,0.147719587392267,0.155829916492115,0.158266715803126,-0.123104922262583,-0.162399676532645,0,-0.117475298374799,-0.117475298374799
"GRHL2",-0.0705333219324606,0.121291825493582,0.0833432084083242,-0.0631312798132302,-0.18502462973837,-0.106953875713812,-0.163821930486798,0.101305279151636,0.153875035061961,0,0.0991187327217979,0.0991187327217979
"Ecad",-0.0789498063063949,0.159792789887587,0.0872031256691044,-0.0719598632418754,-0.293392312437381,-0.201214435653226,-0.197854701153786,0.109021087731671,0.188344082501893,0,0.106449569810321,0.106449569810321
