"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0112667414467198,-0.118183739259252,-0.0294722760880813,0.094067231379445,-0.170805886885079,-0.0226188481064848,-0.0190030684328936,-0.0387199440733948,0.0649631809360897,0,-0.0382785594021706,-0.0382785594021706
"SNAIL",-0.0250394095677423,-0.0835338916289109,0.0689680374181228,-0.0211245926908194,-0.00782980577508264,-0.0189197418457269,-0.0169796604733507,0.0669607068917834,0.0547983896618742,0,0.0662597693387971,0.0662597693387971
"OVOL2",-0.0253267096298582,0.0522489259834365,-0.0184741347962068,-0.0197628777570839,-0.00793080301767013,0.067573701564279,-0.0274789723183823,0.0822208627609622,0.0790626107076868,0,0.0815180346447126,0.0815180346447126
"OCT4",0.0970280433897025,-0.114375467119426,-0.0281964680209705,0.201823950503522,-0.302293282828283,-0.0185990927114417,-0.114073852477905,-0.140210200205121,0.165792966697019,0,-0.039602697140403,-0.039602697140403
"NRF2",-0.0662597693387971,0.0373679204233436,0.0222160410427476,-0.0708369608595634,0.00723636321032625,-0.0506241597285771,-0.0547983896618742,0.0211245926908194,0.0136599869555939,0,0.0213291396696402,0.0213291396696402
"miR34",-0.0662597693387971,0.0373679204233436,0.0222160410427476,-0.0708369608595634,0.00723636321032625,-0.0506241597285771,-0.0547983896618742,0.0211245926908194,0.0136599869555939,0,0.0213291396696402,0.0213291396696402
"miR200",-0.0502937660135691,0.0745310358609756,0.0869850856257468,-0.0458675253822014,0.252379979674821,0.0502975513336732,0.0547468977729677,0.0996921956692457,-0.110686401936843,0,0.0978001012699448,0.0978001012699448
"miR145",-0.0399440443034216,0.104163351843204,0.0877893272723623,-0.13419048564643,0.208456217784808,0.0652924171225459,0.0674849747550141,0.097130472160253,-0.0159789255268121,0,0.0954072215909647,0.0954072215909647
"KEAP1",0.0213291396696402,-0.0146805470269898,-0.0730195472516592,0.016542482331956,-0.0904878634831031,0.0161553498499311,0.0136599869555939,-0.0708369608595634,-0.0584973278325387,0,-0.0700701945331441,-0.0700701945331441
"Iext",0.0662597693387971,-0.0373679204233436,-0.0222160410427476,0.0708369608595634,-0.00723636321032625,0.0506241597285771,0.0547983896618742,-0.0211245926908194,-0.0136599869555939,0,-0.0213291396696402,-0.0213291396696402
"GRHL2",-0.0382785594021706,0.0923297934406417,0.0862360967755516,-0.0328035859940663,0.151435025957927,0.0610554208067815,0.0649631809360897,0.094067231379445,-0.0146976580602727,0,0.0926109907453682,0.0926109907453682
"Ecad",-0.0353387089245008,0.103158855238848,0.0841104821139521,-0.0301347847544077,0.2395183533915,0.0666186621129842,0.068717504027159,0.0901619956387615,-0.019418418994002,0,0.0886733035702297,0.0886733035702297
