"","NRF2","ZEB","miR200","miR34","miR145","OVOL2","GRHL2","Ecad","OCT4","KEAP1","SNAIL"
"NRF2",0.114498840225143,-0.10787955922199,0.118547492810317,0.13727221785366,0.101291797028795,0.0728807784194252,0.0954093186834461,0.0954093186834461,-0.116775977278076,-0.134417473689858,-0.0990438877760178
"miR34",0.114498840225143,-0.10787955922199,0.118547492810317,0.13727221785366,0.101291797028795,0.0728807784194252,0.0954093186834461,0.0954093186834461,-0.116775977278076,-0.134417473689858,-0.0990438877760178
"ZEB",-0.140543422546481,-0.0556693077745637,-0.0419867929208795,-0.0414108663766035,-0.0346538497034242,-0.0329340848804839,-0.0311025951992221,-0.0311025951992221,0.0517839132252403,0.0607288026370646,0.111132133922052
"miR200",0.245410473624582,-0.0422093686492492,0.0657223978656731,0.0672296829615917,0.0609669760605587,0.055123780544445,0.0561469326757764,0.0561469326757764,-0.0419910257114508,-0.144998745142403,-0.0868140044838288
"Ecad",0.252035560441332,-0.0413713155493837,0.124378877355126,0.157274775768888,0.0615456211649881,0.0560421051189747,0.0573016911051495,0.0573016911051495,-0.0400762334098861,-0.101538283046387,-0.137977965787577
"miR145",0.196287131589466,-0.0378427728519232,0.0664584854241454,0.066285982093649,0.062006363783459,0.0547790422698585,0.0554581538335473,0.0554581538335473,-0.138095372549474,-0.0406178512981546,-0.107871192996116
"OVOL2",-0.00696082181420817,-0.0343640457826928,-0.0407198382868814,0.0553329701758173,0.0538594295063608,-0.0423489193081905,0.052973671451142,0.052973671451142,-0.0293916194572356,0.0673578562188671,-0.0540487001531137
"GRHL2",-0.137468682716774,0.0311025951992221,-0.0607288026370646,-0.0580744420442593,-0.0517839132252403,-0.0511583839459044,-0.0472866011869013,-0.0472866011869013,0.0300836155077411,0.0372198157089601,0.0953783058890723
"OCT4",-0.277193525418116,0.0565500675007411,-0.142965011584679,-0.0460739252000842,-0.140906906663629,-0.0326817415049921,-0.0362554553800142,-0.0362554553800142,0.166378379568857,0.170995314614982,0.114883725549464
"KEAP1",-0.20964341196546,0.0954093186834461,-0.134417473689858,-0.150791485471288,-0.116775977278076,-0.0895352707495932,-0.110172106915622,-0.110172106915622,0.0963772042719411,0.114662641063738,0.088780552191953
"SNAIL",-0.11215747612606,0.0980369590584575,-0.132236312771088,-0.149310783527569,-0.114528726950931,-0.0866486891630397,-0.10787955922199,-0.10787955922199,0.101291797028795,0.118547492810317,-0.00991102162136947
