"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0197486030125364,-0.113082802674022,-0.0295146884047626,0.0865292094185223,0.156334706149554,-0.0210845914323968,0.00213549544696114,-0.0366177234245621,-0.0323569617251176,0,-0.0360147754644439,-0.0360147754644439
"SNAIL",-0.0259479575543795,-0.0831626065088064,0.0663424456451976,-0.021830523670256,0.0115754855713363,-0.0211708402789092,-0.0278921214849389,0.0637660075412237,-0.0566883628752596,0,0.0629982437359004,0.0629982437359004
"OVOL2",-0.0265803044010138,0.0527275979522988,-0.0217807267327021,-0.0206971240384,0.0126628435829699,0.0646716963359402,-0.0416183589042447,0.0781908756543613,-0.0811164755152055,0,0.0773883852090946,0.0773883852090946
"OCT4",-0.00172226091390486,0.0226571534429521,0.00222738600232024,0.138438947745264,-0.121513400397417,-0.00124665568629144,0.136738230195115,-0.136266591574341,0.135310491267376,0,0.00353956937599757,0.00353956937599757
"NRF2",0.0629982437359004,-0.0355689569130226,-0.023362324446806,0.0681871871410134,0.00474619749618995,0.050088491999176,0.0566883628752596,-0.021830523670256,0.0247571965272673,0,-0.0220574342785487,-0.0220574342785487
"miR34",-0.0629982437359004,0.0355689569130226,0.023362324446806,-0.0681871871410134,-0.00474619749618995,-0.050088491999176,-0.0566883628752596,0.021830523670256,-0.0247571965272673,0,0.0220574342785487,0.0220574342785487
"miR200",-0.0479198109138025,0.0728064590812268,0.0818510964614059,-0.0440412280463198,-0.238453655358695,0.0451777985581968,0.0244268221597641,0.0925594592332864,0.091469992447885,0,0.0904226415602682,0.0904226415602682
"miR145",-0.0129798675661218,0.0788288708191588,0.0598907731183252,-0.113156102749036,-0.0913755542977987,0.0354769740031533,-0.0900267673822758,0.0588068107733108,-0.121157347273807,0,0.053373839884134,0.053373839884134
"KEAP1",-0.0220574342785487,0.0150422857448929,0.0708787598010792,-0.0169601932759827,-0.0865792580526548,-0.018089343606585,-0.0247571965272673,0.0681871871410134,-0.0598821375928024,0,0.0672999468680001,0.0672999468680001
"Iext",0.0629982437359004,-0.0355689569130226,-0.023362324446806,0.0681871871410134,0.00474619749618995,0.050088491999176,0.0566883628752596,-0.021830523670256,0.0247571965272673,0,-0.0220574342785487,-0.0220574342785487
"GRHL2",-0.0360147754644439,0.0905415777034683,0.0807581542688525,-0.031054515405952,-0.136538112015211,0.0555708673967885,0.0323569617251176,0.0865292094185223,-0.00540856115069938,0,0.0847855740135832,0.0847855740135832
"Ecad",-0.0335647252182689,0.101795426476994,0.079194327895628,-0.0287168080048149,-0.226528646603136,0.0617682829862138,0.0396032275628029,0.0834378964401891,0.0023078359737825,0,0.0817058660753306,0.0817058660753306
