"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.158739457538646,0.0963664116468688,-0.130819712808975,0.281219185091227,0.11913951171926,-0.262877317140339,-0.153561758778028,-0.281177531441326,0.153926115719987,0,0.258684288561408,-0.258684288561408
"SNAIL",-0.17584630178366,-0.0693055963616615,0.123593264515188,-0.187957766222183,-0.103174337737226,0.0308936665767688,0.0087348369842934,0.188573264924445,-0.00732535835454383,0,-0.175989392544085,0.175989392544085
"OVOL2",-0.167256407215096,-0.0880880502705584,0.00219249898830838,-0.180559634813009,-0.096123233271271,0.170770961932856,0.0150373050836711,0.180930228624954,-0.0142998654317001,0,-0.16732176669222,0.16732176669222
"OCT4",-0.00574971902917214,0.0258936673542866,0.00297255728711955,0.134680898143529,-0.125923652922669,0.000340949941487666,-0.138441345679855,-0.134275073364345,0.138994958733468,0,-0.0057096902084212,0.0057096902084212
"NRF2",0.175989392544085,-0.0271124398793835,-0.123111869034642,0.188005704860726,0.104870978388736,-0.0292889647343334,-0.00732535835454383,-0.187957766222183,0.00910503183593815,0,0.175570707707044,-0.175570707707044
"miR34",0.175989392544085,-0.0271124398793835,-0.123111869034642,0.188005704860726,0.104870978388736,-0.0292889647343334,-0.00732535835454383,-0.187957766222183,0.00910503183593815,0,0.175570707707044,-0.175570707707044
"miR200",0.268262563801082,0.0175281430854221,-0.136363500459378,0.289607932997581,0.227450618934214,-0.256335651675078,-0.148062998032409,-0.29015098963063,0.0474790983482895,0,0.268235605263314,-0.268235605263314
"miR145",-0.245412106365024,-0.0943951268739208,0.124346359609089,-0.372467618884523,-0.0768290284018984,0.250519523037249,0.150846258637383,0.272831745654584,-0.150003538570633,0,-0.245539651360064,0.245539651360064
"KEAP1",-0.175570707707044,0.0335945465640561,0.123732760196074,-0.185551717130664,-0.202197765077225,0.0313966930715699,0.00910503183593815,0.188005704860726,-0.00472030764923376,0,-0.175756236464001,0.175756236464001
"Iext",0.175989392544085,-0.0271124398793835,-0.123111869034642,0.188005704860726,0.104870978388736,-0.0292889647343334,-0.00732535835454383,-0.187957766222183,0.00910503183593815,0,0.175570707707044,-0.175570707707044
"GRHL2",-0.258684288561408,-0.0950413233076462,0.130970195939024,-0.280722989259272,-0.118690126667226,0.263331693994938,0.153926115719987,0.281219185091227,-0.153006998072928,0,-0.25877064931908,0.25877064931908
"Ecad",-0.27693229610476,0.0221401172592487,0.142266228147039,-0.295878406988727,-0.235212214095625,0.176858931466009,0.129262040556648,0.296721944403693,-0.127725903563447,0,-0.277036354377393,0.277036354377393
