"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.288809720115634,0.213710237757657,-0.198088706716847,0.403393079748856,0.175268087882213,-0.3899570587885,-0.229515617124507,-0.407381416726884,0.227214415385821,0,-0.386601181381674,-0.386601181381674
"SNAIL",-0.237267541538825,-0.123365953893831,0.155995694688172,-0.244603667669235,-0.128353448605993,0.0880067554837034,0.0449356661343626,0.247859136708908,-0.0429058344507426,0,0.235581114719529,0.235581114719529
"OVOL2",-0.23208441943152,-0.168762215584876,0.0346782941249712,-0.240460899888323,-0.123005185832364,0.237341688626284,0.0546008073896756,0.243434268844628,-0.053078180194599,0,0.230343480631757,0.230343480631757
"OCT4",0.00726212065742688,-0.0240401631001803,-0.00367969002499825,0.146111340041148,-0.117606044047028,-0.00153238865534461,-0.138286871931855,-0.146899117553681,0.137587571232554,0,-0.00696590738386992,-0.00696590738386992
"NRF2",-0.235581114719529,-0.0218067461399334,0.154528854341567,-0.240289190200395,-0.128014120475691,0.0852794227226917,0.0429058344507426,0.244603667669235,-0.0409496644257389,0,0.232847349018847,0.232847349018847
"miR34",0.235581114719529,0.0218067461399334,-0.154528854341567,0.240289190200395,0.128014120475691,-0.0852794227226917,-0.0429058344507426,-0.244603667669235,0.0409496644257389,0,-0.232847349018847,-0.232847349018847
"miR200",0.364656593706236,0.173776585935639,-0.18669503341316,0.37642591531468,0.2628918317549,-0.364983604657452,-0.21692551848756,-0.381592711280545,0.113852866051454,0,-0.361869080900931,-0.361869080900931
"miR145",-0.35131716163743,-0.192233980845279,0.178745851033452,-0.467412921848898,-0.123088423665996,0.352287293653363,0.209920945028922,0.372524182806417,-0.207125784411483,0,0.348374178974101,0.348374178974101
"KEAP1",0.232847349018847,0.0191058683546532,-0.153177502990216,0.232160355844566,0.0245771319323199,-0.0817665421606308,-0.0409496644257389,-0.240289190200395,0.0351505130820331,0,-0.22905726155529,-0.22905726155529
"Iext",0.235581114719529,0.0218067461399334,-0.154528854341567,0.240289190200395,0.128014120475691,-0.0852794227226917,-0.0429058344507426,-0.244603667669235,0.0409496644257389,0,-0.232847349018847,-0.232847349018847
"GRHL2",-0.386601181381674,-0.212046515731744,0.196520514098441,-0.397273331154745,-0.173730717967359,0.386470411904227,0.227214415385821,0.403393079748856,-0.2237626180002,0,0.383164023226339,0.383164023226339
"Ecad",-0.318623722180058,-0.193352603601658,0.163099240452646,-0.33212074711886,-0.23517116654114,0.311286008461671,0.215082801824029,0.335712583853553,-0.213278050711798,0,0.316476337826638,0.316476337826638
