"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0762590863892754,0.088590389222178,-0.0198729631255448,0.0315975258325482,0.0469205222398944,-0.0191970397578545,-0.0120682976433228,-0.0103437509705259,0.0305546182774317,0,-0.00717420363937687,-0.00717420363937687
"SNAIL",-0.0870648850943406,-0.0627898920117213,0.0824785121572241,-0.0905337905794616,0.014624988150631,-0.0173621359662144,0.116150230658433,0.105728451313611,-0.103410185956522,0,0.0990742882014543,0.0990742882014543
"OVOL2",-0.0268671540302887,-0.0758848069884789,-0.0430810500159359,-0.0215907002123876,-0.0296182040735133,0.0537317922385447,-0.0500370411961975,0.0502815560255394,0.075136515969395,0,0.0494102318674842,0.0494102318674842
"OCT4",0.003263731350691,-0.0260263373377028,-0.00230332047213797,0.1430958769191,-0.122576852127836,0.000962704321373562,-0.143390746238443,-0.144217863073313,0.142691445539143,0,-0.00410433658646075,-0.00410433658646075
"NRF2",-0.0990742882014543,0.0295194210940519,0.0665358265367903,-0.108894289141302,-0.00285041055992212,-0.0310384220389873,0.103410185956522,0.0905337905794616,-0.118427100208618,0,0.0846009280503993,0.0846009280503993
"miR34",0.0990742882014543,-0.0295194210940519,-0.0665358265367903,0.108894289141302,0.00285041055992212,0.0310384220389873,-0.103410185956522,-0.0905337905794616,0.118427100208618,0,-0.0846009280503993,-0.0846009280503993
"miR200",-0.0193956172841499,-0.00424731290837088,0.0461524807194705,-0.0193197321240576,0.073242277599137,0.0293328426528029,0.0370751229732789,0.0415229904638559,-0.117480981114372,0,0.0369564087868188,0.0369564087868188
"miR145",-0.0058655654674409,0.0822205406634492,-0.0297179598258828,-0.223613705211695,0.0858499725595776,-0.0211825950444203,0.0922151319280438,0.102723617551547,-0.110462941690247,0,-0.0108711722150193,-0.0108711722150193
"KEAP1",0.0846009280503993,-0.0399178005673808,-0.0857469295316771,0.0869617738038791,-0.117607854579194,0.014070144414972,-0.118427100208618,-0.108894289141302,0.101029646177501,0,-0.102120143528798,-0.102120143528798
"Iext",0.0990742882014543,-0.0295194210940519,-0.0665358265367903,0.108894289141302,0.00285041055992212,0.0310384220389873,-0.103410185956522,-0.0905337905794616,0.118427100208618,0,-0.0846009280503993,-0.0846009280503993
"GRHL2",-0.00717420363937687,-0.0806104127793041,0.042120705878594,-0.00619229923645156,-0.0216603519466115,0.0373535679477655,0.0305546182774317,0.0315975258325482,-0.00833239605520946,0,0.0273423192476445,0.0273423192476445
"Ecad",0.00244585333535683,-0.114864954644668,0.0292582242516241,0.000972665982466536,-0.11894248029749,0.114060556254723,0.023626073420562,0.0160341367386219,-0.0084577698866075,0,0.0109965835201914,0.0109965835201914
