"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.03364988243599,0.242416860638576,-0.00382704182052449,0.0721987072223595,-0.146281543586028,-0.0380865740745093,0.0201791865142788,0.00299654426155176,0.042739504357621,0,0.00329270779948233,0.00329270779948233
"SNAIL",-0.219030092060991,0.176953634104176,0.161724843225336,-0.231608280250558,0.250909817114935,-0.039870212695147,0.293727205077949,0.250510764492308,-0.278843293204574,0,0.237483689771539,0.237483689771539
"OVOL2",-0.00947684523505522,-0.0818577883822501,-0.0127243055113068,-0.00584298554070138,-0.0163410177925798,0.0871649456885884,-0.0253587641559504,0.0851931536006859,0.0921262319261239,0,0.0846818363223993,0.0846818363223993
"OCT4",0.0670866310235846,0.26904794925347,5.14327973614059e-05,0.176792280835032,-0.276245503394602,-0.0399856147553398,-0.0685209138341361,-0.0935504570107307,0.138509258822481,0,0.00724688911091222,0.00724688911091222
"NRF2",0.237483689771539,-0.275562989350699,-0.142803169101759,0.250591981113453,-0.257492782842794,0.0572181622427928,-0.278843293204574,-0.231608280250558,0.29689006478863,0,-0.2191354425012,-0.2191354425012
"miR34",0.237483689771539,-0.275562989350699,-0.142803169101759,0.250591981113453,-0.257492782842794,0.0572181622427928,-0.278843293204574,-0.231608280250558,0.29689006478863,0,-0.2191354425012,-0.2191354425012
"miR200",0.0101018001317825,-0.24255177291742,0.0730117053526798,0.0102433466782701,0.20783929121483,0.103007554478215,0.0178802435012688,0.0622314399780527,-0.0563601898973633,0,0.0609015966439764,0.0609015966439764
"miR145",0.00349176870620832,-0.249343112709545,0.0800754066258053,-0.0965242289311772,0.179908264347042,0.105684164239681,0.0435861102548816,0.0736786456540362,0.0213367099370249,0,0.0722274433491557,0.0722274433491557
"KEAP1",-0.2191354425012,0.288797290498572,0.163000393353037,-0.226512226512227,0.14947314290826,-0.0429324479570785,0.29689006478863,0.250591981113453,-0.280529857339314,0,0.238615961981719,0.238615961981719
"Iext",0.237483689771539,-0.275562989350699,-0.142803169101759,0.250591981113453,-0.257492782842794,0.0572181622427928,-0.278843293204574,-0.231608280250558,0.29689006478863,0,-0.2191354425012,-0.2191354425012
"GRHL2",0.00329270779948233,-0.221598250509011,0.079290371457781,0.00411621173232126,0.122558743207598,0.102125891581928,0.042739504357621,0.0721987072223595,0.0216804302829019,0,0.070994815949726,0.070994815949726
"Ecad",0.0330750676253525,-0.328714091793876,0.0487978995771594,0.0313754487813701,0.171260184340593,0.174020243772973,0.00358892202195236,0.0271279525791741,0.0464488518385362,0,0.024478616983483,0.024478616983483
