"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0563757185288868,-0.0828937367869805,-0.0398234171838765,0.0240663916087858,0.0496794333235868,-0.0241253468053328,-0.0289753031614602,-0.0203279765301645,0.0342233215710741,0,-0.0401450766162432,-0.0401450766162432
"SNAIL",-0.0361643788086525,-0.069976413307468,0.0455911477908946,-0.0283887181790652,-0.034069944292707,-0.0386062393377235,-0.0371279641388944,0.0331569792098401,0.0438378122436246,0,0.0406053027661341,0.0406053027661341
"OVOL2",0.0962484641989458,-0.0818334452748628,-0.101766203040309,0.0847664494443114,-0.00200396854680603,-0.0896572646114385,-0.100796643265156,-0.0871537630700978,0.0974595962069568,0,-0.0984350357972821,-0.0984350357972821
"OCT4",-0.00180596611162553,0.0184153153455584,0.00124332853588395,-0.0735364461404535,-0.0830978605729425,-0.0013206500896953,-0.0715466005270163,0.0739900150113057,0.0722750387554545,0,0.00224628313988588,0.00224628313988588
"NRF2",0.0406053027661341,-0.0308664016946391,-0.0377812140535666,0.0351960048521237,0.0447248475841899,0.0434599671327443,0.0438378122436246,-0.0283887181790652,-0.0342628747528171,0,-0.0342921921840801,-0.0342921921840801
"miR34",-0.0406053027661341,0.0308664016946391,0.0377812140535666,-0.0351960048521237,-0.0447248475841899,-0.0434599671327443,-0.0438378122436246,0.0283887181790652,0.0342628747528171,0,0.0342921921840801,0.0342921921840801
"miR200",-0.0379271648543727,0.00995514865550405,0.0457662518807509,-0.016371082355922,0.0607951240138105,0.0297511294501607,0.0354938949696446,0.0222205780890485,-0.127271438762121,0,0.0433566143610314,0.0433566143610314
"miR145",-0.0243030109090471,0.0747329611257351,0.0339860618382837,-0.0154240253669073,-0.0345405415134862,0.0185351631411552,0.0153487169817442,-0.0801390225090199,-0.00906586341478548,0,0.0284647568583125,0.0284647568583125
"KEAP1",-0.0342921921840801,0.029718528635895,0.0489207319498413,-0.0255334281650071,-0.129503898320687,-0.0365406569347456,-0.0342628747528171,0.0351960048521237,0.0478885230319307,0,0.0432770848424421,0.0432770848424421
"Iext",0.0406053027661341,-0.0308664016946391,-0.0377812140535666,0.0351960048521237,0.0447248475841899,0.0434599671327443,0.0438378122436246,-0.0283887181790652,-0.0342628747528171,0,-0.0342921921840801,-0.0342921921840801
"GRHL2",-0.0401450766162432,0.0821870230060618,0.0459298641979744,-0.018740556345802,-0.0413303320936909,0.0279180025916829,0.0342233215710741,0.0240663916087858,-0.0267682562115969,0,0.0450791545712204,0.0450791545712204
"Ecad",-0.0376872864508422,0.0993045477693411,0.0454748069201625,-0.0172699702226126,-0.139998876350709,0.0352603709534508,0.0390358794959775,0.0233652083178507,-0.0304821986431277,0,0.0433442725448731,0.0433442725448731
