"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0818183415830887,0.032554297087427,-0.0256621629270427,0.0262207848545959,0.0988683014293448,-0.0140708843450449,0.00864826220268663,-0.0209099444922092,-0.0112626830669157,0,-0.0146134713406891,-0.0146134713406891
"SNAIL",-0.0325898330138897,-0.0371371079802207,0.0469177891568949,-0.0296151877782076,-0.0571309395610961,-0.0557311749610237,-0.0873560196783122,0.0416507828838806,0.0815584554763326,0,0.0407511167424261,0.0407511167424261
"OVOL2",-0.0793635928982151,-0.0765049191931426,-0.0369252743865882,-0.0852602471197934,-0.0127113853269025,0.0864392801315153,0.0487763749030456,0.0883198006835269,-0.0502990020981223,0,0.0813719113771219,0.0813719113771219
"OCT4",0.0251754478227575,0.0405404758117578,-0.0244459323051866,0.137270880281691,-0.0123929740023183,-0.0177878443800375,-0.167903144255488,-0.125549705777036,0.162075638427982,0,-0.0172897701348222,-0.0172897701348222
"NRF2",0.0407511167424261,-0.0442366804732138,-0.0338861303247037,0.0458663862441712,0.0628995177762302,0.069499912991797,0.0815584554763326,-0.0296151877782076,-0.0893684275310465,0,-0.02975858739344,-0.02975858739344
"miR34",0.0407511167424261,-0.0442366804732138,-0.0338861303247037,0.0458663862441712,0.0628995177762302,0.069499912991797,0.0815584554763326,-0.0296151877782076,-0.0893684275310465,0,-0.02975858739344,-0.02975858739344
"miR200",-0.011636686946704,-0.0277507188713375,0.0311232406637143,-0.0156854087802986,0.00906402890756817,0.0246865409593535,-0.00219854564316629,0.024234671774868,-0.101907896397611,0,0.0174435559821275,0.0174435559821275
"miR145",-0.0247166420159971,-0.0269187697213324,0.0357199713311454,-0.132199612841629,-0.0806178801330556,0.0302079138881902,0.0970129076957845,0.04100608620643,-0.101243195555609,0,0.0306073312313592,0.0306073312313592
"KEAP1",-0.02975858739344,0.0694223658209518,0.0514536978922713,-0.0240872451398767,-0.154879877841697,-0.050871000920262,-0.0893684275310465,0.0458663862441712,0.0789488141411361,0,0.044627392058163,0.044627392058163
"Iext",0.0407511167424261,-0.0442366804732138,-0.0338861303247037,0.0458663862441712,0.0628995177762302,0.069499912991797,0.0815584554763326,-0.0296151877782076,-0.0893684275310465,0,-0.02975858739344,-0.02975858739344
"GRHL2",0.0146134713406891,0.0245301510332456,-0.0314201226926059,0.0190424851523134,0.0963848577207356,-0.0200890594192289,0.0112626830669157,-0.0262207848545959,-0.0077904608446935,0,-0.0194554311541499,-0.0194554311541499
"Ecad",-0.0146449293174862,0.0734772582317373,0.0326391809136301,-0.017036990539735,-0.209246441083698,0.0248213666438442,-0.0739675416574329,0.0268056980227282,0.0692584003831947,0,0.0212762792370775,0.0212762792370775
