"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0110715648343632,0.0918746076732224,-0.0059094975715259,0.0915642272023378,0.0945067827262863,-0.00513365006083708,-0.00839711870071416,-0.00542447920691972,0.0715331452923787,0,0.00545777260401661,-0.00545777260401661
"SNAIL",-0.0920905755074137,-0.0491228928278748,0.109671995001836,-0.0966911947984777,0.0169877721297232,0.0163105605303188,0.13597076747497,0.142364164765107,-0.102658720766034,0,-0.13598877665214,0.13598877665214
"OVOL2",-0.00694690524970877,-0.00477965112013232,-0.00585324445035944,-0.00452002905135777,-0.00965477814055957,0.0939653589390296,-0.0194342695233998,0.0937641900442044,0.0848860176267475,0,-0.09350067827407,0.09350067827407
"OCT4",0.0895135502848835,0.0930919764257278,-0.00347624037542953,0.192588789897047,-0.00164987083954297,-0.00237221863725924,-0.10173550580944,-0.102662793239134,0.167644596718531,0,0.0025949689062909,-0.0025949689062909
"NRF2",0.13598877665214,-0.00462763393150147,-0.0639054434925199,0.142760226437979,0.0250210504016646,0.0294993846588775,-0.102658720766034,-0.0966911947984777,0.136443100821924,0,0.0906476716525502,-0.0906476716525502
"miR34",0.13598877665214,-0.00462763393150147,-0.0639054434925199,0.142760226437979,0.0250210504016646,0.0294993846588775,-0.102658720766034,-0.0966911947984777,0.136443100821924,0,0.0906476716525502,-0.0906476716525502
"miR200",-0.00377028109807273,-0.00366701354530354,0.0897661302645942,-0.00186191691308469,0.0802386981251888,0.0879050804478805,0.0567144867683851,0.0875562536081972,-0.0939117682846098,0,-0.0870559876813476,0.0870559876813476
"miR145",-0.00517602371404596,-0.0036146774141706,0.09286477335624,-0.103179412871908,-0.014463333582353,0.0920786131734586,0.0730711906431734,0.0920398309433843,-0.00788137003407869,0,-0.0915145375786593,0.0915145375786593
"KEAP1",-0.0906476716525502,0.0523656487863293,0.110618372637881,-0.0939872203030098,-0.0817586390541469,0.0169770896864493,0.136443100821924,0.142760226437979,-0.101412454900189,0,-0.136579291053557,0.136579291053557
"Iext",0.13598877665214,-0.00462763393150147,-0.0639054434925199,0.142760226437979,0.0250210504016646,0.0294993846588775,-0.102658720766034,-0.0966911947984777,0.136443100821924,0,0.0906476716525502,-0.0906476716525502
"GRHL2",0.00545777260401661,0.00399180437522478,-0.0925481796561133,0.00334060828073677,0.0143033768606288,-0.0916878043635077,-0.0715331452923787,-0.0915642272023378,0.00682726293943752,0,0.0911218868305121,-0.0911218868305121
"Ecad",-0.0209435385260844,0.0866507621617258,0.0949663100951122,-0.0192261228969947,-0.105992048352858,0.098462941172395,0.133935953252095,0.100450612692913,-0.074513473608009,0,-0.0995169942067201,0.0995169942067201
