"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0803745222871464,0.199423014563958,-0.0157158598013209,0.0278499572751097,-0.10891831581458,-0.034001969300809,0.00519099835209122,-0.00363877327011128,0.0158010752863644,0,-0.0004391311448979,0.0004391311448979
"SNAIL",-0.187965648814137,0.206321250612608,0.134828328219724,-0.20054879884505,0.22351605869131,-0.0798013903028135,0.274625092957397,0.206459069516166,-0.269730689819141,0,0.193464422321905,-0.193464422321905
"OVOL2",-0.0260518050072757,-0.0777885984111334,-0.041018905907535,-0.0207692344912645,-0.0155741393727061,0.0559931887483706,-0.0484132441391084,0.0527178684652367,0.076420034950292,0,0.0518687984713279,-0.0518687984713279
"OCT4",0.0236398613600739,0.231221099636744,-0.0103662721385172,0.137523204781632,-0.239381099519788,-0.0382159958010846,-0.0828566271418922,-0.101261567159287,0.114266883552149,0,0.00334756959021033,-0.00334756959021033
"NRF2",0.193464422321905,-0.305794491236291,-0.128456917447792,0.208410735566047,-0.226230683733726,0.0854079411844089,-0.269730689819141,-0.20054879884505,0.277422997511448,0,-0.187939424374281,0.187939424374281
"miR34",0.193464422321905,-0.305794491236291,-0.128456917447792,0.208410735566047,-0.226230683733726,0.0854079411844089,-0.269730689819141,-0.20054879884505,0.277422997511448,0,-0.187939424374281,0.187939424374281
"miR200",0.00682524026158475,-0.218153963224166,0.0361646271350365,0.00673729186206316,0.188931998140095,0.0606101172159496,-0.0066452706080497,0.0196552605041122,-0.0697785831298655,0,0.0153077192466915,-0.0153077192466915
"miR145",-0.00487956574392563,-0.221598418524005,0.0436210903482172,-0.10693113906324,0.160537043775676,0.0626992557539933,0.019757945476439,0.0364523797914935,0.00629962648851718,0,0.0300059297667893,-0.0300059297667893
"KEAP1",-0.187939424374281,0.311736422363908,0.136711117593884,-0.198901533112059,0.124539467148892,-0.0799363635816838,0.277422997511448,0.208410735566047,-0.270963780161142,0,0.195811144490899,-0.195811144490899
"Iext",0.193464422321905,-0.305794491236291,-0.128456917447792,0.208410735566047,-0.226230683733726,0.0854079411844089,-0.269730689819141,-0.20054879884505,0.277422997511448,0,-0.187939424374281,0.187939424374281
"GRHL2",-0.0004391311448979,-0.192414769569847,0.0407435803779089,-0.000228389296280745,0.102579621396415,0.0544118357696517,0.0158010752863644,0.0278499572751097,0.0086678789620016,0,0.0235089682109351,-0.0235089682109351
"Ecad",-0.0325716638134246,0.0808637322651352,0.054576880035049,-0.0328948365367446,0.0431810067429846,0.0469714475280925,0.111923401083591,0.0573029998020507,-0.0906609147241519,0,0.0529292458775623,-0.0529292458775623
