"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.00486875523046407,-0.102679826886554,-0.0484128165336882,0.100622057150735,0.0599645077271335,-0.0452316008354347,-0.157186454950395,-0.0671116958053224,0.165477173436716,0,-0.0660465158983644,-0.0660465158983644
"SNAIL",-0.0365303911481362,-0.0716473446468624,0.0641303894915622,-0.0317200828041585,-0.0260422430007932,-0.022634500333792,-0.013218648087644,0.0640003942613332,0.0217439411588478,0,0.0630992791285123,0.0630992791285123
"OVOL2",-0.116435712064102,0.0873277537517789,-0.00682633247815578,-0.118906763291381,0.00714350296611176,0.11679408291965,0.153917094493424,0.139444555241739,-0.14818204223601,0,0.132347773858517,0.132347773858517
"OCT4",0.0995250926183542,-0.0539794219283184,-0.0408765613361865,0.204527494404714,-0.035116099519788,-0.0416597699347655,-0.264664155341153,-0.158621550265301,0.275211940888938,0,-0.0579831824430279,-0.0579831824430279
"NRF2",0.0630992791285123,-0.0389721243796863,-0.0307441970466395,0.0686807731205536,0.053120627798893,0.0451597595294599,0.0217439411588478,-0.0317200828041585,-0.012257251939845,0,-0.0320262966147614,-0.0320262966147614
"miR34",-0.0630992791285123,0.0389721243796863,0.0307441970466395,-0.0686807731205536,-0.053120627798893,-0.0451597595294599,-0.0217439411588478,0.0317200828041585,0.012257251939845,0,0.0320262966147614,0.0320262966147614
"miR200",-0.0634253180188713,0.0164361936338853,0.0833337104619831,-0.0567256586910121,0.0708498651456349,0.0673861088122731,0.163714908087021,0.0985099876281727,-0.252046486530594,0,0.0964279599555726,0.0964279599555726
"miR145",-0.0674759936483105,0.0931361835563468,0.0859707854700148,-0.160054148644272,-0.0304631062377886,0.075589098617639,0.188527266175363,0.10467990724171,-0.175736277439443,0,0.102050135081538,0.102050135081538
"KEAP1",-0.0320262966147614,0.0263455207335013,0.069275972064901,-0.0251224909119646,-0.121533066424098,-0.0193347648520062,-0.012257251939845,0.0686807731205536,0.0240912924867568,0,0.0676743220587052,0.0676743220587052
"Iext",-0.0630992791285123,0.0389721243796863,0.0307441970466395,-0.0686807731205536,-0.053120627798893,-0.0451597595294599,-0.0217439411588478,0.0317200828041585,0.012257251939845,0,0.0320262966147614,0.0320262966147614
"GRHL2",-0.0660465158983644,0.0908570942599343,0.0837842722599673,-0.0593385639320784,-0.0308017830346075,0.0688313782835059,0.165477173436716,0.100622057150735,-0.153896291083775,0,0.0984433147929467,0.0984433147929467
"Ecad",-0.0599577865354608,0.105246390551816,0.0815337225168408,-0.0534658447933801,-0.129905891911454,0.0717805509645096,0.135198795700982,0.0951529196233121,-0.123572840861731,0,0.0929347991170519,0.0929347991170519
