"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.089116263491706,0.082685217651014,0.0231481029134017,0.0201126289416495,-0.108891149910815,-0.0201917989038555,-0.108590344457057,-0.0200084948168969,0.108641482273472,0,0.0108606011307424,0.0108606011307424
"SNAIL",-0.0320502673109404,-0.0503122370958865,-0.0394670692480211,-0.0319681048449742,-0.0146134388198956,-0.0616478481347871,-0.0458089983830811,0.0334883124830906,0.0469265461639505,0,-0.0327401691915619,-0.0327401691915619
"OVOL2",-0.0325810626744212,-0.0568701991366571,-0.0714193199583189,-0.0325586195165977,-0.0127217291223928,0.032995075585667,-0.0451185502571338,0.0333773732871742,0.0456756089870399,0,-0.0329138018306898,-0.0329138018306898
"OCT4",0.0179683611972619,0.0847163734253351,0.0249557594006267,0.13092566247784,-0.243229142242093,-0.02871997302532,-0.224287471541666,-0.129803676323626,0.224986772240967,0,0.0174479865274997,0.0174479865274997
"NRF2",0.0327401691915619,-0.0457054620191577,0.0377057281368471,0.0345088526877355,0.0144098419417144,0.0639657507960827,0.0469265461639505,-0.0319681048449742,-0.0449703761389469,0,0.031484114680438,0.031484114680438
"miR34",0.0327401691915619,-0.0457054620191577,0.0377057281368471,0.0345088526877355,0.0144098419417144,0.0639657507960827,0.0469265461639505,-0.0319681048449742,-0.0449703761389469,0,0.031484114680438,0.031484114680438
"miR200",-0.00639022932067585,-0.0714271326180394,-0.0218217404448308,-0.0153060445438105,0.209034016162724,0.0243064675095362,0.112683395637699,0.0160042602148733,-0.21221436146521,0,-0.00663285616059606,-0.00663285616059606
"miR145",-0.0257426377541919,-0.096938026802158,-0.0284588161577117,-0.139623482446451,0.168208623157576,0.0345477164411522,0.135341683792136,0.0402843051032279,-0.13486608929902,0,-0.0259646605233354,-0.0259646605233354
"KEAP1",-0.031484114680438,0.0523901345377262,-0.0405910458870297,-0.0305211226263858,-0.114682618810236,-0.0600270665295296,-0.0449703761389469,0.0345088526877355,0.0482235586000501,0,-0.0336309474395156,-0.0336309474395156
"Iext",0.0327401691915619,-0.0457054620191577,0.0377057281368471,0.0345088526877355,0.0144098419417144,0.0639657507960827,0.0469265461639505,-0.0319681048449742,-0.0449703761389469,0,0.031484114680438,0.031484114680438
"GRHL2",-0.0108606011307424,-0.082272967945478,-0.0233065062081902,-0.0197818317203462,0.108867498065971,0.020358712850443,0.108641482273472,0.0201126289416495,-0.108478083580661,0,-0.0109009028176559,-0.0109009028176559
"Ecad",-0.0107453882728892,0.036075501910216,-0.0230545343945063,-0.0176451418935413,0.00481807486560877,0.0225314396365308,0.0815589158496751,0.0186247337302759,-0.0808454095960026,0,-0.0111616213634199,-0.0111616213634199
