"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.181779389055221,0.105471508320154,0.1425445882045,-0.304268193278768,0.111337610664616,-0.283574396834432,-0.249105674944979,0.304413981053422,0.249182381669602,0,-0.281692186478295,-0.281692186478295
"SNAIL",-0.0939885739651257,-0.0548723928231843,-0.0760161022513495,0.0999402557917185,-0.0623451059719153,-0.0237326233060392,-0.0153399945754639,-0.101015524608923,0.0162933312538383,0,0.0944587293208085,0.0944587293208085
"OVOL2",-0.0897534859489325,-0.0631633332295182,-0.0968049955192573,0.0963508057306932,-0.0585215476390339,0.0913813760261699,-0.0111096997279949,-0.0969454795219541,0.0115924839605802,0,0.0899970985454863,0.0899970985454863
"OCT4",0.298890291156635,0.105458498605023,0.151924816396175,-0.139892783581148,-0.00156822983937738,-0.298033818734714,-0.36921265797679,0.141444466560379,0.369008695272827,0,-0.297921593694462,-0.297921593694462
"NRF2",0.0944587293208085,-0.0400707171641734,0.0748550896217975,-0.101378414947998,0.0641774778755461,0.0260637333899064,0.0162933312538383,0.0999402557917185,-0.0147489864972564,0,-0.0936131501401172,-0.0936131501401172
"miR34",0.0944587293208085,-0.0400707171641734,0.0748550896217975,-0.101378414947998,0.0641774778755461,0.0260637333899064,0.0162933312538383,0.0999402557917185,-0.0147489864972564,0,-0.0936131501401172,-0.0936131501401172
"miR200",-0.27186875295766,-0.0905738390211047,-0.138503281243328,0.292820715476467,-0.00447662615745882,0.278712045863925,0.248295719396657,-0.293860281031161,-0.347711819712538,0,0.272003545646505,0.272003545646505
"miR145",-0.321914812831382,-0.118476239288979,-0.164437490445141,0.122254625032875,-0.0953662244845782,0.319465848035889,0.289292811866213,-0.224048286529841,-0.288416716747315,0,0.32173058117188,0.32173058117188
"KEAP1",-0.0936131501401172,0.0485109602431741,-0.0767177631060926,0.0981575560522929,-0.1610678215744,-0.0223805313460486,-0.0147489864972564,-0.101378414947998,0.0176249883831593,0,0.094858843222545,0.094858843222545
"Iext",0.0944587293208085,-0.0400707171641734,0.0748550896217975,-0.101378414947998,0.0641774778755461,0.0260637333899064,0.0162933312538383,0.0999402557917185,-0.0147489864972564,0,-0.0936131501401172,-0.0936131501401172
"GRHL2",-0.281692186478295,-0.10469117852039,-0.142647550346113,0.303375040781249,-0.111077440371333,0.283722764786955,0.249182381669602,-0.304268193278768,-0.24883515944738,0,0.281663399559072,0.281663399559072
"Ecad",-0.281412566228411,0.0181640597310251,-0.144799810271459,0.299915650129852,-0.222496979079894,0.181286550656139,0.187486657120717,-0.301221772578832,-0.186689208954848,0,0.28161122293071,0.28161122293071
