"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0670494351006309,0.0911493230595601,-0.0199964401045436,0.040877676335499,0.0461852665194256,-0.0218141526024231,-0.0280278119025185,-0.0130738650265331,0.0551116779214395,0,-0.010147980855661,-0.010147980855661
"SNAIL",-0.0251157131433017,-0.0579407990091968,0.0616775142221529,-0.0195124015008705,-0.0229570936529257,-0.0390933627617504,-0.0353859264354647,0.056924340692565,0.0720004408723575,0,0.0560335381637432,0.0560335381637432
"OVOL2",-0.0260736476326787,-0.0755401910995114,-0.0389154309526024,-0.0207823792266611,-0.0241746691451559,0.0582308661812437,-0.0369188218936311,0.0554716837168792,0.0707508554232613,0,0.0546535644478896,0.0546535644478896
"OCT4",0.0441493059314512,0.0408882198730696,-0.0196213141911962,0.155060435626877,-0.0438353750620964,-0.0177440034812261,-0.122791175432298,-0.119085262554545,0.157727072868196,0,-0.0148081803210117,-0.0148081803210117
"NRF2",-0.0560335381637432,0.0280684719558264,0.0227864228702811,-0.0631845012132387,-0.0677823396658202,-0.071378907237746,-0.0720004408723575,0.0195124015008705,0.0292147370923898,0,0.0200184326715833,0.0200184326715833
"miR34",0.0560335381637432,-0.0280684719558264,-0.0227864228702811,0.0631845012132387,0.0677823396658202,0.071378907237746,0.0720004408723575,-0.0195124015008705,-0.0292147370923898,0,-0.0200184326715833,-0.0200184326715833
"miR200",-0.0207726161749651,-0.00494518813170844,0.0502605971674776,-0.0205131180675342,0.0749587647571911,0.0343316448611358,0.0442798440056028,0.0471228930869291,-0.118368099007039,0,0.0427006907961976,0.0427006907961976
"miR145",-0.0157583274078109,-0.083609364030049,0.051944306143787,-0.115871330571722,-0.0139198230655752,0.0506128446813697,0.0587108577543047,0.0498430096007174,-0.0255110246295655,0,0.0438890846471704,0.0438890846471704
"KEAP1",0.0200184326715833,-0.0450164800584597,-0.0680749546452994,0.0127243785138522,-0.0843180422217957,0.033461087352713,0.0292147370923898,-0.0631845012132387,-0.0789554254469396,0,-0.0620804522846233,-0.0620804522846233
"Iext",-0.0560335381637432,0.0280684719558264,0.0227864228702811,-0.0631845012132387,-0.0677823396658202,-0.071378907237746,-0.0720004408723575,0.0195124015008705,0.0292147370923898,0,0.0200184326715833,0.0200184326715833
"GRHL2",-0.010147980855661,-0.0812994997380053,0.0488654405797535,-0.00862494725842328,-0.0130253800482808,0.0455808439970819,0.0551116779214395,0.040877676335499,-0.0235757302090212,0,0.0368679992792893,0.0368679992792893
"Ecad",0.0104747112435787,-0.0350441299186987,-0.0509753138721044,0.00773005465158254,-0.0858569456615275,-0.0488048005994483,-0.057136486274969,-0.0432130478488615,0.0223593520518514,0,-0.0399326622415922,-0.0399326622415922
