"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.17877346775264,0.0781777931881601,-0.141018021786496,0.299427595508917,0.287480868192915,-0.275169056286991,0.229126427918589,-0.300104467319809,-0.22828904617479,0,-0.278002881715731,-0.278002881715731
"SNAIL",-0.0931208956720872,-0.0480989639200324,0.0760625177147275,-0.0981898271661801,-0.10556472869817,-0.0249564869270991,-0.127565933267115,0.100496093387908,0.129075763126168,0,0.0940356544619481,0.0940356544619481
"OVOL2",0.175407612047973,0.100584869798788,-0.136334232334162,0.187336440241726,0.099071210826048,-0.178550901351138,0.0369660781693643,-0.188413747834589,-0.0366848961437927,0,-0.175015455185228,-0.175015455185228
"OCT4",0.294323472493108,0.0809341109349327,-0.148952331384761,0.412321859246349,0.155458814373241,-0.287937455271368,0.0674074540174356,-0.414398727233935,-0.0644937011036827,0,-0.291673564559396,-0.291673564559396
"NRF2",0.0940356544619481,-0.045053164187848,-0.0737121750744149,0.100682636370399,0.108245420927556,0.0286083392681148,0.129075763126168,-0.0981898271661801,-0.126266526473719,0,-0.0920900013956974,-0.0920900013956974
"miR34",0.0940356544619481,-0.045053164187848,-0.0737121750744149,0.100682636370399,0.108245420927556,0.0286083392681148,0.129075763126168,-0.0981898271661801,-0.126266526473719,0,-0.0920900013956974,-0.0920900013956974
"miR200",-0.268519844709409,-0.0661862288993869,0.137088118128074,-0.286803241092774,-0.17474733108089,0.271431986388856,-0.215597091737587,0.289549556065621,0.115855539138755,0,0.268331134945026,0.268331134945026
"miR145",-0.317111329668993,-0.0907301632963111,0.162460286705347,-0.437191062951349,-0.248759153512412,0.309956541814296,-0.150320244421696,0.340872789181963,0.150111650345768,0,0.316398022474511,0.316398022474511
"KEAP1",-0.0920900013956974,0.0557216314397048,0.0769627229195573,-0.0950077897446318,-0.202735328183421,-0.0236477261107803,-0.126266526473719,0.100682636370399,0.129896889510022,0,0.0942368341547751,0.0942368341547751
"Iext",0.0940356544619481,-0.045053164187848,-0.0737121750744149,0.100682636370399,0.108245420927556,0.0286083392681148,0.129075763126168,-0.0981898271661801,-0.126266526473719,0,-0.0920900013956974,-0.0920900013956974
"GRHL2",-0.278002881715731,-0.0765140711622472,0.141113063763369,-0.296880456904881,-0.285375854001808,0.275187602281056,-0.22828904617479,0.299427595508917,0.228105222645378,0,0.277478959785856,0.277478959785856
"Ecad",-0.278111206493572,0.0409911719193433,0.143438640336157,-0.293906981176368,-0.389710957475931,0.174585683095858,-0.228236137838245,0.297009021992694,0.228731395120206,0,0.278063907278739,0.278063907278739
