"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.176827382570151,0.101221727698155,-0.139939686367293,0.297753518719546,0.12759759507017,-0.277643782553977,-0.162229147213096,-0.298149228393606,0.16277887873956,0,-0.276031881511263,-0.276031881511263
"SNAIL",-0.092536809435683,-0.0523579197288542,0.0759405015347066,-0.0976118133912644,-0.0651706793160337,-0.0239854513846419,-0.0296694397011089,0.100155380317479,0.0339161212684126,0,0.0936815355190845,0.0936815355190845
"OVOL2",0.17441663942201,0.112515114867515,-0.135899558488711,0.186480164046011,0.0283704451610016,-0.180096149853343,-0.151869346353922,-0.187574708560361,0.15098335770731,0,-0.174149259742866,-0.174149259742866
"OCT4",0.292721595782917,0.101733466303545,-0.147993387479863,0.411293581611387,0.0146589294585196,-0.290043905250124,-0.271491054833076,-0.41279752049895,0.27321016905219,0,-0.290023653264304,-0.290023653264304
"NRF2",0.0936815355190845,-0.0391085783748121,-0.0733183120347916,0.100488131703824,0.0702945340835939,0.0283108822768033,0.0339161212684126,-0.0976118133912644,-0.0280181951028,0,-0.0915060162677915,-0.0915060162677915
"miR34",0.0936815355190845,-0.0391085783748121,-0.0733183120347916,0.100488131703824,0.0702945340835939,0.0283108822768033,0.0339161212684126,-0.0976118133912644,-0.0280181951028,0,-0.0915060162677915,-0.0915060162677915
"miR200",-0.266689687003853,-0.0850012326489418,0.136307916187202,-0.285206860220551,-0.0196826427525285,0.274034926496555,0.161672191971454,0.288015238808604,-0.258446385519841,0,0.266759779202052,0.266759779202052
"miR145",-0.315181354628538,-0.111807867060979,0.161656928189724,-0.435586522377642,-0.1092571670145,0.312672182633734,0.186598246733645,0.339295220961593,-0.182952022286419,0,0.314770376311187,0.314770376311187
"KEAP1",-0.0915060162677915,0.0522753575780531,0.0769340899748939,-0.0945065366117998,-0.16227489414906,-0.0224986617104844,-0.0280181951028,0.100488131703824,0.0377777424861098,0,0.0940239065407838,0.0940239065407838
"Iext",0.0936815355190845,-0.0391085783748121,-0.0733183120347916,0.100488131703824,0.0702945340835939,0.0283108822768033,0.0339161212684126,-0.0976118133912644,-0.0280181951028,0,-0.0915060162677915,-0.0915060162677915
"GRHL2",-0.276031881511263,-0.0985715510197103,0.14025649295687,-0.29517330039338,-0.125918314086253,0.277986883444185,0.16277887873956,0.297753518719546,-0.160225774164397,0,0.275761284470558,0.275761284470558
"Ecad",0.251278741147697,0.132030904746767,-0.12709594152645,0.269593337514193,0.00719281109742066,-0.246448679262805,-0.174737811385206,-0.270654562003989,0.17437686116276,0,-0.250607092297068,-0.250607092297068
