"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0754613436957574,0.0517234253342415,-0.018571135924511,-0.0080121288634955,0.0524550314033909,-0.00674685397541672,-0.00299619708522009,0.00989894059396571,0.0161194392227808,0,0.00567976431086288,-0.00567976431086288
"SNAIL",-0.0853922561726283,-0.056605378836009,0.0817096232691468,0.0751922731955368,0.0107021172005917,-0.0170317955814081,0.103749712169725,0.0867680981862672,-0.0952974018107411,0,-0.0976571784947869,0.0976571784947869
"OVOL2",-0.0267673848669812,-0.0258588263468406,-0.0408195906323226,0.0180230480473236,-0.0320873277535443,0.0541324497349322,-0.0544941981425284,0.0421288827452465,0.0722404976809655,0,-0.052370474587718,0.052370474587718
"OCT4",0.00683482994999033,0.0429513062158586,-0.00548299043121598,-0.0342539252901241,-0.0189380791521775,0.0108241774432709,-0.0289467567559301,-0.0140343024684483,0.0436903464995199,0,-0.0141322663593524,0.0141322663593524
"NRF2",0.0976571784947869,-0.0223031757362623,-0.0658122454586467,-0.0889506624572818,0.00460158147602856,0.0336401294650507,-0.0952974018107411,-0.0751922731955368,0.105254748479369,0,0.0831017232776455,-0.0831017232776455
"miR34",0.0976571784947869,-0.0223031757362623,-0.0658122454586467,-0.0889506624572818,0.00460158147602856,0.0336401294650507,-0.0952974018107411,-0.0751922731955368,0.105254748479369,0,0.0831017232776455,-0.0831017232776455
"miR200",-0.00325842234489292,-0.0198237034979663,0.0417757260816481,-0.0152019601803103,0.0678598889786882,0.0334331280025314,0.00585788523734548,0.00572899404777344,-0.0904946230568152,0,-0.025617833570428,0.025617833570428
"miR145",0.0190938242463432,-0.00554587151126797,0.0188035528586378,-0.0190647319286331,-0.0753877638336944,-0.00306556018365606,-0.0895943637512733,-0.10618543320982,0.0990979098505641,0,0.00518197200958194,-0.00518197200958194
"KEAP1",-0.0831017232776455,0.0473538171947363,0.0846946413680697,0.0726929937456253,-0.0866528635273106,-0.0138189670209375,0.105254748479369,0.0889506624572818,-0.0935150030762571,0,-0.100408905890951,0.100408905890951
"Iext",0.0976571784947869,-0.0223031757362623,-0.0658122454586467,-0.0889506624572818,0.00460158147602856,0.0336401294650507,-0.0952974018107411,-0.0751922731955368,0.105254748479369,0,0.0831017232776455,-0.0831017232776455
"GRHL2",-0.00567976431086288,-0.0193471002459023,0.0430919659577757,-0.0129934946892667,-0.0287795347146492,0.0323681447766037,0.0161194392227808,0.0080121288634955,-0.000637413078989965,0,-0.028173862992422,0.028173862992422
"Ecad",-0.0182811584153925,0.0728146193614054,0.0483684028491886,-0.000995079005547145,-0.119448009272419,0.0441679689402689,0.0818656968682834,0.0191681863005753,-0.0670499493655553,0,-0.0398496003792559,0.0398496003792559
