"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",-0.0663310578506004,0.0929100966514363,-0.0193658460895393,0.0414440903138329,-0.0407119422882023,-0.0205001347783851,0.0943204090235639,-0.0124114963327853,-0.0964873739941597,0,-0.00946755758603531,-0.00946755758603531
"SNAIL",-0.0243621679010152,-0.0421584743616435,0.0635367547569664,-0.0188161758899732,-0.0464699305197424,-0.0394548382625072,-0.101670613776491,0.0591202174175965,0.098764989546231,0,0.0582542365845802,0.0582542365845802
"OVOL2",-0.0253514638453346,-0.0494973209557313,-0.0369981116466156,-0.020061377241394,-0.0396499395674978,0.0573801189263505,-0.0860887990565296,0.0577499060701452,0.0832822841220503,0,0.0569557419202009,0.0569557419202009
"OCT4",0.0415096108812849,0.0961095119125022,-0.0147940789814569,0.152536783978113,-0.191864987580725,-0.0195014402567807,-0.0727899142431274,-0.111309760822228,0.0697013361545494,0,-0.00738103830903286,-0.00738103830903286
"NRF2",0.0582542365845802,-0.0351698020816772,-0.0217912713792692,0.0652207779992733,0.0164733238010454,0.0760195876516639,0.098764989546231,-0.0188161758899732,-0.102015467557703,0,-0.0193001277265226,-0.0193001277265226
"miR34",0.0582542365845802,-0.0351698020816772,-0.0217912713792692,0.0652207779992733,0.0164733238010454,0.0760195876516639,0.098764989546231,-0.0188161758899732,-0.102015467557703,0,-0.0193001277265226,-0.0193001277265226
"miR200",-0.00821425098885178,-0.0654017585518913,0.0500693580421786,-0.00663881568731414,0.12213329891333,0.0490235851412555,-0.0878076260180796,0.0415961469518603,-0.0147672758676292,0,0.0376907161853795,0.0376907161853795
"miR145",-0.0140390346263678,-0.0904834645492619,0.0525135475731154,-0.114363951824267,0.0944592273443666,0.0533908242868687,-0.00384038098609485,0.050061861466883,0.00119540810332472,0,0.0441538251219038,0.0441538251219038
"KEAP1",-0.0193001277265226,0.0619084921559513,0.0697459828474942,-0.0123066675698255,-0.150788653861056,-0.0336734092399117,-0.102015467557703,0.0652207779992733,0.0984793996651997,0,0.0641715828020593,0.0641715828020593
"Iext",-0.0582542365845802,0.0351698020816772,0.0217912713792692,-0.0652207779992733,-0.0164733238010454,-0.0760195876516639,-0.098764989546231,0.0188161758899732,0.102015467557703,0,0.0193001277265226,0.0193001277265226
"GRHL2",-0.00946755758603531,-0.0773476702674552,0.0494070309461843,-0.00819896957284714,0.0189758968766602,0.0465201644519756,-0.0964873739941597,0.0414440903138329,0.0939955439288002,0,0.037465715223205,0.037465715223205
"Ecad",-0.0114889582894269,-0.117114415406428,0.037405752783043,-0.0138676946909799,0.123132602275458,0.127240207463804,-0.0635419647898363,0.0318268783644493,0.0621233464737111,0,0.0264828093914986,0.0264828093914986
